Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,7.7462377E-4,8.707567E-4,0.0011105477,1.2753824,2.4E-4,0.0077192914,0.008675828,0.008973225,1.0342789,3.0E-4
6.1,7.7462377E-4,8.707567E-4,0.0011105477,1.2753824,2.4E-4,0.0077192914,0.008675828,0.008973225,1.0342789,3.0E-4
6.2,7.7462377E-4,8.707567E-4,0.0011105477,1.2753824,2.4E-4,0.0077192914,0.008675828,0.008973225,1.0342789,3.0E-4
6.3,5.43912E-4,6.201478E-4,7.4007333E-4,1.1933823,1.2E-4,0.0054258266,0.0061847805,0.0063239145,1.0224962,1.4E-4
6.4,5.43912E-4,6.201478E-4,7.4007333E-4,1.1933823,1.2E-4,0.0054258266,0.0061847805,0.0063239145,1.0224962,1.4E-4
6.5,4.8255164E-4,5.5398804E-4,6.539326E-4,1.1804093,1.0E-4,0.0048150513,0.0055265697,0.0056260168,1.0179944,1.0E-4
6.6,4.1235037E-4,4.7782232E-4,5.377937E-4,1.1255097,6.0E-5,0.0041158604,0.0047683464,0.00482806,1.0125229,6.0E-5
6.7,3.7593965E-4,4.3858704E-4,4.885651E-4,1.1139524,5.0E-5,0.003753043,0.0043775835,0.0044273646,1.0113719,5.0E-5
6.8,3.4926904E-4,4.0911406E-4,4.590936E-4,1.1221653,5.0E-5,0.003487206,0.0040839664,0.0041337623,1.012193,5.0E-5
6.9,3.1521954E-4,3.7200077E-4,3.9199332E-4,1.0537434,2.0E-5,0.0031477278,0.0037141186,0.0037340445,1.0053649,2.0E-5
7.0,2.1568815E-4,2.6505004E-4,2.7504738E-4,1.0377188,1.0E-5,0.0021547892,0.002647492,0.0026574656,1.0037671,1.0E-5
7.1,1.9656324E-4,2.4165693E-4,2.516545E-4,1.041371,1.0E-5,0.0019638946,0.0024140922,0.002424068,1.0041324,1.0E-5
7.2,1.777326E-4,2.1687007E-4,2.2686791E-4,1.0461006,1.0E-5,0.0017759053,0.0021667324,0.0021767109,1.0046053,1.0E-5
7.3,1.5618425E-4,1.8935627E-4,1.9935438E-4,1.0528005,1.0E-5,0.0015607453,0.0018920946,0.0019020757,1.0052751,1.0E-5
7.4,1.2548068E-4,1.5073326E-4,1.6073175E-4,1.0663323,1.0E-5,0.0012540985,0.0015064516,0.0015164366,1.0066282,1.0E-5
7.5,6.631728E-5,7.896879E-5,8.8968E-5,1.1266223,1.0E-5,6.6297496E-4,7.8952993E-4,7.9952204E-4,1.0126557,1.0E-5
7.6,1.1540374E-5,1.3587022E-5,1.3587022E-5,1.0,0.0,1.1539775E-4,1.3586473E-4,1.3586473E-4,1.0,0.0
