
X-Axis: Magnitude
Y-Axis: 1 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.028586963
6.1	  0.0099994885
6.2	  0.0049089384
6.3	  0.0048322747
6.4	  0.0047573745
6.5	  0.0046854047
6.6	  0.0045870654
6.7	  0.0045492216
6.8	  0.0045347405
6.9	  0.0045191357
7.0	  0.004455241
7.1	  0.0040752706
7.2	  0.004005129
7.3	  0.003934157
7.4	  0.003865065
7.5	  0.0032037178
7.6	  0.0031593828
7.7	  0.002691582
7.8	  0.0025062072
7.9	  0.002069531
8.0	  0.0015111357
8.1	  9.823717E-4
8.2	  4.5092785E-4
8.3	  1.034694E-4
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.04018152
6.1	  0.01577525
6.2	  0.009473897
6.3	  0.009317007
6.4	  0.009194063
6.5	  0.00906896
6.6	  0.008904092
6.7	  0.008835384
6.8	  0.008807203
6.9	  0.008776662
7.0	  0.008648803
7.1	  0.007862584
7.2	  0.007726539
7.3	  0.007569417
7.4	  0.0074145487
7.5	  0.0058218874
7.6	  0.005732995
7.7	  0.0047754725
7.8	  0.0044560367
7.9	  0.0035158154
8.0	  0.0021211067
8.1	  9.7415224E-4
8.2	  2.855783E-4
8.3	  3.9958737E-5
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.040200718
6.1	  0.015785092
6.2	  0.009483802
6.3	  0.009326914
6.4	  0.009203971
6.5	  0.00907887
6.6	  0.008914003
6.7	  0.008845295
6.8	  0.008817115
6.9	  0.008786574
7.0	  0.008658716
7.1	  0.007872505
7.2	  0.0077364612
7.3	  0.007579341
7.4	  0.0074244747
7.5	  0.0058318293
7.6	  0.0057429373
7.7	  0.004785425
7.8	  0.0044560367
7.9	  0.0035158154
8.0	  0.0021211067
8.1	  9.7415224E-4
8.2	  2.855783E-4
8.3	  3.9958737E-5
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  2.0E-5
6.1	  1.0E-5
6.2	  1.0E-5
6.3	  1.0E-5
6.4	  1.0E-5
6.5	  1.0E-5
6.6	  1.0E-5
6.7	  1.0E-5
6.8	  1.0E-5
6.9	  1.0E-5
7.0	  1.0E-5
7.1	  1.0E-5
7.2	  1.0E-5
7.3	  1.0E-5
7.4	  1.0E-5
7.5	  1.0E-5
7.6	  1.0E-5
7.7	  1.0E-5
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


