Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.1143165E-5,4.709095E-5,6.709001E-5,1.42469,2.0E-5,1.7631594E-4,2.0180386E-4,2.317978E-4,1.1486292,3.0E-5,0.002144533,0.0024543905,0.002484317,1.012193,3.0E-5,0.021239553,0.024293458,0.02432273,1.0012048,3.0E-5
6.1,2.1061249E-5,2.3864874E-5,2.3864874E-5,1.0,0.0,9.0259375E-5,1.02274185E-4,1.02274185E-4,1.0,0.0,0.0010983539,0.0012445059,0.0012445059,1.0,0.0,0.01092941,0.012378404,0.012378404,1.0,0.0
6.2,2.1061249E-5,2.3864874E-5,2.3864874E-5,1.0,0.0,9.0259375E-5,1.02274185E-4,1.02274185E-4,1.0,0.0,0.0010983539,0.0012445059,0.0012445059,1.0,0.0,0.01092941,0.012378404,0.012378404,1.0,0.0
6.3,1.5158236E-5,1.707436E-5,1.707436E-5,1.0,0.0,6.496225E-5,7.317385E-5,7.317385E-5,1.0,0.0,7.906284E-4,8.9053944E-4,8.9053944E-4,1.0,0.0,0.007878214,0.008870959,0.008870959,1.0,0.0
6.4,1.2341918E-5,1.3852871E-5,1.3852871E-5,1.0,0.0,5.2892858E-5,5.9368143E-5,5.9368143E-5,1.0,0.0,6.437803E-4,7.225755E-4,7.225755E-4,1.0,0.0,0.006419184,0.0072030975,0.0072030975,1.0,0.0
6.5,9.061158E-6,1.0116999E-5,1.0116999E-5,1.0,0.0,3.883296E-5,4.335788E-5,4.335788E-5,1.0,0.0,4.726887E-4,5.277596E-4,5.277596E-4,1.0,0.0,0.004716845,0.005265601,0.005265601,1.0,0.0
6.6,7.5461685E-6,8.400708E-6,8.400708E-6,1.0,0.0,3.2340322E-5,3.6002562E-5,3.6002562E-5,1.0,0.0,3.936723E-4,4.382473E-4,4.382473E-4,1.0,0.0,0.003929756,0.0043742605,0.0043742605,1.0,0.0
6.7,5.5023775E-6,6.087363E-6,6.087363E-6,1.0,0.0,2.3581404E-5,2.6088457E-5,2.6088457E-5,1.0,0.0,2.8706578E-4,3.175839E-4,3.175839E-4,1.0,0.0,0.0028669522,0.0031716223,0.0031716223,1.0,0.0
6.8,3.7351679E-6,4.08313E-6,4.08313E-6,1.0,0.0,1.6007763E-5,1.7499025E-5,1.7499025E-5,1.0,0.0,1.948771E-4,2.130323E-4,2.130323E-4,1.0,0.0,0.0019470629,0.002128526,0.002128526,1.0,0.0
6.9,2.456366E-6,2.6292655E-6,2.6292655E-6,1.0,0.0,1.0527241E-5,1.1268233E-5,1.1268233E-5,1.0,0.0,1.2816161E-4,1.3718211E-4,1.3718211E-4,1.0,0.0,0.0012808773,0.0013709773,0.0013709773,1.0,0.0
7.0,2.3245157E-6,2.4827737E-6,2.4827737E-6,1.0,0.0,9.962172E-6,1.0640416E-5,1.0640416E-5,1.0,0.0,1.2128269E-4,1.2953937E-4,1.2953937E-4,1.0,0.0,0.0012121652,0.0012946409,0.0012946409,1.0,0.0
7.1,2.2248344E-6,2.3732457E-6,2.3732457E-6,1.0,0.0,9.53497E-6,1.0171014E-5,1.0171014E-5,1.0,0.0,1.1608207E-4,1.2382507E-4,1.2382507E-4,1.0,0.0,0.0011602144,0.0012375627,0.0012375627,1.0,0.0
7.2,2.1350402E-6,2.2761499E-6,2.2761499E-6,1.0,0.0,9.150141E-6,9.754892E-6,9.754892E-6,1.0,0.0,1.1139726E-4,1.1875935E-4,1.1875935E-4,1.0,0.0,0.0011134144,0.0011869607,0.0011869607,1.0,0.0
7.3,1.9793572E-6,2.1087153E-6,2.1087153E-6,1.0,0.0,8.482932E-6,9.0373205E-6,9.0373205E-6,1.0,0.0,1.032748E-4,1.1002384E-4,1.1002384E-4,1.0,0.0,0.0010322682,0.0010996955,0.0010996955,1.0,0.0
7.4,1.6951194E-6,1.8045702E-6,1.8045702E-6,1.0,0.0,7.264777E-6,7.733849E-6,7.733849E-6,1.0,0.0,8.844508E-5,9.415556E-5,9.415556E-5,1.0,0.0,8.840988E-4,9.411584E-4,9.411584E-4,1.0,0.0
7.5,8.987207E-7,9.5121993E-7,9.5121993E-7,1.0,0.0,3.8516546E-6,4.0766504E-6,4.0766504E-6,1.0,0.0,4.6892885E-5,4.96321E-5,4.96321E-5,1.0,0.0,4.688299E-4,4.9621135E-4,4.9621135E-4,1.0,0.0
7.6,3.8783037E-7,4.052927E-7,4.052927E-7,1.0,0.0,1.6621291E-6,1.7369675E-6,1.7369675E-6,1.0,0.0,2.0236233E-5,2.1147382E-5,2.1147382E-5,1.0,0.0,2.023439E-4,2.1145435E-4,2.1145435E-4,1.0,0.0
7.7,6.181804E-8,6.339029E-8,6.339029E-8,1.0,0.0,2.6493444E-7,2.7167263E-7,2.7167263E-7,1.0,0.0,3.225572E-6,3.3076094E-6,3.3076094E-6,1.0,0.0,3.225525E-5,3.307561E-5,3.307561E-5,1.0,0.0
7.8,1.3704449E-9,1.3964147E-9,1.3964147E-9,1.0,0.0,5.873335E-9,5.984634E-9,5.984634E-9,1.0,0.0,7.1507856E-8,7.286292E-8,7.286292E-8,1.0,0.0,7.1507833E-7,7.28629E-7,7.28629E-7,1.0,0.0
