Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,2.1306332E-4,2.1816725E-4,2.981498E-4,1.3666111,8.0E-5,0.0021285915,0.0021798965,0.0022796784,1.0457737,1.0E-4
6.1,2.1306332E-4,2.1816725E-4,2.981498E-4,1.3666111,8.0E-5,0.0021285915,0.0021798965,0.0022796784,1.0457737,1.0E-4
6.2,2.1306332E-4,2.1816725E-4,2.981498E-4,1.3666111,8.0E-5,0.0021285915,0.0021798965,0.0022796784,1.0457737,1.0E-4
6.3,2.1306332E-4,2.1816725E-4,2.981498E-4,1.3666111,8.0E-5,0.0021285915,0.0021798965,0.0022796784,1.0457737,1.0E-4
6.4,2.1306332E-4,2.1816725E-4,2.981498E-4,1.3666111,8.0E-5,0.0021285915,0.0021798965,0.0022796784,1.0457737,1.0E-4
6.5,1.2075195E-4,1.2382126E-4,1.4381878E-4,1.1615032,2.0E-5,0.0012068636,0.0012375986,0.0012675615,1.0242105,3.0E-5
6.6,1.2075195E-4,1.2382126E-4,1.4381878E-4,1.1615032,2.0E-5,0.0012068636,0.0012375986,0.0012675615,1.0242105,3.0E-5
6.7,8.885379E-5,9.1298105E-5,9.1298105E-5,1.0,0.0,8.881827E-4,9.1265864E-4,9.226495E-4,1.010947,1.0E-5
6.8,6.738455E-5,6.939237E-5,6.939237E-5,1.0,0.0,6.736412E-4,6.9375033E-4,7.037434E-4,1.0144044,1.0E-5
6.9,3.0633044E-5,3.1917145E-5,3.1917145E-5,1.0,0.0,3.0628822E-4,3.191297E-4,3.2912652E-4,1.0313252,1.0E-5
7.0,2.413167E-5,2.5212494E-5,2.5212494E-5,1.0,0.0,2.412905E-4,2.5210003E-4,2.5210003E-4,1.0,0.0
7.1,1.9851697E-5,2.0804187E-5,2.0804187E-5,1.0,0.0,1.9849923E-4,2.0802575E-4,2.0802575E-4,1.0,0.0
7.2,1.87136E-5,1.9627789E-5,1.9627789E-5,1.0,0.0,1.8712023E-4,1.9626386E-4,1.9626386E-4,1.0,0.0
7.3,1.7438259E-5,1.829549E-5,1.829549E-5,1.0,0.0,1.743689E-4,1.8294314E-4,1.8294314E-4,1.0,0.0
7.4,1.5503398E-5,1.6261785E-5,1.6261785E-5,1.0,0.0,1.5502315E-4,1.6260923E-4,1.6260923E-4,1.0,0.0
7.5,7.4754466E-6,7.8333205E-6,7.8333205E-6,1.0,0.0,7.475195E-5,7.833321E-5,7.833321E-5,1.0,0.0
