
X-Axis: Magnitude
Y-Axis: 4 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.008681616
6.1	  0.008681616
6.2	  0.008681616
6.3	  0.008681616
6.4	  0.0041566887
6.5	  0.0041566887
6.6	  0.0036712566
6.7	  0.0036392517
6.8	  0.0033202237
6.9	  0.003184194
7.0	  0.0028730053
7.1	  0.0025093083
7.2	  0.0019903728
7.3	  0.0014165172
7.4	  0.0010895962
7.5	  6.093505E-4
7.6	  6.863536E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0022153321
6.1	  0.0022153321
6.2	  0.0022153321
6.3	  0.0022153321
6.4	  0.0019194601
6.5	  0.0019194601
6.6	  0.0017852248
6.7	  0.001752919
6.8	  0.0016255927
6.9	  0.0015293217
7.0	  0.0013775991
7.1	  0.0011130386
7.2	  6.748391E-4
7.3	  3.8519345E-4
7.4	  2.849516E-4
7.5	  1.8798567E-4
7.6	  3.7149308E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0022951548
6.1	  0.0022951548
6.2	  0.0022951548
6.3	  0.0022951548
6.4	  0.0019993067
6.5	  0.0019993067
6.6	  0.001865082
6.7	  0.0018327788
6.8	  0.0017054626
6.9	  0.0016091993
7.0	  0.0014574889
7.1	  0.0011729718
7.2	  7.048188E-4
7.3	  3.8519345E-4
7.4	  2.849516E-4
7.5	  1.8798567E-4
7.6	  3.7149308E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  8.0E-5
6.1	  8.0E-5
6.2	  8.0E-5
6.3	  8.0E-5
6.4	  8.0E-5
6.5	  8.0E-5
6.6	  8.0E-5
6.7	  8.0E-5
6.8	  8.0E-5
6.9	  8.0E-5
7.0	  8.0E-5
7.1	  6.0E-5
7.2	  3.0E-5
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


