Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0240792E-5,2.4090928E-5,3.4090688E-5,1.415084,1.0E-5,1.2959696E-4,1.0324332E-4,1.1324229E-4,1.0968486,1.0E-5,0.0015767008,0.0012563633,0.0012863256,1.0238484,3.0E-5,0.015655609,0.012502628,0.012581628,1.0063187,8.0E-5
6.1,3.0240792E-5,2.4090928E-5,3.4090688E-5,1.415084,1.0E-5,1.2959696E-4,1.0324332E-4,1.1324229E-4,1.0968486,1.0E-5,0.0015767008,0.0012563633,0.0012863256,1.0238484,3.0E-5,0.015655609,0.012502628,0.012581628,1.0063187,8.0E-5
6.2,3.0240792E-5,2.4090928E-5,3.4090688E-5,1.415084,1.0E-5,1.2959696E-4,1.0324332E-4,1.1324229E-4,1.0968486,1.0E-5,0.0015767008,0.0012563633,0.0012863256,1.0238484,3.0E-5,0.015655609,0.012502628,0.012581628,1.0063187,8.0E-5
6.3,2.0498217E-5,1.3638065E-5,2.363793E-5,1.7332318,1.0E-5,8.784654E-5,5.8447633E-5,6.844705E-5,1.1710833,1.0E-5,0.0010690069,7.113838E-4,7.313696E-4,1.0280942,2.0E-5,0.01063879,0.0070926924,0.007142338,1.0069995,5.0E-5
6.4,2.0498217E-5,1.3638065E-5,2.363793E-5,1.7332318,1.0E-5,8.784654E-5,5.8447633E-5,6.844705E-5,1.1710833,1.0E-5,0.0010690069,7.113838E-4,7.313696E-4,1.0280942,2.0E-5,0.01063879,0.0070926924,0.007142338,1.0069995,5.0E-5
6.5,1.7316182E-5,1.0476979E-5,1.0476979E-5,1.0,0.0,7.42101E-5,4.4900622E-5,4.4900622E-5,1.0,0.0,9.0313336E-4,5.465379E-4,5.5653247E-4,1.018287,1.0E-5,0.008994718,0.0054529337,0.0054927156,1.0072955,4.0E-5
6.6,1.5251077E-5,8.4141375E-6,8.4141375E-6,1.0,0.0,6.536012E-5,3.606013E-5,3.606013E-5,1.0,0.0,7.9546886E-4,4.389509E-4,4.389509E-4,1.0,0.0,0.007926274,0.004381556,0.004391512,1.0022722,1.0E-5
6.7,1.2997425E-5,6.411217E-6,6.411217E-6,1.0,0.0,5.570206E-5,2.747638E-5,2.747638E-5,1.0,0.0,6.7796157E-4,3.3447825E-4,3.3447825E-4,1.0,0.0,0.0067589693,0.0033402082,0.0033501748,1.0029838,1.0E-5
6.8,1.035386E-5,4.333147E-6,4.333147E-6,1.0,0.0,4.437293E-5,1.8570503E-5,1.8570503E-5,1.0,0.0,5.401065E-4,2.2607329E-4,2.2607329E-4,1.0,0.0,0.0053879567,0.0022585199,0.0022684974,1.0044177,1.0E-5
6.9,8.816252E-6,3.5805895E-6,3.5805895E-6,1.0,0.0,3.778339E-5,1.5345297E-5,1.5345297E-5,1.0,0.0,4.5991567E-4,1.8681356E-4,1.8681356E-4,1.0,0.0,0.00458965,0.0018666236,0.0018666236,1.0,0.0
7.0,6.8232207E-6,2.5674412E-6,2.5674412E-6,1.0,0.0,2.9242048E-5,1.1003274E-5,1.1003274E-5,1.0,0.0,3.5596377E-4,1.3395694E-4,1.3395694E-4,1.0,0.0,0.0035539411,0.0013387931,0.0013387931,1.0,0.0
7.1,5.837013E-6,2.2273155E-6,2.2273155E-6,1.0,0.0,2.501553E-5,9.545604E-6,9.545604E-6,1.0,0.0,3.045215E-4,1.1621183E-4,1.1621183E-4,1.0,0.0,0.0030410455,0.0011615396,0.0011615396,1.0,0.0
7.2,4.278052E-6,1.6275075E-6,1.6275075E-6,1.0,0.0,1.833438E-5,6.9750145E-6,6.9750145E-6,1.0,0.0,2.231982E-4,8.491773E-5,8.491773E-5,1.0,0.0,0.0022297418,8.48876E-4,8.48876E-4,1.0,0.0
7.3,1.8803692E-6,8.3447975E-7,8.3447975E-7,1.0,0.0,8.0587E-6,3.5763376E-6,3.5763376E-6,1.0,0.0,9.811026E-5,4.354119E-5,4.354119E-5,1.0,0.0,9.806695E-4,4.3534103E-4,4.3534103E-4,1.0,0.0
