
X-Axis: Magnitude
Y-Axis: 3 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  4.252448E-4
6.1	  4.252448E-4
6.2	  4.252448E-4
6.3	  4.252448E-4
6.4	  4.252448E-4
6.5	  4.252448E-4
6.6	  4.252448E-4
6.7	  4.252448E-4
6.8	  4.252448E-4
6.9	  4.252448E-4
7.0	  4.2274324E-4
7.1	  4.096915E-4
7.2	  4.0540437E-4
7.3	  3.8576324E-4
7.4	  3.6334046E-4
7.5	  3.4705905E-4
7.6	  2.928539E-4
7.7	  2.3450027E-4
7.8	  1.3605114E-4
7.9	  2.1111147E-5
8.0	  4.0654416E-7
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  4.0982116E-4
6.1	  4.0982116E-4
6.2	  4.0982116E-4
6.3	  4.0982116E-4
6.4	  4.0982116E-4
6.5	  4.0982116E-4
6.6	  4.0982116E-4
6.7	  4.0982116E-4
6.8	  4.0982116E-4
6.9	  4.0982116E-4
7.0	  4.0718354E-4
7.1	  3.9339764E-4
7.2	  3.888224E-4
7.3	  3.6775542E-4
7.4	  3.438058E-4
7.5	  3.2654236E-4
7.6	  2.6875708E-4
7.7	  2.0853219E-4
7.8	  1.1393286E-4
7.9	  1.6918126E-5
8.0	  2.96557E-7
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  4.3980888E-4
6.1	  4.3980888E-4
6.2	  4.3980888E-4
6.3	  4.3980888E-4
6.4	  4.3980888E-4
6.5	  4.3980888E-4
6.6	  4.3980888E-4
6.7	  4.3980888E-4
6.8	  4.3980888E-4
6.9	  4.3980888E-4
7.0	  4.3717134E-4
7.1	  4.2338585E-4
7.2	  4.1881073E-4
7.3	  3.977444E-4
7.4	  3.7379548E-4
7.5	  3.5653255E-4
7.6	  2.9874902E-4
7.7	  2.2852802E-4
7.8	  1.2393172E-4
7.9	  1.6918126E-5
8.0	  2.96557E-7
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  3.0E-5
6.1	  3.0E-5
6.2	  3.0E-5
6.3	  3.0E-5
6.4	  3.0E-5
6.5	  3.0E-5
6.6	  3.0E-5
6.7	  3.0E-5
6.8	  3.0E-5
6.9	  3.0E-5
7.0	  3.0E-5
7.1	  3.0E-5
7.2	  3.0E-5
7.3	  3.0E-5
7.4	  3.0E-5
7.5	  3.0E-5
7.6	  3.0E-5
7.7	  2.0E-5
7.8	  1.0E-5
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


