
X-Axis: Magnitude
Y-Axis: 4 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0069992766
6.1	  0.0069992766
6.2	  0.0069992766
6.3	  0.0069992766
6.4	  0.0069992766
6.5	  0.006993862
6.6	  0.006798926
6.7	  0.0067863287
6.8	  0.0067110364
6.9	  0.006691564
7.0	  0.0064990623
7.1	  0.0064762887
7.2	  0.006243344
7.3	  0.0062021962
7.4	  0.006039923
7.5	  0.005742567
7.6	  0.005578433
7.7	  0.0048285574
7.8	  0.0030398308
7.9	  0.002444295
8.0	  0.0015417566
8.1	  8.54155E-4
8.2	  3.6326164E-4
8.3	  9.3270784E-5
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.012229898
6.1	  0.012229898
6.2	  0.012229898
6.3	  0.012229898
6.4	  0.012229898
6.5	  0.012224208
6.6	  0.012025372
6.7	  0.012012637
6.8	  0.011934482
6.9	  0.011913551
7.0	  0.0116041545
7.1	  0.0115758255
7.2	  0.011255247
7.3	  0.011188112
7.4	  0.010865717
7.5	  0.010195207
7.6	  0.009906928
7.7	  0.008586332
7.8	  0.0058471635
7.9	  0.004470945
8.0	  0.002549766
8.1	  0.0011607226
8.2	  2.4517684E-4
8.3	  4.58212E-5
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.012279286
6.1	  0.012279286
6.2	  0.012279286
6.3	  0.012279286
6.4	  0.012279286
6.5	  0.012273597
6.6	  0.012074771
6.7	  0.012062036
6.8	  0.011983885
6.9	  0.011962956
7.0	  0.011653574
7.1	  0.011625246
7.2	  0.011304684
7.3	  0.011237553
7.4	  0.010915174
7.5	  0.010244697
7.6	  0.0099564325
7.7	  0.008635903
7.8	  0.005896871
7.9	  0.0045207213
8.0	  0.0025697153
8.1	  0.0011607226
8.2	  2.4517684E-4
8.3	  4.58212E-5
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  5.0E-5
6.1	  5.0E-5
6.2	  5.0E-5
6.3	  5.0E-5
6.4	  5.0E-5
6.5	  5.0E-5
6.6	  5.0E-5
6.7	  5.0E-5
6.8	  5.0E-5
6.9	  5.0E-5
7.0	  5.0E-5
7.1	  5.0E-5
7.2	  5.0E-5
7.3	  5.0E-5
7.4	  5.0E-5
7.5	  5.0E-5
7.6	  5.0E-5
7.7	  5.0E-5
7.8	  5.0E-5
7.9	  5.0E-5
8.0	  2.0E-5
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


