Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,0.008946515,0.00717234,0.0071921963,1.0027685,2.0E-5,0.08594794,0.07055717,0.07058505,1.0003952,3.0E-5
6.1,0.008946515,0.00717234,0.0071921963,1.0027685,2.0E-5,0.08594794,0.07055717,0.07058505,1.0003952,3.0E-5
6.2,0.008946515,0.00717234,0.0071921963,1.0027685,2.0E-5,0.08594794,0.07055717,0.07058505,1.0003952,3.0E-5
6.3,0.008919428,0.007130597,0.0071504544,1.0027848,2.0E-5,0.08569809,0.07016934,0.07019723,1.0003976,3.0E-5
6.4,0.008517839,0.007066272,0.007086131,1.0028104,2.0E-5,0.08198654,0.06940334,0.06943126,1.0004022,3.0E-5
6.5,0.00818132,0.0065789595,0.006598828,1.00302,2.0E-5,0.078865945,0.06486502,0.06489308,1.0004325,3.0E-5
6.6,0.006780438,0.006029091,0.0060489704,1.0032972,2.0E-5,0.0657725,0.059329044,0.059357263,1.0004756,3.0E-5
6.7,0.0066920654,0.005887206,0.0059070885,1.0033772,2.0E-5,0.06494093,0.05804007,0.058068328,1.0004869,3.0E-5
6.8,0.0066577005,0.005854814,0.0058746967,1.003396,2.0E-5,0.06461738,0.057753924,0.05778219,1.0004895,3.0E-5
6.9,0.006600777,0.005772947,0.0057928315,1.0034444,2.0E-5,0.06408122,0.057025746,0.057054035,1.000496,3.0E-5
7.0,0.006257969,0.0056328685,0.005652756,1.0035306,2.0E-5,0.06084648,0.055698298,0.05571718,1.000339,2.0E-5
7.1,0.0041915346,0.0028101087,0.0028300525,1.0070971,2.0E-5,0.041133516,0.0296203,0.029639706,1.0006552,2.0E-5
7.2,0.0036948253,0.0022381279,0.002258083,1.008916,2.0E-5,0.03633994,0.023942905,0.023962427,1.0008153,2.0E-5
7.3,0.0032266637,0.001506644,0.0015266138,1.0132545,2.0E-5,0.031802133,0.016500186,0.016519856,1.0011921,2.0E-5
7.4,0.0030772698,0.00140917,0.0014291417,1.0141728,2.0E-5,0.030350044,0.015472017,0.015491708,1.0012727,2.0E-5
7.5,0.002826395,0.0012869575,0.0012969446,1.0077603,1.0E-5,0.027907165,0.014164128,0.014173986,1.0006961,1.0E-5
7.6,0.0023093296,0.0010381279,0.0010481175,1.0096227,1.0E-5,0.022854783,0.011413483,0.011423368,1.0008662,1.0E-5
7.7,0.002146502,9.876733E-4,9.976635E-4,1.0101148,1.0E-5,0.021258866,0.010871243,0.010881133,1.0009098,1.0E-5
7.8,0.0018459131,9.6828083E-4,9.782711E-4,1.0103176,1.0E-5,0.018306552,0.010652777,0.01066267,1.0009288,1.0E-5
7.9,0.001348489,9.0319145E-4,9.131824E-4,1.0110619,1.0E-5,0.013403354,0.009908291,0.0099181915,1.0009992,1.0E-5
8.0,0.0010314309,7.740723E-4,7.840645E-4,1.0129087,1.0E-5,0.010266567,0.008509548,0.008519463,1.0011652,1.0E-5
8.1,7.6595135E-4,6.31597E-4,6.415907E-4,1.0158229,1.0E-5,0.0076331664,0.0069696293,0.0069795595,1.0014248,1.0E-5
8.2,4.5063766E-4,2.8535217E-4,2.8535217E-4,1.0,0.0,0.004497249,0.003245944,0.003245944,1.0,0.0
8.3,1.034694E-4,3.9971612E-5,3.9971612E-5,1.0,0.0,0.0010342124,4.7201355E-4,4.7201355E-4,1.0,0.0
