Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17283534,0.0,0.28761,0.0,0.0,0.0,39.0,0.0,0.0,1.0,2.0
0.34567067,0.0,0.56918,0.0,0.0,0.0,57.0,0.0,0.0,1.0,3.0
0.51850605,1.0,0.84898,1.0,0.0,0.0,74.0,0.0,0.0,2.0,3.0
0.69134134,1.0,1.12209,1.0,0.0,0.0,84.0,0.0,0.0,2.0,4.0
0.8641767,1.0,1.38802,1.0,1.0,0.0,93.0,0.0,0.0,3.0,5.0
1.0370121,1.0,1.64685,1.0,1.0,0.0,98.0,0.0,0.0,3.0,5.0
1.2098473,1.0,1.9038,2.0,1.0,0.0,103.0,0.0,0.0,3.0,6.0
1.3826827,1.0,2.15636,2.0,1.0,0.0,107.0,0.0,0.0,4.0,7.0
1.555518,1.0,2.40169,2.0,1.0,0.0,111.0,0.0,1.0,4.0,7.0
1.7283534,1.0,2.64358,2.0,2.0,0.0,116.0,0.0,1.0,4.0,8.0
1.9011887,1.0,2.88244,2.0,2.0,0.0,120.0,0.0,1.0,5.0,8.0
2.0740242,1.0,3.11221,3.0,2.0,0.0,124.0,0.0,1.0,5.0,9.0
2.2468596,1.0,3.34393,3.0,2.0,0.0,130.0,0.0,1.0,5.0,9.0
2.4196947,1.0,3.56587,3.0,2.0,0.0,132.0,0.0,1.0,5.0,9.0
2.59253,1.0,3.787,3.0,3.0,0.0,134.0,0.0,1.0,6.0,10.0
2.7653654,1.0,4.00548,3.0,3.0,0.0,135.0,0.0,2.0,6.0,10.0
2.9382007,1.0,4.21703,4.0,3.0,0.0,137.0,0.0,2.0,6.0,11.0
3.111036,1.0,4.42511,4.0,3.0,0.0,140.0,0.0,2.0,7.0,11.0
3.2838714,1.0,4.62933,4.0,3.0,0.0,143.0,0.0,2.0,7.0,12.0
3.4567068,2.0,4.83113,4.0,3.0,0.0,148.0,1.0,2.0,7.0,12.0
3.629542,2.0,5.02781,4.0,4.0,0.0,151.0,1.0,2.0,7.0,13.0
3.8023775,2.0,5.22211,5.0,4.0,0.0,153.0,1.0,2.0,8.0,13.0
3.9752128,2.0,5.41515,5.0,4.0,0.0,153.0,1.0,2.0,8.0,13.0
4.1480484,2.0,5.60337,5.0,4.0,0.0,154.0,1.0,3.0,8.0,14.0
4.3208838,2.0,5.79375,5.0,4.0,0.0,156.0,1.0,3.0,8.0,14.0
4.493719,2.0,5.98163,5.0,4.0,0.0,158.0,1.0,3.0,9.0,15.0
4.666554,2.0,6.16754,5.0,5.0,0.0,159.0,1.0,3.0,9.0,15.0
4.8393893,3.0,6.35171,6.0,5.0,0.0,159.0,1.0,3.0,9.0,15.0
5.0122247,3.0,6.52662,6.0,5.0,0.0,160.0,1.0,3.0,9.0,16.0
5.18506,4.0,6.70089,6.0,5.0,0.0,163.0,1.0,3.0,9.0,16.0
5.3578954,4.0,6.8723,6.0,5.0,0.0,164.0,1.0,3.0,10.0,16.0
5.5307307,4.0,7.04168,6.0,5.0,0.0,166.0,2.0,3.0,10.0,17.0
5.703566,4.0,7.21052,6.0,5.0,0.0,166.0,2.0,4.0,10.0,17.0
5.8764014,4.0,7.37551,6.0,6.0,0.0,166.0,2.0,4.0,10.0,17.0
6.049237,4.0,7.53909,7.0,6.0,0.0,167.0,2.0,4.0,10.0,18.0
6.222072,5.0,7.69966,7.0,6.0,0.0,168.0,2.0,4.0,11.0,18.0
6.3949075,5.0,7.85795,7.0,6.0,0.0,168.0,2.0,4.0,11.0,18.0
6.567743,5.0,8.01409,7.0,6.0,0.0,169.0,2.0,4.0,11.0,19.0
6.740578,5.0,8.16711,7.0,6.0,0.0,170.0,2.0,4.0,11.0,19.0
6.9134135,5.0,8.32293,7.0,6.0,0.0,171.0,2.0,4.0,11.0,19.0
7.086249,5.0,8.47096,7.0,6.0,0.0,171.0,2.0,4.0,12.0,20.0
7.259084,5.0,8.62009,8.0,7.0,0.0,171.0,2.0,5.0,12.0,20.0
7.4319196,5.0,8.76603,8.0,7.0,0.0,172.0,2.0,5.0,12.0,20.0
7.604755,5.0,8.90886,8.0,7.0,0.0,175.0,2.0,5.0,12.0,20.0
7.7775903,5.0,9.05054,8.0,7.0,0.0,176.0,2.0,5.0,12.0,21.0
7.9504256,5.0,9.19323,8.0,7.0,0.0,178.0,3.0,5.0,12.0,21.0
8.123261,5.0,9.33368,8.0,7.0,0.0,204.0,3.0,5.0,13.0,21.0
8.296097,5.0,9.47245,8.0,7.0,0.0,218.0,3.0,5.0,13.0,22.0
8.468932,5.0,9.60944,8.0,8.0,0.0,231.0,3.0,5.0,13.0,22.0
8.6417675,5.0,9.7445,9.0,8.0,0.0,234.0,3.0,5.0,13.0,22.0
8.814603,5.0,9.87726,9.0,8.0,0.0,244.0,3.0,5.0,13.0,22.0
8.987438,5.0,10.00769,9.0,8.0,0.0,248.0,3.0,5.0,13.0,23.0
9.160273,5.0,10.13715,9.0,8.0,0.0,253.0,3.0,6.0,14.0,23.0
9.333108,5.0,10.26752,9.0,8.0,0.0,256.0,3.0,6.0,14.0,23.0
9.505943,5.0,10.3952,9.0,8.0,0.0,260.0,3.0,6.0,14.0,24.0
9.678779,5.0,10.52269,9.0,9.0,0.0,262.0,3.0,6.0,14.0,24.0
9.851614,5.0,10.64911,9.0,9.0,0.0,267.0,3.0,6.0,14.0,24.0
10.024449,5.0,10.77335,9.0,9.0,0.0,276.0,3.0,6.0,14.0,24.0
