
X-Axis: Magnitude
Y-Axis: 10 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.009709897
6.1	  0.009709897
6.2	  0.009709897
6.3	  0.009709897
6.4	  0.009709897
6.5	  0.009709897
6.6	  0.009709897
6.7	  0.009709897
6.8	  0.006164385
6.9	  0.006164385
7.0	  0.005058831
7.1	  0.0044375416
7.2	  0.0038428132
7.3	  0.0033671674
7.4	  0.0031237002
7.5	  0.0025687215
7.6	  0.0020319829
7.7	  0.00147086
7.8	  0.0010072939
7.9	  2.5870028E-4
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.010308345
6.1	  0.010308345
6.2	  0.010308345
6.3	  0.010308345
6.4	  0.010308345
6.5	  0.010308345
6.6	  0.010308345
6.7	  0.010308345
6.8	  0.0065015987
6.9	  0.0065015987
7.0	  0.005326807
7.1	  0.0046694195
7.2	  0.0040415856
7.3	  0.003538031
7.4	  0.003281322
7.5	  0.0026973898
7.6	  0.0021313147
7.7	  0.0015418708
7.8	  0.0010566099
7.9	  2.7228278E-4
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.010318242
6.1	  0.010318242
6.2	  0.010318242
6.3	  0.010318242
6.4	  0.010318242
6.5	  0.010318242
6.6	  0.010318242
6.7	  0.010318242
6.8	  0.0065115336
6.9	  0.0065115336
7.0	  0.005336754
7.1	  0.004679373
7.2	  0.004051545
7.3	  0.003538031
7.4	  0.003281322
7.5	  0.0026973898
7.6	  0.0021313147
7.7	  0.0015418708
7.8	  0.0010566099
7.9	  2.7228278E-4
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  1.0E-5
6.1	  1.0E-5
6.2	  1.0E-5
6.3	  1.0E-5
6.4	  1.0E-5
6.5	  1.0E-5
6.6	  1.0E-5
6.7	  1.0E-5
6.8	  1.0E-5
6.9	  1.0E-5
7.0	  1.0E-5
7.1	  1.0E-5
7.2	  1.0E-5
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


