Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,0.0010374374,0.0011400293,0.0012099495,1.061332,7.0E-5,0.010326075,0.011350825,0.011518896,1.0148069,1.7E-4
6.1,0.0010374374,0.0011400293,0.0012099495,1.061332,7.0E-5,0.010326075,0.011350825,0.011518896,1.0148069,1.7E-4
6.2,0.0010374374,0.0011400293,0.0012099495,1.061332,7.0E-5,0.010326075,0.011350825,0.011518896,1.0148069,1.7E-4
6.3,5.7992124E-4,6.3519925E-4,6.751738E-4,1.0629324,4.0E-5,0.0057841022,0.006336943,0.006416436,1.0125444,8.0E-5
6.4,5.7992124E-4,6.3519925E-4,6.751738E-4,1.0629324,4.0E-5,0.0057841022,0.006336943,0.006416436,1.0125444,8.0E-5
6.5,3.1840094E-4,3.4809412E-4,3.780837E-4,1.0861536,3.0E-5,0.0031794512,0.0034767229,0.0035365142,1.0171976,6.0E-5
6.6,3.034899E-4,3.3211368E-4,3.6210372E-4,1.0903006,3.0E-5,0.0030307577,0.0033173955,0.0033771964,1.0180265,6.0E-5
6.7,2.5484123E-4,2.7864063E-4,3.0863227E-4,1.1076356,3.0E-5,0.0025454918,0.0027840682,0.002843901,1.0214912,6.0E-5
6.8,9.281505E-5,1.0121931E-4,1.2121729E-4,1.1975708,2.0E-5,9.2776294E-4,0.0010118868,0.0010418564,1.0296175,3.0E-5
6.9,3.937079E-5,4.3292963E-5,4.3292963E-5,1.0,0.0,3.9363815E-4,4.3287824E-4,4.3287824E-4,1.0,0.0
7.0,3.578281E-5,3.935215E-5,3.935215E-5,1.0,0.0,3.577705E-4,3.934843E-4,3.934843E-4,1.0,0.0
