Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,0.007891912,0.015697425,0.015707267,1.000627,1.0E-5,0.076174594,0.1385009,0.13852675,1.0001866,3.0E-5
6.1,0.0078097614,0.015540815,0.015550659,1.0006335,1.0E-5,0.075409345,0.1371705,0.13719638,1.0001887,3.0E-5
6.2,0.0066279583,0.013048424,0.013058294,1.0007564,1.0E-5,0.064337276,0.11726848,0.11729496,1.0002258,3.0E-5
6.3,0.0059959386,0.011669638,0.011679521,1.000847,1.0E-5,0.058367174,0.1063846,0.106411405,1.000252,3.0E-5
6.4,0.0055782744,0.010774464,0.010784357,1.0009181,1.0E-5,0.0544031,0.09920717,0.09923419,1.0002724,3.0E-5
6.5,0.0050468626,0.009696334,0.009706237,1.0010213,1.0E-5,0.04933773,0.09009882,0.09012612,1.0003029,3.0E-5
6.6,0.0041944524,0.00782795,0.00782795,1.0,0.0,0.04116161,0.074868746,0.074887246,1.0002471,2.0E-5
6.7,0.004070005,0.0075907777,0.0075907777,1.0,0.0,0.039962657,0.07271827,0.07273682,1.000255,2.0E-5
6.8,0.0036279052,0.00661497,0.00661497,1.0,0.0,0.03569247,0.06381255,0.06383127,1.0002934,2.0E-5
6.9,0.0030218933,0.005280258,0.005280258,1.0,0.0,0.029811295,0.05151172,0.05153069,1.0003682,2.0E-5
7.0,0.0025986114,0.0044619166,0.0044619166,1.0,0.0,0.025684336,0.04379174,0.043810867,1.0004367,2.0E-5
7.1,0.0022328163,0.0037050773,0.0037050773,1.0,0.0,0.022105146,0.036742687,0.03676195,1.0005243,2.0E-5
7.2,0.0017986323,0.0029069192,0.0029069192,1.0,0.0,0.017841442,0.029085947,0.029105365,1.0006676,2.0E-5
7.3,0.0013405791,0.0021163148,0.0021163148,1.0,0.0,0.013325208,0.021303501,0.021323074,1.0009189,2.0E-5
7.4,9.3894306E-4,0.0014868785,0.0014868785,1.0,0.0,0.009349857,0.015055492,0.015075191,1.0013084,2.0E-5
7.5,8.134431E-4,0.0013468325,0.0013468325,1.0,0.0,0.008104719,0.013655296,0.013675022,1.0014446,2.0E-5
7.6,5.795553E-4,0.0010027871,0.0010027871,1.0,0.0,0.0057804612,0.010206719,0.010226515,1.0019395,2.0E-5
7.7,3.241884E-4,5.446856E-4,5.446856E-4,1.0,0.0,0.0032371588,0.0056220726,0.00564196,1.0035374,2.0E-5
7.8,2.7679754E-4,4.922986E-4,4.922986E-4,1.0,0.0,0.0027645302,0.0050763255,0.005096224,1.0039198,2.0E-5
7.9,1.7548777E-4,3.8542165E-4,3.8542165E-4,1.0,0.0,0.0017534926,0.003950017,0.003969938,1.0050433,2.0E-5
8.0,1.05766376E-4,2.3033272E-4,2.3033272E-4,1.0,0.0,0.0010571606,0.0023519325,0.002361909,1.0042418,1.0E-5
8.1,6.3687774E-5,1.2397295E-4,1.2397295E-4,1.0,0.0,6.366953E-4,0.001271018,0.001271018,1.0,0.0
