Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.9416384E-5,2.2584505E-5,2.2584505E-5,1.0,0.0,8.321042E-5,9.678782E-5,1.0678685E-4,1.1033088,1.0E-5,0.001012616,0.0011778749,0.0011878631,1.0084798,1.0E-5,0.010080142,0.011728163,0.011738045,1.0008427,1.0E-5
6.1,1.9416384E-5,2.2584505E-5,2.2584505E-5,1.0,0.0,8.321042E-5,9.678782E-5,1.0678685E-4,1.1033088,1.0E-5,0.001012616,0.0011778749,0.0011878631,1.0084798,1.0E-5,0.010080142,0.011728163,0.011738045,1.0008427,1.0E-5
6.2,1.9416384E-5,2.2584505E-5,2.2584505E-5,1.0,0.0,8.321042E-5,9.678782E-5,1.0678685E-4,1.1033088,1.0E-5,0.001012616,0.0011778749,0.0011878631,1.0084798,1.0E-5,0.010080142,0.011728163,0.011738045,1.0008427,1.0E-5
6.3,1.9416384E-5,2.2584505E-5,2.2584505E-5,1.0,0.0,8.321042E-5,9.678782E-5,1.0678685E-4,1.1033088,1.0E-5,0.001012616,0.0011778749,0.0011878631,1.0084798,1.0E-5,0.010080142,0.011728163,0.011738045,1.0008427,1.0E-5
6.4,1.9416384E-5,2.2584505E-5,2.2584505E-5,1.0,0.0,8.321042E-5,9.678782E-5,1.0678685E-4,1.1033088,1.0E-5,0.001012616,0.0011778749,0.0011878631,1.0084798,1.0E-5,0.010080142,0.011728163,0.011738045,1.0008427,1.0E-5
6.5,1.9389157E-5,2.2553093E-5,2.2553093E-5,1.0,0.0,8.309374E-5,9.665321E-5,1.06652245E-4,1.1034527,1.0E-5,0.0010111968,0.0011762377,0.001186226,1.0084916,1.0E-5,0.010066078,0.011711964,0.011721848,1.0008439,1.0E-5
6.6,1.9389157E-5,2.2553093E-5,2.2553093E-5,1.0,0.0,8.309374E-5,9.665321E-5,1.06652245E-4,1.1034527,1.0E-5,0.0010111968,0.0011762377,0.001186226,1.0084916,1.0E-5,0.010066078,0.011711964,0.011721848,1.0008439,1.0E-5
6.7,1.4925434E-5,1.7208535E-5,1.7208535E-5,1.0,0.0,6.396457E-5,7.374925E-5,8.374852E-5,1.1355846,1.0E-5,7.7849044E-4,8.9761236E-4,9.0760336E-4,1.0111307,1.0E-5,0.007757689,0.008948244,0.008958154,1.0011076,1.0E-5
6.8,1.3570335E-5,1.5617119E-5,1.5617119E-5,1.0,0.0,5.8157282E-5,6.692926E-5,7.692858E-5,1.1494015,1.0E-5,7.0783484E-4,8.146411E-4,8.24633E-4,1.0122653,1.0E-5,0.0070558446,0.00812462,0.008134538,1.0012208,1.0E-5
6.9,1.3570335E-5,1.5617119E-5,1.5617119E-5,1.0,0.0,5.8157282E-5,6.692926E-5,7.692858E-5,1.1494015,1.0E-5,7.0783484E-4,8.146411E-4,8.24633E-4,1.0122653,1.0E-5,0.0070558446,0.00812462,0.008134538,1.0012208,1.0E-5
7.0,1.3433392E-5,1.546066E-5,1.546066E-5,1.0,0.0,5.757041E-5,6.625875E-5,7.625809E-5,1.1509135,1.0E-5,7.0069433E-4,8.064838E-4,8.164757E-4,1.0123895,1.0E-5,0.006984891,0.008043638,0.008053558,1.0012332,1.0E-5
7.1,8.181609E-6,9.417022E-6,9.417022E-6,1.0,0.0,3.5063567E-5,4.035842E-5,5.0358016E-5,1.2477697,1.0E-5,4.268153E-4,4.9132004E-4,5.013151E-4,1.0203433,1.0E-5,0.0042599645,0.0049089147,0.0049188654,1.0020272,1.0E-5
7.2,2.0663983E-7,1.726362E-7,1.726362E-7,1.0,0.0,8.855989E-7,7.398692E-7,7.398692E-7,1.0,0.0,1.0782113E-5,9.007875E-6,9.007875E-6,1.0,0.0,1.07815904E-4,9.007545E-5,9.007545E-5,1.0,0.0
7.3,2.0462376E-7,1.7079111E-7,1.7079111E-7,1.0,0.0,8.7695867E-7,7.319617E-7,7.319617E-7,1.0,0.0,1.0676919E-5,8.911601E-6,8.911601E-6,1.0,0.0,1.0676406E-4,8.911279E-5,8.911279E-5,1.0,0.0
7.4,2.0171088E-7,1.6861586E-7,1.6861586E-7,1.0,0.0,8.644749E-7,7.226392E-7,7.226392E-7,1.0,0.0,1.0524931E-5,8.798101E-6,8.798101E-6,1.0,0.0,1.05244326E-4,8.7977875E-5,8.7977875E-5,1.0,0.0
7.5,1.4847944E-7,1.2559862E-7,1.2559862E-7,1.0,0.0,6.363403E-7,5.3827966E-7,5.3827966E-7,1.0,0.0,7.747416E-6,6.553538E-6,6.553538E-6,1.0,0.0,7.747146E-5,6.553366E-5,6.553366E-5,1.0,0.0
7.6,1.3185847E-7,1.1123766E-7,1.1123766E-7,1.0,0.0,5.6510765E-7,4.7673274E-7,4.7673274E-7,1.0,0.0,6.8801637E-6,5.804208E-6,5.804208E-6,1.0,0.0,6.8799505E-5,5.8040772E-5,5.8040772E-5,1.0,0.0
7.7,2.8609954E-8,1.41715555E-8,1.41715555E-8,1.0,0.0,1.2261408E-7,6.073524E-8,6.073524E-8,1.0,0.0,1.4928254E-6,7.394513E-7,7.394513E-7,1.0,0.0,1.4928154E-5,7.394494E-6,7.394494E-6,1.0,0.0
