Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4027072E-6,1.4792274E-6,1.4792274E-6,1.0,0.0,6.0115885E-6,6.3395346E-6,6.3395346E-6,1.0,0.0,7.318863E-5,7.71818E-5,8.7181026E-5,1.1295543,1.0E-5,7.316453E-4,7.7161845E-4,7.816108E-4,1.0129498,1.0E-5
6.1,1.4027072E-6,1.4792274E-6,1.4792274E-6,1.0,0.0,6.0115885E-6,6.3395346E-6,6.3395346E-6,1.0,0.0,7.318863E-5,7.71818E-5,8.7181026E-5,1.1295543,1.0E-5,7.316453E-4,7.7161845E-4,7.816108E-4,1.0129498,1.0E-5
6.2,1.4027072E-6,1.4792274E-6,1.4792274E-6,1.0,0.0,6.0115885E-6,6.3395346E-6,6.3395346E-6,1.0,0.0,7.318863E-5,7.71818E-5,8.7181026E-5,1.1295543,1.0E-5,7.316453E-4,7.7161845E-4,7.816108E-4,1.0129498,1.0E-5
6.3,1.4027072E-6,1.4792274E-6,1.4792274E-6,1.0,0.0,6.0115885E-6,6.3395346E-6,6.3395346E-6,1.0,0.0,7.318863E-5,7.71818E-5,8.7181026E-5,1.1295543,1.0E-5,7.316453E-4,7.7161845E-4,7.816108E-4,1.0129498,1.0E-5
6.4,6.504502E-7,7.2045725E-7,7.2045725E-7,1.0,0.0,2.7876408E-6,3.0876704E-6,3.0876704E-6,1.0,0.0,3.3939E-5,3.759175E-5,3.759175E-5,1.0,0.0,3.3933815E-4,3.758551E-4,3.758551E-4,1.0,0.0
6.5,6.504502E-7,7.2045725E-7,7.2045725E-7,1.0,0.0,2.7876408E-6,3.0876704E-6,3.0876704E-6,1.0,0.0,3.3939E-5,3.759175E-5,3.759175E-5,1.0,0.0,3.3933815E-4,3.758551E-4,3.758551E-4,1.0,0.0
6.6,5.8056526E-7,6.500832E-7,6.500832E-7,1.0,0.0,2.4881344E-6,2.7860679E-6,2.7860679E-6,1.0,0.0,3.0292615E-5,3.3919856E-5,3.3919856E-5,1.0,0.0,3.0288487E-4,3.3914737E-4,3.3914737E-4,1.0,0.0
6.7,5.741448E-7,6.436143E-7,6.436143E-7,1.0,0.0,2.4606184E-6,2.7583442E-6,2.7583442E-6,1.0,0.0,2.9957617E-5,3.3582328E-5,3.3582328E-5,1.0,0.0,2.9953578E-4,3.3577313E-4,3.3577313E-4,1.0,0.0
6.8,5.299428E-7,5.8915657E-7,5.8915657E-7,1.0,0.0,2.2711813E-6,2.5249542E-6,2.5249542E-6,1.0,0.0,2.7651282E-5,3.0740888E-5,3.0740888E-5,1.0,0.0,2.7647841E-4,3.0736683E-4,3.0736683E-4,1.0,0.0
6.9,4.82394E-7,5.3423264E-7,5.3423264E-7,1.0,0.0,2.0674013E-6,2.2895663E-6,2.2895663E-6,1.0,0.0,2.517032E-5,2.7875118E-5,2.7875118E-5,1.0,0.0,2.516747E-4,2.7871662E-4,2.7871662E-4,1.0,0.0
