
X-Axis: Magnitude
Y-Axis: 10 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0037164164
6.1	  0.0037164164
6.2	  0.0037164164
6.3	  0.0037164164
6.4	  0.0037164164
6.5	  0.0037164164
6.6	  0.0037164164
6.7	  0.0037164164
6.8	  0.0031045752
6.9	  0.0011966228
7.0	  0.0011716976
7.1	  0.0010389143
7.2	  7.575835E-4
7.3	  4.6846745E-4
7.4	  4.0566566E-4
7.5	  2.7360884E-4
7.6	  8.08195E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0038960816
6.1	  0.0038960816
6.2	  0.0038960816
6.3	  0.0038960816
6.4	  0.0038960816
6.5	  0.0038960816
6.6	  0.0038960816
6.7	  0.0038960816
6.8	  0.0032509116
6.9	  0.0012424196
7.0	  0.0012162022
7.1	  0.0010767531
7.2	  7.847571E-4
7.3	  4.8561292E-4
7.4	  4.2050943E-4
7.5	  2.8388324E-4
7.6	  8.3951796E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0039160037
6.1	  0.0039160037
6.2	  0.0039160037
6.3	  0.0039160037
6.4	  0.0039160037
6.5	  0.0039160037
6.6	  0.0039160037
6.7	  0.0039160037
6.8	  0.0032708466
6.9	  0.0012424196
7.0	  0.0012162022
7.1	  0.0010767531
7.2	  7.847571E-4
7.3	  4.8561292E-4
7.4	  4.2050943E-4
7.5	  2.8388324E-4
7.6	  8.3951796E-5
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  2.0E-5
6.1	  2.0E-5
6.2	  2.0E-5
6.3	  2.0E-5
6.4	  2.0E-5
6.5	  2.0E-5
6.6	  2.0E-5
6.7	  2.0E-5
6.8	  2.0E-5
6.9	  0.0
7.0	  0.0
7.1	  0.0
7.2	  0.0
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


