Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4851273E-5,1.6694828E-5,4.6694327E-5,2.7969337,3.0E-5,6.364676E-5,7.154744E-5,1.7154028E-4,2.3975742,1.0E-4,7.7462377E-4,8.707655E-4,0.0013703301,1.5737075,5.0E-4,0.0077192914,0.008675915,0.009905157,1.1416844,0.00124
6.1,1.4851273E-5,1.6694828E-5,4.6694327E-5,2.7969337,3.0E-5,6.364676E-5,7.154744E-5,1.7154028E-4,2.3975742,1.0E-4,7.7462377E-4,8.707655E-4,0.0013703301,1.5737075,5.0E-4,0.0077192914,0.008675915,0.009905157,1.1416844,0.00124
6.2,1.4851273E-5,1.6694828E-5,4.6694327E-5,2.7969337,3.0E-5,6.364676E-5,7.154744E-5,1.7154028E-4,2.3975742,1.0E-4,7.7462377E-4,8.707655E-4,0.0013703301,1.5737075,5.0E-4,0.0077192914,0.008675915,0.009905157,1.1416844,0.00124
6.3,1.0426831E-5,1.1888711E-5,4.1888354E-5,3.5233724,3.0E-5,4.4685654E-5,5.0950657E-5,1.109476E-4,2.17755,6.0E-5,5.43912E-4,6.201536E-4,8.699986E-4,1.4028759,2.5E-4,0.0054258266,0.0061848387,0.0067711896,1.0948045,5.9E-4
6.4,1.0426831E-5,1.1888711E-5,4.1888354E-5,3.5233724,3.0E-5,4.4685654E-5,5.0950657E-5,1.109476E-4,2.17755,6.0E-5,5.43912E-4,6.201536E-4,8.699986E-4,1.4028759,2.5E-4,0.0054258266,0.0061848387,0.0067711896,1.0948045,5.9E-4
6.5,9.25027E-6,1.0620039E-5,4.061972E-5,3.8248184,3.0E-5,3.964341E-5,4.5513687E-5,1.0551095E-4,2.3182247,6.0E-5,4.8255164E-4,5.5399316E-4,7.5388234E-4,1.3608153,2.0E-4,0.0048150513,0.0055266204,0.005964189,1.0791746,4.4E-4
6.6,7.904275E-6,9.15959E-6,9.15959E-6,1.0,0.0,3.3875025E-5,3.925482E-5,6.925364E-5,1.7642074,3.0E-5,4.1235037E-4,4.7782654E-4,6.277549E-4,1.3137715,1.5E-4,0.0041158604,0.0047683883,0.0050171963,1.0521786,2.5E-4
6.7,7.2061953E-6,8.407307E-6,8.407307E-6,1.0,0.0,3.088333E-5,3.603084E-5,6.602976E-5,1.8325901,3.0E-5,3.7593965E-4,4.3859085E-4,5.2855135E-4,1.2051127,9.0E-5,0.003753043,0.0043776217,0.004536921,1.0363895,1.6E-4
6.8,6.6948724E-6,7.84222E-6,7.84222E-6,1.0,0.0,2.8691995E-5,3.3609103E-5,6.3608095E-5,1.8925854,3.0E-5,3.4926904E-4,4.0911755E-4,4.890848E-4,1.1954628,8.0E-5,0.003487206,0.0040840013,0.0042234296,1.0341401,1.4E-4
6.9,6.0421025E-6,7.1306695E-6,7.1306695E-6,1.0,0.0,2.5894467E-5,3.0559673E-5,6.0558756E-5,1.981656,3.0E-5,3.1521954E-4,3.7200388E-4,4.3198158E-4,1.1612287,6.0E-5,0.0031477278,0.0037141498,0.0038337042,1.0321889,1.2E-4
7.0,4.134091E-6,5.080343E-6,5.080343E-6,1.0,0.0,1.7717413E-5,2.1772723E-5,5.177207E-5,2.3778408,3.0E-5,2.1568815E-4,2.6505222E-4,3.050416E-4,1.1508737,4.0E-5,0.0021547892,0.002647514,0.002707355,1.0226028,6.0E-5
7.1,3.7674888E-6,4.6318996E-6,4.6318996E-6,1.0,0.0,1.6146281E-5,1.9850857E-5,3.985046E-5,2.0074933,2.0E-5,1.9656324E-4,2.416589E-4,2.7165163E-4,1.1241119,3.0E-5,0.0019638946,0.0024141117,0.002463991,1.0206616,5.0E-5
7.2,3.4065345E-6,4.15675E-6,4.15675E-6,1.0,0.0,1.4599351E-5,1.7814531E-5,3.7814174E-5,2.122659,2.0E-5,1.777326E-4,2.1687182E-4,2.4686533E-4,1.1383005,3.0E-5,0.0017759053,0.00216675,0.0022066634,1.0184208,4.0E-5
7.3,2.9934936E-6,3.629339E-6,3.629339E-6,1.0,0.0,1.2829195E-5,1.5554226E-5,3.5553916E-5,2.2858043,2.0E-5,1.5618425E-4,1.8935773E-4,2.1935203E-4,1.1584003,3.0E-5,0.0015607453,0.001892109,0.0019220524,1.0158253,3.0E-5
7.4,2.4049796E-6,2.8890006E-6,2.8890006E-6,1.0,0.0,1.0307015E-5,1.2381381E-5,2.2381257E-5,1.8076544,1.0E-5,1.2548068E-4,1.5073431E-4,1.707313E-4,1.1326638,2.0E-5,0.0012540985,0.0015064622,0.0015264321,1.0132562,2.0E-5
7.5,1.2710091E-6,1.513476E-6,1.513476E-6,1.0,0.0,5.44717E-6,6.486317E-6,1.6486252E-5,2.541697,1.0E-5,6.631728E-5,7.896929E-5,9.8967714E-5,1.253243,2.0E-5,6.6297496E-4,7.89535E-4,8.095192E-4,1.0253114,2.0E-5
7.6,2.21172E-7,2.6039717E-7,2.6039717E-7,1.0,0.0,9.478797E-7,1.1159875E-6,1.1159875E-6,1.0,0.0,1.1540374E-5,1.3587092E-5,1.3587092E-5,1.0,0.0,1.1539775E-4,1.3586543E-4,1.3586543E-4,1.0,0.0
