Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.0346246E-5,1.0981468E-5,1.0981468E-5,1.0,0.0,4.43403E-5,4.706303E-5,4.706303E-5,1.0,0.0,5.3970946E-4,5.7292066E-4,5.829149E-4,1.0174444,1.0E-5,0.0053840056,0.0057221754,0.005732118,1.0017376,1.0E-5
6.1,1.0346246E-5,1.0981468E-5,1.0981468E-5,1.0,0.0,4.43403E-5,4.706303E-5,4.706303E-5,1.0,0.0,5.3970946E-4,5.7292066E-4,5.829149E-4,1.0174444,1.0E-5,0.0053840056,0.0057221754,0.005732118,1.0017376,1.0E-5
6.2,1.0346246E-5,1.0981468E-5,1.0981468E-5,1.0,0.0,4.43403E-5,4.706303E-5,4.706303E-5,1.0,0.0,5.3970946E-4,5.7292066E-4,5.829149E-4,1.0174444,1.0E-5,0.0053840056,0.0057221754,0.005732118,1.0017376,1.0E-5
6.3,3.2052794E-6,3.2361675E-6,3.2361675E-6,1.0,0.0,1.373684E-5,1.3869238E-5,1.3869238E-5,1.0,0.0,1.6723319E-4,1.6884886E-4,1.6884886E-4,1.0,0.0,0.001671074,0.0016875953,0.0016875953,1.0,0.0
6.4,3.2052794E-6,3.2361675E-6,3.2361675E-6,1.0,0.0,1.373684E-5,1.3869238E-5,1.3869238E-5,1.0,0.0,1.6723319E-4,1.6884886E-4,1.6884886E-4,1.0,0.0,0.001671074,0.0016875953,0.0016875953,1.0,0.0
6.5,3.2052794E-6,3.2361675E-6,3.2361675E-6,1.0,0.0,1.373684E-5,1.3869238E-5,1.3869238E-5,1.0,0.0,1.6723319E-4,1.6884886E-4,1.6884886E-4,1.0,0.0,0.001671074,0.0016875953,0.0016875953,1.0,0.0
6.6,1.948328E-6,1.8288993E-6,1.8288993E-6,1.0,0.0,8.349951E-6,7.8381245E-6,7.8381245E-6,1.0,0.0,1.016559E-4,9.542648E-5,9.542648E-5,1.0,0.0,0.0010160941,9.540021E-4,9.540021E-4,1.0,0.0
6.7,1.948328E-6,1.8288993E-6,1.8288993E-6,1.0,0.0,8.349951E-6,7.8381245E-6,7.8381245E-6,1.0,0.0,1.016559E-4,9.542648E-5,9.542648E-5,1.0,0.0,0.0010160941,9.540021E-4,9.540021E-4,1.0,0.0
6.8,1.1278219E-6,9.0332554E-7,9.0332554E-7,1.0,0.0,4.8335132E-6,3.871392E-6,3.871392E-6,1.0,0.0,5.8846435E-5,4.7133602E-5,4.7133602E-5,1.0,0.0,5.8830855E-4,4.712781E-4,4.712781E-4,1.0,0.0
6.9,1.1278219E-6,9.0332554E-7,9.0332554E-7,1.0,0.0,4.8335132E-6,3.871392E-6,3.871392E-6,1.0,0.0,5.8846435E-5,4.7133602E-5,4.7133602E-5,1.0,0.0,5.8830855E-4,4.712781E-4,4.712781E-4,1.0,0.0
7.0,1.1278219E-6,9.0332554E-7,9.0332554E-7,1.0,0.0,4.8335132E-6,3.871392E-6,3.871392E-6,1.0,0.0,5.8846435E-5,4.7133602E-5,4.7133602E-5,1.0,0.0,5.8830855E-4,4.712781E-4,4.712781E-4,1.0,0.0
7.1,1.0545139E-6,8.5694364E-7,8.5694364E-7,1.0,0.0,4.5193374E-6,3.6726128E-6,3.6726128E-6,1.0,0.0,5.5021545E-5,4.471357E-5,4.471357E-5,1.0,0.0,5.500792E-4,4.4708748E-4,4.4708748E-4,1.0,0.0
7.2,1.0545139E-6,8.5694364E-7,8.5694364E-7,1.0,0.0,4.5193374E-6,3.6726128E-6,3.6726128E-6,1.0,0.0,5.5021545E-5,4.471357E-5,4.471357E-5,1.0,0.0,5.500792E-4,4.4708748E-4,4.4708748E-4,1.0,0.0
7.3,9.505161E-8,5.8958964E-8,5.8958964E-8,1.0,0.0,4.0736398E-7,2.5268125E-7,2.5268125E-7,1.0,0.0,4.959645E-6,3.076391E-6,3.076391E-6,1.0,0.0,4.9595343E-5,3.0763604E-5,3.0763604E-5,1.0,0.0
7.4,3.9520785E-8,2.6988058E-8,2.6988058E-8,1.0,0.0,1.6937479E-7,1.15663106E-7,1.15663106E-7,1.0,0.0,2.062136E-6,1.4081977E-6,1.4081977E-6,1.0,0.0,2.062117E-5,1.4081914E-5,1.4081914E-5,1.0,0.0
7.5,5.6133214E-9,3.736929E-9,3.736929E-9,1.0,0.0,2.4057092E-8,1.601541E-8,1.601541E-8,1.0,0.0,2.9289507E-7,1.9498759E-7,1.9498759E-7,1.0,0.0,2.9289467E-6,1.9498746E-6,1.9498746E-6,1.0,0.0
7.6,4.1064334E-9,2.5958429E-9,2.5958429E-9,1.0,0.0,1.7599E-8,1.11250404E-8,1.11250404E-8,1.0,0.0,2.142678E-7,1.3544737E-7,1.3544737E-7,1.0,0.0,2.1426758E-6,1.3544729E-6,1.3544729E-6,1.0,0.0
7.7,1.361975E-9,6.361073E-10,6.361073E-10,1.0,0.0,5.8370353E-9,2.7261737E-9,2.7261737E-9,1.0,0.0,7.1065905E-8,3.3191164E-8,3.3191164E-8,1.0,0.0,7.106588E-7,3.3191162E-7,3.3191162E-7,1.0,0.0
7.8,1.361975E-9,6.361073E-10,6.361073E-10,1.0,0.0,5.8370353E-9,2.7261737E-9,2.7261737E-9,1.0,0.0,7.1065905E-8,3.3191164E-8,3.3191164E-8,1.0,0.0,7.106588E-7,3.3191162E-7,3.3191162E-7,1.0,0.0
