Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,6.978776E-4,5.73861E-4,5.73861E-4,1.0,0.0,0.0069569005,0.0057241553,0.005734098,1.001737,1.0E-5
6.1,6.978776E-4,5.73861E-4,5.73861E-4,1.0,0.0,0.0069569005,0.0057241553,0.005734098,1.001737,1.0E-5
6.2,6.978776E-4,5.73861E-4,5.73861E-4,1.0,0.0,0.0069569005,0.0057241553,0.005734098,1.001737,1.0E-5
6.3,6.978776E-4,5.73861E-4,5.73861E-4,1.0,0.0,0.0069569005,0.0057241553,0.005734098,1.001737,1.0E-5
6.4,6.978776E-4,5.73861E-4,5.73861E-4,1.0,0.0,0.0069569005,0.0057241553,0.005734098,1.001737,1.0E-5
6.5,6.601751E-4,5.3367624E-4,5.3367624E-4,1.0,0.0,0.006582173,0.005324268,0.005334215,1.0018682,1.0E-5
6.6,6.601751E-4,5.3367624E-4,5.3367624E-4,1.0,0.0,0.006582173,0.005324268,0.005334215,1.0018682,1.0E-5
6.7,6.521526E-4,5.2513083E-4,5.2513083E-4,1.0,0.0,0.0065024206,0.0052392185,0.005249166,1.0018986,1.0E-5
6.8,6.4967526E-4,5.226424E-4,5.226424E-4,1.0,0.0,0.006477792,0.0052144513,0.0052243993,1.0019077,1.0E-5
6.9,6.3771347E-4,5.108547E-4,5.108547E-4,1.0,0.0,0.006358865,0.0050971196,0.005107069,1.0019519,1.0E-5
7.0,6.1705755E-4,4.9033447E-4,4.9033447E-4,1.0,0.0,0.006153469,0.0048928377,0.004902789,1.0020338,1.0E-5
7.1,5.9658696E-4,4.6879528E-4,4.6879528E-4,1.0,0.0,0.005949879,0.0046783695,0.0046883225,1.0021275,1.0E-5
7.2,5.652721E-4,4.3820037E-4,4.3820037E-4,1.0,0.0,0.0056383642,0.0043736603,0.0043836166,1.0022764,1.0E-5
7.3,5.426921E-4,4.1844646E-4,4.1844646E-4,1.0,0.0,0.005413687,0.0041768807,0.0041868393,1.0023842,1.0E-5
7.4,5.09598E-4,3.8681895E-4,3.8681895E-4,1.0,0.0,0.0050843097,0.0038617484,0.0038717096,1.0025795,1.0E-5
7.5,4.5317915E-4,3.365208E-4,3.365208E-4,1.0,0.0,0.004522561,0.0033603995,0.0033603995,1.0,0.0
7.6,3.3131172E-4,2.3115624E-4,2.3115624E-4,1.0,0.0,0.003308182,0.002309383,0.002309383,1.0,0.0
7.7,2.4115283E-4,1.530402E-4,1.530402E-4,1.0,0.0,0.0024089129,0.0015295491,0.0015295491,1.0,0.0
7.8,1.6771426E-4,1.0172426E-4,1.0172426E-4,1.0,0.0,0.0016758774,0.0010169212,0.0010169212,1.0,0.0
7.9,5.4221324E-5,2.923711E-5,2.923711E-5,1.0,0.0,5.4208096E-4,2.9233305E-4,2.9233305E-4,1.0,0.0
8.0,6.3187167E-6,3.451146E-6,3.451146E-6,1.0,0.0,6.318537E-5,3.4510944E-5,3.4510944E-5,1.0,0.0
