Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.3179622E-5,3.3735705E-5,4.3735366E-5,1.2964119,1.0E-5,1.4219063E-4,1.4457502E-4,1.5457359E-4,1.0691582,1.0E-5,0.0017297962,0.0017590367,0.001769019,1.005675,1.0E-5,0.017163932,0.017476691,0.017506167,1.0016866,3.0E-5
6.1,3.3179622E-5,3.3735705E-5,4.3735366E-5,1.2964119,1.0E-5,1.4219063E-4,1.4457502E-4,1.5457359E-4,1.0691582,1.0E-5,0.0017297962,0.0017590367,0.001769019,1.005675,1.0E-5,0.017163932,0.017476691,0.017506167,1.0016866,3.0E-5
6.2,3.3179622E-5,3.3735705E-5,4.3735366E-5,1.2964119,1.0E-5,1.4219063E-4,1.4457502E-4,1.5457359E-4,1.0691582,1.0E-5,0.0017297962,0.0017590367,0.001769019,1.005675,1.0E-5,0.017163932,0.017476691,0.017506167,1.0016866,3.0E-5
6.3,3.3179622E-5,3.3735705E-5,4.3735366E-5,1.2964119,1.0E-5,1.4219063E-4,1.4457502E-4,1.5457359E-4,1.0691582,1.0E-5,0.0017297962,0.0017590367,0.001769019,1.005675,1.0E-5,0.017163932,0.017476691,0.017506167,1.0016866,3.0E-5
6.4,1.8754668E-5,1.7019815E-5,2.7019643E-5,1.5875405,1.0E-5,8.037467E-5,7.294015E-5,8.293942E-5,1.1370887,1.0E-5,9.781223E-4,8.8770763E-4,8.9769874E-4,1.011255,1.0E-5,0.009738282,0.0088439835,0.008863807,1.0022414,2.0E-5
6.5,1.8754668E-5,1.7019815E-5,2.7019643E-5,1.5875405,1.0E-5,8.037467E-5,7.294015E-5,8.293942E-5,1.1370887,1.0E-5,9.781223E-4,8.8770763E-4,8.9769874E-4,1.011255,1.0E-5,0.009738282,0.0088439835,0.008863807,1.0022414,2.0E-5
6.6,1.4361558E-5,1.2122415E-5,2.2122294E-5,1.8249081,1.0E-5,6.154808E-5,5.1952185E-5,6.1951665E-5,1.1924747,1.0E-5,7.490902E-4,6.323366E-4,6.4233027E-4,1.0158044,1.0E-5,0.0074657016,0.006305661,0.006315598,1.0015758,1.0E-5
6.7,1.4361558E-5,1.2122415E-5,2.2122294E-5,1.8249081,1.0E-5,6.154808E-5,5.1952185E-5,6.1951665E-5,1.1924747,1.0E-5,7.490902E-4,6.323366E-4,6.4233027E-4,1.0158044,1.0E-5,0.0074657016,0.006305661,0.006315598,1.0015758,1.0E-5
6.8,1.3663846E-5,1.13445485E-5,2.1344435E-5,1.8814707,1.0E-5,5.8558027E-5,4.8618596E-5,5.861811E-5,1.2056726,1.0E-5,7.127108E-4,5.917726E-4,6.017667E-4,1.0168884,1.0E-5,0.007104293,0.0059022144,0.0059121554,1.0016843,1.0E-5
6.9,1.3644157E-5,1.1322649E-5,2.1322536E-5,1.8831756,1.0E-5,5.8473648E-5,4.8524744E-5,5.852426E-5,1.2060704,1.0E-5,7.116841E-4,5.906306E-4,6.0062465E-4,1.016921,1.0E-5,0.007094092,0.0058908546,0.0059007956,1.0016875,1.0E-5
7.0,1.3568845E-5,1.1242214E-5,2.1242102E-5,1.8894945,1.0E-5,5.8150898E-5,4.8180038E-5,5.8179554E-5,1.2075448,1.0E-5,7.077572E-4,5.86436E-4,5.9643015E-4,1.0170422,1.0E-5,0.007055073,0.0058491305,0.0058590723,1.0016997,1.0E-5
7.1,1.306572E-5,1.0720661E-5,2.0720554E-5,1.9327683,1.0E-5,5.599474E-5,4.594489E-5,5.594443E-5,1.2176421,1.0E-5,6.815227E-4,5.592373E-4,5.6923175E-4,1.0178715,1.0E-5,0.0067943637,0.0055785356,0.00558848,1.0017825,1.0E-5
7.2,1.232604E-5,9.995251E-6,1.9995152E-5,2.0004652,1.0E-5,5.2824813E-5,4.2836098E-5,5.283567E-5,1.233438,1.0E-5,6.429523E-4,5.214065E-4,5.3140125E-4,1.0191689,1.0E-5,0.0064109527,0.0052020536,0.0052120015,1.0019124,1.0E-5
7.3,1.0917261E-5,8.843931E-6,1.8843843E-5,2.130709,1.0E-5,4.678742E-5,3.790202E-5,4.790164E-5,1.2638282,1.0E-5,5.69488E-4,4.6136096E-4,4.7135635E-4,1.021665,1.0E-5,0.0056803077,0.004604228,0.004614182,1.0021619,1.0E-5
7.4,1.039959E-5,8.423652E-6,1.8423567E-5,2.1871235,1.0E-5,4.456891E-5,3.610087E-5,4.610051E-5,1.2769916,1.0E-5,5.424914E-4,4.39441E-4,4.4943663E-4,1.0227462,1.0E-5,0.0054116896,0.004385913,0.004395869,1.00227,1.0E-5
7.5,9.015877E-6,7.2976136E-6,1.7297541E-5,2.370301,1.0E-5,3.86389E-5,3.1275118E-5,4.127481E-5,1.319733,1.0E-5,4.7032707E-4,3.8070945E-4,3.9070565E-4,1.0262568,1.0E-5,0.004693329,0.003800749,0.003810711,1.002621,1.0E-5
7.6,4.900162E-6,3.8741523E-6,1.3874113E-5,3.5812,1.0E-5,2.1000526E-5,1.6603404E-5,2.6603238E-5,1.6022761,1.0E-5,2.556514E-4,2.0212783E-4,2.1212581E-4,1.0494636,1.0E-5,0.0025535747,0.0020194536,0.0020294334,1.0049418,1.0E-5
7.7,3.8850626E-6,3.1267853E-6,1.3126754E-5,4.198163,1.0E-5,1.6650163E-5,1.340044E-5,2.3400306E-5,1.7462342,1.0E-5,2.0269687E-4,1.6313823E-4,1.731366E-4,1.0612878,1.0E-5,0.002025121,0.001630194,0.0016401778,1.0061243,1.0E-5
7.8,2.4654719E-6,2.029919E-6,1.2029899E-5,5.926295,1.0E-5,1.0566265E-5,8.699624E-6,1.8699537E-5,2.1494648,1.0E-5,1.2863669E-4,1.05912826E-4,1.1591177E-4,1.0944073,1.0E-5,0.0012856225,0.0010586282,0.0010686176,1.0094361,1.0E-5
