Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2197.0,3648.71,3268.0,3000.0,2417.0,18108.0,2718.0,2919.0,4152.0,7457.0
2.6,1819.0,2898.2224,2597.0,2433.0,1906.0,14325.0,2153.0,2317.0,3299.0,5927.0
2.7,1523.0,2302.0125,2063.0,1903.0,1491.0,11393.0,1706.0,1839.0,2622.0,4707.0
2.8,1221.0,1828.3666,1640.0,1549.0,1160.0,9049.0,1349.0,1459.0,2085.0,3741.0
2.9,1014.0,1452.3373,1303.0,1222.0,920.0,7249.0,1067.0,1157.0,1656.0,2973.0
3.0,863.0,1153.6218,1036.0,962.0,703.0,5771.0,844.0,918.0,1318.0,2363.0
3.1,739.0,916.34515,824.0,761.0,545.0,4572.0,666.0,728.0,1049.0,1879.0
3.2,632.0,727.81366,655.0,604.0,432.0,3628.0,525.0,577.0,834.0,1490.0
3.3,529.0,578.06354,521.0,471.0,335.0,2865.0,414.0,456.0,664.0,1184.0
3.4,435.0,459.06955,414.0,385.0,261.0,2241.0,325.0,361.0,529.0,941.0
3.5,330.0,364.5772,329.0,316.0,199.0,1796.0,255.0,286.0,421.0,750.0
3.6,236.0,289.5102,262.0,243.0,148.0,1399.0,200.0,225.0,336.0,596.0
3.7,170.0,229.91852,208.0,187.0,115.0,1101.0,156.0,178.0,268.0,474.0
3.8,141.0,182.56064,166.0,152.0,89.0,866.0,122.0,140.0,214.0,377.0
3.9,110.0,144.94379,132.0,125.0,64.0,690.0,95.0,110.0,171.0,300.0
4.0,83.0,115.07805,105.0,99.0,44.0,547.0,73.0,87.0,137.0,239.0
4.1,63.0,91.35036,83.0,76.0,32.0,440.0,56.0,68.0,110.0,190.0
4.2,50.0,72.48319,66.0,59.0,23.0,344.0,43.0,53.0,88.0,152.0
4.3,44.0,57.51852,53.0,48.0,17.0,275.0,33.0,41.0,71.0,121.0
4.4,35.0,45.63086,42.0,40.0,12.0,231.0,25.0,32.0,57.0,96.0
4.5,29.0,36.17451,33.0,30.0,7.0,179.0,19.0,25.0,46.0,77.0
4.6,19.0,28.65615,26.0,23.0,5.0,150.0,14.0,19.0,37.0,62.0
4.7,13.0,22.69843,21.0,19.0,3.0,124.0,10.0,15.0,30.0,49.0
4.8,10.0,17.96506,16.0,14.0,1.0,97.0,7.0,11.0,24.0,40.0
4.9,5.0,14.20685,13.0,11.0,0.0,82.0,5.0,8.0,20.0,32.0
5.0,3.0,11.22772,10.0,9.0,0.0,63.0,3.0,6.0,16.0,26.0
5.1,2.0,8.85169,8.0,7.0,0.0,56.0,2.0,5.0,13.0,21.0
5.2,2.0,6.96538,6.0,5.0,0.0,48.0,1.0,3.0,10.0,17.0
5.3,2.0,5.4714,5.0,4.0,0.0,41.0,1.0,2.0,8.0,14.0
5.4,2.0,4.2773,4.0,3.0,0.0,30.0,0.0,2.0,7.0,11.0
5.5,1.0,3.3234,3.0,2.0,0.0,25.0,0.0,1.0,5.0,9.0
5.6,0.0,2.57696,2.0,2.0,0.0,18.0,0.0,1.0,4.0,8.0
5.7,0.0,1.98095,2.0,1.0,0.0,16.0,0.0,0.0,4.0,6.0
5.8,0.0,1.50816,1.0,1.0,0.0,15.0,0.0,0.0,3.0,5.0
5.9,0.0,1.13385,1.0,0.0,0.0,11.0,0.0,0.0,2.0,4.0
6.0,0.0,0.87936,1.0,0.0,0.0,10.0,0.0,0.0,2.0,4.0
6.1,0.0,0.64194,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0
6.2,0.0,0.426,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.3,0.0,0.32589,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.4,0.0,0.24683,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0
6.5,0.0,0.1918,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
6.6,0.0,0.15978,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.7,0.0,0.13021,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.1085,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.9,0.0,0.0869,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0,0.0,0.07113,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.1,0.0,0.06162,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.2,0.0,0.04792,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.3,0.0,0.03395,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.4,0.0,0.02984,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.5,0.0,0.02329,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,0.01217,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,0.00373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
