Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,0.0010374374,0.0011400167,0.0013397887,1.175236,2.0E-4,0.010326075,0.011350701,0.011696728,1.0304852,3.5E-4
6.1,0.0010374374,0.0011400167,0.0013397887,1.175236,2.0E-4,0.010326075,0.011350701,0.011696728,1.0304852,3.5E-4
6.2,0.0010374374,0.0011400167,0.0013397887,1.175236,2.0E-4,0.010326075,0.011350701,0.011696728,1.0304852,3.5E-4
6.3,5.7992124E-4,6.351925E-4,7.251353E-4,1.1415993,9.0E-5,0.0057841022,0.0063368753,0.006535608,1.0313613,2.0E-4
6.4,5.7992124E-4,6.351925E-4,7.251353E-4,1.1415993,9.0E-5,0.0057841022,0.0063368753,0.006535608,1.0313613,2.0E-4
6.5,3.1840094E-4,3.480905E-4,3.880766E-4,1.1148727,4.0E-5,0.0031794512,0.0034766865,0.0035863041,1.0315293,1.1E-4
6.6,3.034899E-4,3.3211018E-4,3.720969E-4,1.120402,4.0E-5,0.0030307577,0.0033173605,0.0034269956,1.0330489,1.1E-4
6.7,2.5484123E-4,2.7863772E-4,3.1862658E-4,1.1435156,4.0E-5,0.0025454918,0.0027840391,0.0028737886,1.0322372,9.0E-5
6.8,9.281505E-5,1.01218284E-4,1.11217276E-4,1.0987864,1.0E-5,9.2776294E-4,0.0010118765,0.0010418461,1.0296179,3.0E-5
6.9,3.937079E-5,4.3292483E-5,5.329205E-5,1.2309769,1.0E-5,3.9363815E-4,4.3287344E-4,4.428691E-4,1.0230914,1.0E-5
7.0,3.578281E-5,3.9351715E-5,4.9351318E-5,1.2541085,1.0E-5,3.577705E-4,3.9347992E-4,4.0347598E-4,1.0254042,1.0E-5
