
X-Axis: Magnitude
Y-Axis: 1 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  8.067362E-4
6.1	  8.067362E-4
6.2	  6.585225E-4
6.3	  6.585225E-4
6.4	  4.912829E-4
6.5	  4.8870314E-4
6.6	  4.0710976E-4
6.7	  1.205706E-4
6.8	  1.08957785E-4
6.9	  9.7931086E-5
7.0	  8.01304E-5
7.1	  5.6901354E-5
7.2	  3.1654577E-5
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  8.759797E-4
6.1	  8.759797E-4
6.2	  7.1368564E-4
6.3	  7.1368564E-4
6.4	  5.3056807E-4
6.5	  5.2782625E-4
6.6	  4.4043022E-4
6.7	  1.2750797E-4
6.8	  1.1511434E-4
6.9	  1.03363345E-4
7.0	  8.454057E-5
7.1	  5.999128E-5
7.2	  3.3327433E-5
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.0010258483
6.1	  0.0010258483
6.2	  8.136142E-4
6.3	  8.136142E-4
6.4	  6.005309E-4
6.5	  5.977893E-4
6.6	  5.004038E-4
6.7	  1.375067E-4
6.8	  1.2511319E-4
6.9	  1.1336231E-4
7.0	  9.453972E-5
7.1	  5.999128E-5
7.2	  3.3327433E-5
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  1.5E-4
6.1	  1.5E-4
6.2	  1.0E-4
6.3	  1.0E-4
6.4	  7.0E-5
6.5	  7.0E-5
6.6	  6.0E-5
6.7	  1.0E-5
6.8	  1.0E-5
6.9	  1.0E-5
7.0	  1.0E-5
7.1	  0.0
7.2	  0.0
7.3	  0.0
7.4	  0.0
7.5	  0.0
7.6	  0.0
7.7	  0.0
7.8	  0.0
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


