Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.5708529E-5,4.950656E-6,4.950656E-6,1.0,0.0,6.7320536E-5,2.1216953E-5,2.1216953E-5,1.0,0.0,8.193192E-4,2.582909E-4,2.7828573E-4,1.0774121,2.0E-5,0.008163051,0.0025805652,0.0026005134,1.0077302,2.0E-5
6.1,1.5708529E-5,4.950656E-6,4.950656E-6,1.0,0.0,6.7320536E-5,2.1216953E-5,2.1216953E-5,1.0,0.0,8.193192E-4,2.582909E-4,2.7828573E-4,1.0774121,2.0E-5,0.008163051,0.0025805652,0.0026005134,1.0077302,2.0E-5
6.2,1.5708529E-5,4.950656E-6,4.950656E-6,1.0,0.0,6.7320536E-5,2.1216953E-5,2.1216953E-5,1.0,0.0,8.193192E-4,2.582909E-4,2.7828573E-4,1.0774121,2.0E-5,0.008163051,0.0025805652,0.0026005134,1.0077302,2.0E-5
6.3,1.5708529E-5,4.950656E-6,4.950656E-6,1.0,0.0,6.7320536E-5,2.1216953E-5,2.1216953E-5,1.0,0.0,8.193192E-4,2.582909E-4,2.7828573E-4,1.0774121,2.0E-5,0.008163051,0.0025805652,0.0026005134,1.0077302,2.0E-5
6.4,1.4622509E-5,3.7265204E-6,3.7265204E-6,1.0,0.0,6.266639E-5,1.5970723E-5,1.5970723E-5,1.0,0.0,7.626962E-4,1.944295E-4,2.1442561E-4,1.1028451,2.0E-5,0.007600839,0.0019430731,0.0019630343,1.010273,2.0E-5
6.5,1.3335527E-5,2.2777172E-6,2.2777172E-6,1.0,0.0,5.7151006E-5,9.761612E-6,9.761612E-6,1.0,0.0,6.955913E-4,1.18841825E-4,1.3883944E-4,1.168271,2.0E-5,0.0069341804,0.0011880046,0.0012079809,1.016815,2.0E-5
6.6,1.3332855E-5,2.2748663E-6,2.2748663E-6,1.0,0.0,5.7139558E-5,9.749395E-6,9.749395E-6,1.0,0.0,6.9545204E-4,1.186931E-4,1.3869072E-4,1.1684818,2.0E-5,0.0069327964,0.0011865189,0.0012064951,1.016836,2.0E-5
6.7,1.3318214E-5,2.2640966E-6,2.2640966E-6,1.0,0.0,5.707681E-5,9.703239E-6,9.703239E-6,1.0,0.0,6.946886E-4,1.1813121E-4,1.3812885E-4,1.1692833,2.0E-5,0.0069252094,0.001180906,0.0012008824,1.0169162,2.0E-5
6.8,1.2441338E-5,1.6777863E-6,1.6777863E-6,1.0,0.0,5.331893E-5,7.1904947E-6,7.1904947E-6,1.0,0.0,6.489646E-4,8.7541055E-5,1.075393E-4,1.2284442,2.0E-5,0.0064707273,8.752499E-4,8.9523237E-4,1.0228306,2.0E-5
6.9,1.1130476E-5,1.0303868E-6,1.0303868E-6,1.0,0.0,4.7701167E-5,4.415936E-6,4.415936E-6,1.0,0.0,5.806069E-4,5.3762706E-5,7.376163E-5,1.3719851,2.0E-5,0.0057909233,5.37651E-4,5.576402E-4,1.0371789,2.0E-5
7.0,1.0986073E-5,9.579413E-7,9.579413E-7,1.0,0.0,4.7082318E-5,4.1054564E-6,4.1054564E-6,1.0,0.0,5.730765E-4,4.99828E-5,6.99818E-5,1.4001176,2.0E-5,0.0057160086,4.9986853E-4,5.198585E-4,1.0399905,2.0E-5
7.1,1.0451338E-5,8.0002656E-7,8.0002656E-7,1.0,0.0,4.4790682E-5,3.4286807E-6,3.4286807E-6,1.0,0.0,5.451901E-4,4.1743395E-5,6.174256E-5,1.4790977,2.0E-5,0.005438545,4.1750458E-4,4.3749623E-4,1.0478836,2.0E-5
7.2,9.989061E-6,6.544956E-7,6.544956E-7,1.0,0.0,4.280956E-5,2.804978E-6,2.804978E-6,1.0,0.0,5.2108173E-4,3.4150078E-5,5.4149394E-5,1.5856302,2.0E-5,0.0051986156,3.415851E-4,3.6157828E-4,1.0585306,2.0E-5
7.3,9.465365E-6,5.4600474E-7,5.4600474E-7,1.0,0.0,4.056522E-5,2.3400182E-6,2.3400182E-6,1.0,0.0,4.937696E-4,2.8489352E-5,4.8488782E-5,1.7019967,2.0E-5,0.0049267393,2.8498896E-4,3.0498326E-4,1.0701581,2.0E-5
7.4,6.3824805E-6,4.016335E-7,4.016335E-7,1.0,0.0,2.73532E-5,1.7212853E-6,1.7212853E-6,1.0,0.0,3.3297433E-4,2.095645E-5,4.095603E-5,1.9543401,2.0E-5,0.0033247585,2.0963654E-4,2.2963234E-4,1.0953832,2.0E-5
7.5,1.6192645E-6,2.516124E-7,2.516124E-7,1.0,0.0,6.9396865E-6,1.0783383E-6,1.0783383E-6,1.0,0.0,8.448741E-5,1.31286915E-5,3.312843E-5,2.523361,2.0E-5,8.4455294E-4,1.3127929E-4,1.5127666E-4,1.152327,2.0E-5
7.6,5.7062545E-7,1.07924045E-7,1.07924045E-7,1.0,0.0,2.4455355E-6,4.6253152E-7,4.6253152E-7,1.0,0.0,2.9773988E-5,5.6313074E-6,2.5631194E-5,4.551553,2.0E-5,2.977E-4,5.6311732E-5,7.631061E-5,1.3551458,2.0E-5
7.7,2.5988817E-7,4.5457977E-8,4.5457977E-8,1.0,0.0,1.113806E-6,1.9481989E-7,1.9481989E-7,1.0,0.0,1.3560503E-5,2.3719301E-6,2.2371883E-5,9.4319315,2.0E-5,1.3559677E-4,2.371909E-5,4.3718617E-5,1.8431827,2.0E-5
