Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1674632E-4,2.4324407E-4,3.232246E-4,1.3288078,8.0E-5,5.002454E-4,0.0010420597,0.0011719243,1.124623,1.3E-4,0.006073493,0.012613757,0.01285073,1.0187868,2.4E-4,0.0591016,0.120640226,0.120948,1.0025512,3.5E-4
6.1,1.1674632E-4,2.4324407E-4,3.232246E-4,1.3288078,8.0E-5,5.002454E-4,0.0010420597,0.0011719243,1.124623,1.3E-4,0.006073493,0.012613757,0.01285073,1.0187868,2.4E-4,0.0591016,0.120640226,0.120948,1.0025512,3.5E-4
6.2,1.1674632E-4,2.4324407E-4,3.232246E-4,1.3288078,8.0E-5,5.002454E-4,0.0010420597,0.0011719243,1.124623,1.3E-4,0.006073493,0.012613757,0.01285073,1.0187868,2.4E-4,0.0591016,0.120640226,0.120948,1.0025512,3.5E-4
6.3,1.1674632E-4,2.4324407E-4,3.232246E-4,1.3288078,8.0E-5,5.002454E-4,0.0010420597,0.0011719243,1.124623,1.3E-4,0.006073493,0.012613757,0.01285073,1.0187868,2.4E-4,0.0591016,0.120640226,0.120948,1.0025512,3.5E-4
6.4,1.1674632E-4,2.4324407E-4,3.232246E-4,1.3288078,8.0E-5,5.002454E-4,0.0010420597,0.0011719243,1.124623,1.3E-4,0.006073493,0.012613757,0.01285073,1.0187868,2.4E-4,0.0591016,0.120640226,0.120948,1.0025512,3.5E-4
6.5,1.13136164E-4,2.3644442E-4,3.164255E-4,1.3382659,8.0E-5,4.847792E-4,0.0010129412,0.0011428095,1.1282091,1.3E-4,0.0058862255,0.012263271,0.012500328,1.0193306,2.4E-4,0.057327334,0.11761008,0.117910095,1.002551,3.4E-4
6.6,1.13136164E-4,2.3644442E-4,3.164255E-4,1.3382659,8.0E-5,4.847792E-4,0.0010129412,0.0011428095,1.1282091,1.3E-4,0.0058862255,0.012263271,0.012500328,1.0193306,2.4E-4,0.057327334,0.11761008,0.117910095,1.002551,3.4E-4
6.7,1.1149675E-4,2.3335687E-4,3.133382E-4,1.3427426,8.0E-5,4.777557E-4,9.997191E-4,0.0011295892,1.1299065,1.3E-4,0.0058011734,0.012104088,0.012341184,1.019588,2.4E-4,0.05652051,0.1162291,0.116529584,1.0025853,3.4E-4
6.8,1.1103589E-4,2.3237852E-4,3.1235992E-4,1.344186,8.0E-5,4.7578133E-4,9.955293E-4,0.0011253998,1.1304538,1.3E-4,0.005777263,0.012053643,0.012290751,1.019671,2.4E-4,0.056293584,0.11578894,0.11608957,1.0025964,3.4E-4
6.9,1.1053259E-4,2.3130233E-4,3.1128383E-4,1.3457876,8.0E-5,4.7362508E-4,9.909206E-4,0.0011207918,1.1310611,1.3E-4,0.0057511497,0.011998152,0.012235273,1.0197631,2.4E-4,0.05604569,0.11530445,0.11560524,1.0026087,3.4E-4
7.0,1.1005377E-4,2.3031076E-4,3.1029235E-4,1.3472768,8.0E-5,4.7157376E-4,9.866742E-4,0.001116546,1.1316258,1.3E-4,0.0057263062,0.011947021,0.012184153,1.0198487,2.4E-4,0.055809796,0.11485658,0.11515753,1.0026202,3.4E-4
7.1,1.0308142E-4,2.1540876E-4,2.9539154E-4,1.3713069,8.0E-5,4.417027E-4,9.228548E-4,0.0010527349,1.1407372,1.3E-4,0.0053644776,0.011178188,0.011415506,1.0212303,2.4E-4,0.052368138,0.10809042,0.10839368,1.0028055,3.4E-4
7.2,1.0027479E-4,2.094876E-4,2.8947083E-4,1.3818042,8.0E-5,4.296783E-4,8.9749607E-4,0.0010273794,1.1447175,1.3E-4,0.0052187922,0.010872566,0.011109957,1.0218339,2.4E-4,0.050979212,0.10539086,0.10569503,1.002886,3.4E-4
7.3,9.816942E-5,2.0423878E-4,2.8422245E-4,1.3916184,8.0E-5,4.2065824E-4,8.7501644E-4,0.0010049026,1.1484387,1.3E-4,0.005109493,0.010601572,0.010839027,1.0223981,2.4E-4,0.049935985,0.10297546,0.10328045,1.0029618,3.4E-4
7.4,9.5634205E-5,1.9793298E-4,2.7791716E-4,1.4040972,8.0E-5,4.0979648E-4,8.4800937E-4,9.778992E-4,1.1531702,1.3E-4,0.0049778637,0.010275901,0.010513435,1.0231156,2.4E-4,0.048678253,0.100067884,0.100373864,1.0030577,3.4E-4
7.5,8.052417E-5,1.6113915E-4,2.2112949E-4,1.372289,6.0E-5,3.4505792E-4,6.9041376E-4,7.903447E-4,1.1447407,1.0E-4,0.0041929903,0.008373471,0.00856188,1.0225008,1.9E-4,0.04114753,0.082815245,0.08306289,1.0029902,2.7E-4
7.6,7.897024E-5,1.5767086E-4,2.1766139E-4,1.3804796,6.0E-5,3.384E-4,6.755574E-4,7.754899E-4,1.1479259,1.0E-4,0.0041122385,0.00819397,0.008372495,1.0217874,1.8E-4,0.040369697,0.08115866,0.08138837,1.0028304,2.5E-4
7.7,6.707427E-5,1.3277122E-4,1.6276725E-4,1.2259226,3.0E-5,2.8742946E-4,5.688955E-4,6.0887274E-4,1.0702717,4.0E-5,0.003493839,0.0069043385,0.00702351,1.0172604,1.2E-4,0.034394164,0.06905339,0.06922096,1.0024266,1.8E-4
7.8,6.147705E-5,1.2198445E-4,1.5198078E-4,1.245903,3.0E-5,2.6344648E-4,5.226858E-4,5.626649E-4,1.0764878,4.0E-5,0.0032027436,0.006345156,0.0064544585,1.0172261,1.1E-4,0.031569764,0.0635172,0.0636764,1.0025065,1.7E-4
7.9,4.7636717E-5,8.8802946E-5,9.880206E-5,1.1125989,1.0E-5,2.0414138E-4,3.8052857E-4,4.0052095E-4,1.0525385,2.0E-5,0.0024825884,0.004623101,0.0046927775,1.0150714,7.0E-5,0.024550365,0.046629366,0.046724703,1.0020446,1.0E-4
8.0,3.3554235E-5,5.2138024E-5,6.213751E-5,1.1917886,1.0E-5,1.4379594E-4,2.2342955E-4,2.3342732E-4,1.0447469,1.0E-5,0.0017493097,0.002716863,0.0027467816,1.0110122,3.0E-5,0.017356034,0.027881905,0.02792079,1.0013946,4.0E-5
8.1,1.9175432E-5,1.9183564E-5,1.9183564E-5,1.0,0.0,8.217783E-5,8.221269E-5,8.221269E-5,1.0,0.0,0.0010000558,0.0010004805,0.0010004805,1.0,0.0,0.009955673,0.010757771,0.010767664,1.0009196,1.0E-5
8.2,8.643924E-6,5.473668E-6,5.473668E-6,1.0,0.0,3.704486E-5,2.3458366E-5,2.3458366E-5,1.0,0.0,4.5092785E-4,2.8556827E-4,2.8556827E-4,1.0,0.0,0.0045001395,0.0032481793,0.0032481793,1.0,0.0
8.3,1.983087E-6,7.6564595E-7,7.6564595E-7,1.0,0.0,8.498917E-6,3.281336E-6,3.281336E-6,1.0,0.0,1.034694E-4,3.9949547E-5,3.9949547E-5,1.0,0.0,0.0010342124,4.717979E-4,4.717979E-4,1.0,0.0
