Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5807636,233.0,131.6637,119.0,113.0,68.0,2216.0,92.0,104.0,142.0,251.0
1.1615272,249.0,158.63185,141.0,138.0,82.0,2611.0,109.0,123.0,170.0,330.0
1.7422907,255.0,175.7152,154.0,148.0,89.0,2949.0,119.0,135.0,188.0,381.0
2.3230543,264.0,188.35664,164.0,155.0,94.0,3129.0,127.0,143.0,202.0,420.0
2.903818,267.0,198.6228,172.0,160.0,97.0,3300.0,133.0,150.0,214.0,452.0
3.4845815,270.0,207.34853,178.0,169.0,101.0,3467.0,138.0,155.0,223.0,483.0
4.0653453,274.0,214.81818,184.0,172.0,105.0,3666.0,142.0,160.0,231.0,509.0
4.6461086,280.0,221.39621,188.0,178.0,109.0,3932.0,146.0,164.0,238.0,533.0
5.2268724,294.0,227.32889,193.0,178.0,111.0,4125.0,149.0,168.0,245.0,554.0
5.807636,301.0,232.61111,197.0,187.0,114.0,4245.0,152.0,171.0,251.0,573.0
6.3883996,305.0,237.4575,200.0,184.0,115.0,4368.0,155.0,174.0,256.0,590.0
6.969163,306.0,241.91483,203.0,185.0,116.0,4498.0,157.0,177.0,261.0,606.0
7.5499268,307.0,246.05763,206.0,192.0,120.0,4599.0,160.0,179.0,266.0,621.0
8.130691,307.0,249.9391,209.0,192.0,123.0,4677.0,162.0,182.0,270.0,634.0
8.711453,307.0,253.6667,212.0,198.0,125.0,4746.0,164.0,184.0,274.0,650.0
9.292217,309.0,257.18576,214.0,198.0,128.0,4814.0,166.0,186.0,278.0,663.0
9.872981,311.0,260.54114,217.0,203.0,131.0,4875.0,167.0,188.0,282.0,679.0
10.453745,313.0,263.6323,219.0,204.0,135.0,4916.0,169.0,190.0,285.0,690.0
11.034508,316.0,266.56122,221.0,203.0,138.0,4963.0,170.0,192.0,288.0,702.0
11.615272,316.0,269.36392,223.0,208.0,140.0,5019.0,172.0,193.0,292.0,712.0
12.196035,319.0,272.0968,225.0,209.0,140.0,5072.0,173.0,195.0,295.0,723.0
12.776799,320.0,274.7461,227.0,212.0,142.0,5111.0,175.0,196.0,298.0,733.0
13.357563,321.0,277.25702,228.0,212.0,142.0,5162.0,176.0,198.0,300.0,744.0
13.938326,322.0,279.6259,230.0,212.0,143.0,5192.0,177.0,199.0,303.0,753.0
14.51909,323.0,281.91614,232.0,216.0,144.0,5245.0,178.0,200.0,306.0,762.0
15.0998535,324.0,284.12097,233.0,217.0,144.0,5285.0,179.0,202.0,308.0,771.0
15.680617,324.0,286.2563,235.0,217.0,144.0,5310.0,181.0,203.0,311.0,778.0
16.261381,324.0,288.3303,236.0,220.0,144.0,5356.0,182.0,204.0,313.0,785.0
16.842144,324.0,290.3288,237.0,220.0,144.0,5485.0,183.0,205.0,315.0,792.0
17.422907,326.0,292.2589,239.0,223.0,147.0,5582.0,184.0,206.0,317.0,799.0
18.003672,327.0,294.14423,240.0,220.0,147.0,5670.0,185.0,208.0,319.0,806.0
18.584435,328.0,296.00662,241.0,223.0,147.0,5766.0,186.0,209.0,321.0,814.0
19.1652,328.0,297.8446,243.0,223.0,148.0,5962.0,187.0,210.0,323.0,823.0
19.745962,328.0,299.55743,244.0,229.0,148.0,6066.0,187.0,211.0,325.0,831.0
20.326725,330.0,301.21817,245.0,228.0,148.0,6133.0,188.0,211.0,327.0,838.0
20.90749,330.0,302.8673,246.0,226.0,149.0,6201.0,189.0,212.0,329.0,843.0
21.488253,332.0,304.44797,247.0,230.0,150.0,6253.0,190.0,213.0,331.0,849.0
22.069016,332.0,306.0567,248.0,232.0,150.0,6341.0,191.0,214.0,333.0,857.0
22.64978,332.0,307.58337,249.0,232.0,151.0,6406.0,191.0,215.0,334.0,863.0
23.230543,332.0,309.07013,250.0,232.0,151.0,6464.0,192.0,216.0,336.0,870.0
23.811308,332.0,310.54672,251.0,238.0,152.0,6652.0,193.0,217.0,338.0,876.0
24.39207,333.0,312.02582,252.0,238.0,152.0,6849.0,194.0,218.0,340.0,884.0
24.972834,334.0,313.4712,253.0,231.0,152.0,6941.0,194.0,218.0,341.0,889.0
25.553598,334.0,314.8505,254.0,233.0,153.0,7068.0,195.0,219.0,343.0,894.0
26.134361,334.0,316.1803,255.0,239.0,153.0,7190.0,196.0,220.0,344.0,900.0
26.715126,334.0,317.48026,256.0,234.0,154.0,7268.0,196.0,220.0,346.0,904.0
27.295889,334.0,318.79138,257.0,235.0,155.0,7340.0,197.0,221.0,347.0,910.0
27.876652,334.0,320.0733,258.0,235.0,157.0,7402.0,198.0,222.0,349.0,914.0
28.457417,334.0,321.36563,259.0,239.0,157.0,7458.0,198.0,223.0,350.0,922.0
29.03818,334.0,322.59634,259.0,240.0,158.0,7508.0,199.0,223.0,352.0,928.0
29.618942,334.0,323.8224,260.0,240.0,160.0,7544.0,199.0,224.0,353.0,932.0
30.199707,334.0,325.00372,261.0,241.0,161.0,7586.0,200.0,225.0,354.0,937.0
30.78047,334.0,326.1886,262.0,236.0,162.0,7624.0,200.0,225.0,356.0,942.0
31.361235,334.0,327.3414,263.0,236.0,162.0,7655.0,201.0,226.0,357.0,949.0
31.941998,334.0,328.497,263.0,247.0,163.0,7687.0,202.0,226.0,358.0,955.0
32.522762,334.0,329.6327,264.0,237.0,163.0,7723.0,202.0,227.0,360.0,961.0
33.103523,334.0,330.71414,265.0,240.0,163.0,7751.0,203.0,228.0,361.0,966.0
33.684288,334.0,331.79932,266.0,244.0,164.0,7789.0,203.0,228.0,362.0,972.0
34.265053,334.0,332.8915,266.0,242.0,164.0,7842.0,204.0,229.0,363.0,978.0
34.845814,334.0,333.95056,267.0,245.0,165.0,7875.0,204.0,229.0,365.0,983.0
35.42658,334.0,335.01953,268.0,245.0,165.0,7913.0,205.0,230.0,366.0,988.0
36.007343,334.0,336.10098,268.0,246.0,166.0,7939.0,205.0,230.0,367.0,995.0
36.588104,334.0,337.12973,269.0,246.0,167.0,7969.0,206.0,231.0,368.0,1001.0
37.16887,334.0,338.13037,270.0,246.0,167.0,7999.0,206.0,231.0,369.0,1005.0
37.749634,334.0,339.13153,270.0,248.0,167.0,8020.0,206.0,232.0,370.0,1010.0
38.3304,334.0,340.14603,271.0,248.0,167.0,8049.0,207.0,232.0,371.0,1015.0
38.91116,334.0,341.17844,272.0,252.0,168.0,8099.0,207.0,233.0,372.0,1022.0
39.491924,335.0,342.17188,272.0,246.0,168.0,8137.0,208.0,233.0,374.0,1025.0
40.07269,337.0,343.12622,273.0,248.0,169.0,8171.0,208.0,234.0,375.0,1029.0
40.65345,338.0,344.0578,273.0,248.0,169.0,8202.0,209.0,234.0,376.0,1032.0
41.234215,338.0,344.97952,274.0,255.0,169.0,8221.0,209.0,235.0,377.0,1036.0
41.81498,338.0,345.90506,274.0,255.0,169.0,8265.0,210.0,235.0,378.0,1042.0
42.39574,338.0,346.82602,275.0,257.0,169.0,8294.0,210.0,236.0,379.0,1045.0
42.976505,338.0,347.7057,276.0,257.0,169.0,8329.0,210.0,236.0,380.0,1049.0
43.55727,338.0,348.55737,276.0,251.0,169.0,8360.0,211.0,237.0,381.0,1053.0
44.13803,339.0,349.41547,277.0,257.0,169.0,8396.0,211.0,237.0,382.0,1057.0
44.718796,339.0,350.25693,277.0,257.0,169.0,8435.0,212.0,238.0,382.0,1061.0
45.29956,339.0,351.113,278.0,252.0,169.0,8451.0,212.0,238.0,383.0,1066.0
45.880325,339.0,351.9336,278.0,252.0,169.0,8474.0,212.0,239.0,384.0,1070.0
46.461086,339.0,352.74582,279.0,260.0,169.0,8508.0,213.0,239.0,385.0,1073.0
47.04185,339.0,353.5755,279.0,252.0,169.0,8524.0,213.0,239.0,386.0,1076.0
47.622616,339.0,354.40805,280.0,252.0,170.0,8540.0,213.0,240.0,387.0,1081.0
48.203377,342.0,355.20273,280.0,252.0,170.0,8557.0,214.0,240.0,388.0,1085.0
48.78414,342.0,355.9857,281.0,253.0,170.0,8572.0,214.0,241.0,389.0,1089.0
49.364906,342.0,356.76337,281.0,262.0,170.0,8605.0,214.0,241.0,390.0,1092.0
49.945667,342.0,357.5468,282.0,255.0,170.0,8620.0,215.0,241.0,391.0,1095.0
50.526432,342.0,358.32336,282.0,255.0,171.0,8633.0,215.0,242.0,391.0,1099.0
51.107197,342.0,359.0616,283.0,265.0,171.0,8652.0,215.0,242.0,392.0,1102.0
51.687958,342.0,359.7732,283.0,260.0,171.0,8670.0,216.0,243.0,393.0,1106.0
52.268723,342.0,360.50043,284.0,268.0,171.0,8683.0,216.0,243.0,394.0,1108.0
52.849487,342.0,361.2062,284.0,262.0,171.0,8700.0,216.0,243.0,395.0,1110.0
53.430252,342.0,361.91544,285.0,257.0,171.0,8708.0,217.0,244.0,396.0,1114.0
54.011013,342.0,362.61917,285.0,262.0,171.0,8719.0,217.0,244.0,396.0,1117.0
54.591778,342.0,363.31088,286.0,262.0,171.0,8729.0,217.0,244.0,397.0,1119.0
55.172543,342.0,364.0342,286.0,267.0,171.0,8740.0,218.0,245.0,398.0,1123.0
55.753304,342.0,364.73166,287.0,264.0,171.0,8750.0,218.0,245.0,399.0,1125.0
56.33407,342.0,365.42087,287.0,265.0,171.0,8763.0,218.0,246.0,399.0,1128.0
56.914833,342.0,366.1007,287.0,265.0,171.0,8777.0,219.0,246.0,400.0,1131.0
57.495594,342.0,366.7759,288.0,265.0,171.0,8790.0,219.0,246.0,401.0,1133.0
58.07636,342.0,367.44482,288.0,261.0,171.0,8807.0,219.0,247.0,402.0,1137.0
58.657124,342.0,368.0873,289.0,271.0,171.0,8823.0,220.0,247.0,403.0,1140.0
59.237885,342.0,368.72025,289.0,263.0,172.0,8835.0,220.0,247.0,403.0,1143.0
