Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,1775.0,3636.8662,2832.0,2558.0,2082.0,86505.0,2329.0,2499.0,3935.0,11187.0
2.6,1486.0,2888.8296,2252.0,2030.0,1657.0,68639.0,1845.0,1984.0,3126.0,8882.0
2.7,1248.0,2294.7415,1789.0,1628.0,1306.0,54815.0,1460.0,1575.0,2484.0,7047.0
2.8,1023.0,1822.7217,1422.0,1272.0,1024.0,43668.0,1156.0,1250.0,1973.0,5608.0
2.9,872.0,1447.7334,1130.0,1023.0,802.0,34700.0,914.0,991.0,1567.0,4459.0
3.0,761.0,1150.0574,898.0,827.0,630.0,27591.0,723.0,786.0,1247.0,3536.0
3.1,644.0,913.5208,714.0,662.0,491.0,21938.0,570.0,623.0,991.0,2811.0
3.2,552.0,725.6006,568.0,518.0,381.0,17429.0,449.0,494.0,789.0,2233.0
3.3,456.0,576.33765,452.0,412.0,293.0,13789.0,353.0,391.0,627.0,1774.0
3.4,384.0,457.78934,360.0,332.0,230.0,10945.0,277.0,309.0,499.0,1408.0
3.5,296.0,363.60785,286.0,268.0,171.0,8734.0,218.0,245.0,397.0,1121.0
3.6,213.0,288.83975,228.0,206.0,129.0,6985.0,170.0,193.0,317.0,890.0
3.7,155.0,229.41423,181.0,165.0,98.0,5605.0,133.0,152.0,253.0,708.0
3.8,133.0,182.19987,144.0,130.0,66.0,4498.0,103.0,120.0,201.0,561.0
3.9,104.0,144.72166,115.0,105.0,51.0,3515.0,80.0,94.0,161.0,446.0
4.0,80.0,114.96696,91.0,83.0,37.0,2830.0,62.0,74.0,128.0,356.0
4.1,60.0,91.32733,73.0,65.0,26.0,2273.0,48.0,58.0,103.0,283.0
4.2,47.0,72.54439,58.0,54.0,20.0,1767.0,36.0,46.0,82.0,224.0
4.3,42.0,57.61062,46.0,41.0,15.0,1396.0,28.0,35.0,66.0,179.0
4.4,34.0,45.76113,37.0,33.0,10.0,1127.0,21.0,27.0,53.0,143.0
4.5,28.0,36.34816,29.0,27.0,6.0,908.0,15.0,21.0,43.0,114.0
4.6,19.0,28.86682,23.0,20.0,4.0,739.0,11.0,16.0,35.0,91.0
4.7,13.0,22.93477,18.0,17.0,1.0,601.0,8.0,13.0,28.0,72.0
4.8,10.0,18.22336,15.0,13.0,0.0,465.0,6.0,10.0,23.0,58.0
4.9,5.0,14.47467,12.0,10.0,0.0,372.0,4.0,7.0,19.0,47.0
5.0,3.0,11.50423,9.0,8.0,0.0,308.0,3.0,5.0,15.0,38.0
5.1,2.0,9.13752,7.0,6.0,0.0,242.0,2.0,4.0,12.0,30.0
5.2,2.0,7.26205,6.0,5.0,0.0,204.0,1.0,3.0,10.0,25.0
5.3,2.0,5.76205,4.0,4.0,0.0,158.0,1.0,2.0,8.0,20.0
5.4,2.0,4.57353,3.0,2.0,0.0,130.0,0.0,1.0,7.0,16.0
5.5,1.0,3.63287,3.0,2.0,0.0,100.0,0.0,1.0,6.0,13.0
5.6,0.0,2.88603,2.0,1.0,0.0,81.0,0.0,1.0,5.0,11.0
5.7,0.0,2.29411,2.0,1.0,0.0,66.0,0.0,0.0,4.0,9.0
5.8,0.0,1.82119,1.0,1.0,0.0,51.0,0.0,0.0,3.0,8.0
5.9,0.0,1.44453,1.0,0.0,0.0,44.0,0.0,0.0,3.0,7.0
6.0,0.0,1.1445,1.0,0.0,0.0,35.0,0.0,0.0,2.0,5.0
6.1,0.0,0.90633,0.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.2,0.0,0.72119,0.0,0.0,0.0,27.0,0.0,0.0,1.0,4.0
6.3,0.0,0.56969,0.0,0.0,0.0,21.0,0.0,0.0,1.0,3.0
6.4,0.0,0.45158,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0
6.5,0.0,0.35701,0.0,0.0,0.0,15.0,0.0,0.0,1.0,3.0
6.6,0.0,0.28246,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0
6.7,0.0,0.22258,0.0,0.0,0.0,13.0,0.0,0.0,1.0,2.0
6.8,0.0,0.17513,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0
6.9,0.0,0.13743,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
7.0,0.0,0.10791,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
7.1,0.0,0.08502,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
7.2,0.0,0.06613,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
7.3,0.0,0.05156,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
7.4,0.0,0.03939,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
7.5,0.0,0.03048,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
7.6,0.0,0.02287,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0169,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.8,0.0,0.01244,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.9,0.0,0.00862,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
8.0,0.0,0.00556,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.1,0.0,0.00344,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.2,0.0,0.00168,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
