Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.50482297,0.0,0.00553,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0096459,0.0,0.01101,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.5144689,0.0,0.01605,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2.0192919,0.0,0.02084,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.5241148,0.0,0.02578,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3.0289378,0.0,0.0301,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
3.5337608,0.0,0.03406,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
4.0385838,0.0,0.03774,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
4.5434065,0.0,0.0412,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
5.0482297,0.0,0.04495,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
5.5530524,0.0,0.04849,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.0578756,0.0,0.05196,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.5626984,0.0,0.05546,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.0675216,0.0,0.05869,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.5723443,0.0,0.06183,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
8.0771675,0.0,0.06464,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
8.58199,0.0,0.06742,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
9.086813,0.0,0.07003,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
9.591637,0.0,0.07285,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
10.096459,0.0,0.07566,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
10.601282,0.0,0.07856,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.106105,0.0,0.08139,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.610929,0.0,0.08385,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
12.115751,0.0,0.08619,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
12.620574,0.0,0.08845,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
13.125397,0.0,0.09069,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
13.63022,0.0,0.09285,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
14.135043,0.0,0.09499,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
14.639866,0.0,0.0971,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
15.144689,0.0,0.09888,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
15.649512,0.0,0.10105,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
16.154335,0.0,0.10291,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
16.659159,0.0,0.10488,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
17.16398,0.0,0.10672,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
17.668804,0.0,0.10838,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
18.173626,0.0,0.11034,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
18.67845,0.0,0.11196,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
19.183273,0.0,0.11362,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
19.688095,0.0,0.11515,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
20.192919,0.0,0.11679,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
20.697742,0.0,0.11842,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
21.202564,0.0,0.12006,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
21.707388,0.0,0.12175,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
22.21221,0.0,0.12331,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
22.717033,0.0,0.12471,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
23.221857,0.0,0.12608,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
23.726679,0.0,0.12759,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
24.231503,0.0,0.12891,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
24.736324,0.0,0.13031,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
25.241148,0.0,0.1318,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
25.745972,0.0,0.1332,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
26.250793,0.0,0.13482,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
26.755617,0.0,0.13627,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
27.26044,0.0,0.1376,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
27.765263,0.0,0.13894,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
28.270086,0.0,0.14029,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
28.774908,0.0,0.14161,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
29.279732,0.0,0.14286,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
29.784555,0.0,0.144,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
30.289377,0.0,0.14524,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
30.7942,0.0,0.14639,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
31.299025,0.0,0.14763,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
31.803846,0.0,0.14895,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
32.30867,0.0,0.15021,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
32.81349,0.0,0.15146,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
33.318317,0.0,0.15238,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
33.82314,0.0,0.15378,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
34.32796,0.0,0.15469,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
34.832783,0.0,0.15563,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
35.33761,0.0,0.15674,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
35.84243,0.0,0.15774,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
36.34725,0.0,0.15881,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
36.852077,0.0,0.15985,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
37.3569,0.0,0.16078,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
37.86172,0.0,0.16184,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
38.366547,0.0,0.16298,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
38.87137,0.0,0.164,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
39.37619,0.0,0.16501,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
39.881016,0.0,0.16594,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
40.385838,0.0,0.16694,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
40.89066,0.0,0.16791,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
41.395485,0.0,0.16909,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
41.900307,0.0,0.17014,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
42.40513,0.0,0.17122,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
42.90995,0.0,0.17221,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
43.414776,0.0,0.17309,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
43.919598,0.0,0.17396,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
44.42442,0.0,0.17479,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
44.929245,0.0,0.17568,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
45.434067,0.0,0.17655,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
45.93889,0.0,0.17766,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
46.443714,0.0,0.17869,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
46.948536,0.0,0.17969,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
47.453358,0.0,0.18059,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
47.958183,0.0,0.18152,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
48.463005,0.0,0.1823,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
48.967827,0.0,0.18316,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
49.47265,0.0,0.18401,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
49.977474,0.0,0.18489,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
50.482296,0.0,0.1856,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
50.987118,0.0,0.18651,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
51.491943,0.0,0.18726,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
51.996765,0.0,0.18802,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
52.501587,0.0,0.18891,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
53.006413,0.0,0.18984,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
