Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.0008948E-4,3.5007446E-4,1.166567,5.0E-5,5.2857865E-4,0.0012854899,0.0014253099,1.1087679,1.4E-4,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.143422,1.00396,6.6E-4
6.1,1.2336002E-4,3.0008948E-4,3.5007446E-4,1.166567,5.0E-5,5.2857865E-4,0.0012854899,0.0014253099,1.1087679,1.4E-4,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.143422,1.00396,6.6E-4
6.2,1.2336002E-4,3.0008948E-4,3.5007446E-4,1.166567,5.0E-5,5.2857865E-4,0.0012854899,0.0014253099,1.1087679,1.4E-4,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.143422,1.00396,6.6E-4
6.3,1.1712257E-4,2.8797207E-4,3.3795767E-4,1.1735779,5.0E-5,5.018573E-4,0.001233608,0.0013634476,1.1052519,1.3E-4,0.006093008,0.01492059,0.015225965,1.0204667,3.1E-4,0.059286322,0.13756467,0.13812526,1.004075,6.5E-4
6.4,1.1712257E-4,2.8797207E-4,3.3795767E-4,1.1735779,5.0E-5,5.018573E-4,0.001233608,0.0013634476,1.1052519,1.3E-4,0.006093008,0.01492059,0.015225965,1.0204667,3.1E-4,0.059286322,0.13756467,0.13812526,1.004075,6.5E-4
6.5,1.0689076E-4,2.6809986E-4,3.1808647E-4,1.1864476,5.0E-5,4.5802278E-4,0.0011485183,0.001278369,1.1130593,1.3E-4,0.0055621783,0.013898174,0.014203865,1.0219951,3.1E-4,0.05425003,0.12881182,0.12936068,1.0042609,6.3E-4
6.6,9.7648895E-5,2.5054725E-4,3.0053474E-4,1.1995132,5.0E-5,4.1842813E-4,0.0010733557,0.0012032161,1.1209855,1.3E-4,0.005082469,0.012994168,0.01330014,1.0235468,3.1E-4,0.049677886,0.12097161,0.1215254,1.0045779,6.3E-4
6.7,8.757013E-5,2.3125445E-4,2.812429E-4,1.2161621,5.0E-5,3.7524657E-4,9.907364E-4,0.0010906373,1.100835,1.0E-4,0.00455906,0.011999588,0.0122762285,1.0230541,2.8E-4,0.04466656,0.11227982,0.112812445,1.0047438,6.0E-4
6.8,8.562978E-5,2.2685292E-4,2.7684157E-4,1.2203572,5.0E-5,3.6693315E-4,9.7188674E-4,0.0010717895,1.1027926,1.0E-4,0.004458263,0.01177259,0.012049293,1.023504,2.8E-4,0.043698758,0.11029001,0.11082384,1.0048403,6.0E-4
6.9,6.124075E-5,1.7069813E-4,2.2068959E-4,1.2928648,5.0E-5,2.6243398E-4,7.313591E-4,8.3128596E-4,1.1366317,1.0E-4,0.0031904527,0.00886815,0.009115933,1.0279408,2.5E-4,0.031450346,0.08419993,0.0846853,1.0057645,5.3E-4
7.0,5.8598747E-5,1.6498787E-4,2.1497962E-4,1.3030026,5.0E-5,2.5111332E-4,7.069001E-4,8.0682937E-4,1.1413627,1.0E-4,0.0030530186,0.008572741,0.008820598,1.0289122,2.5E-4,0.03011414,0.08151753,0.08200432,1.0059717,5.3E-4
7.1,5.613814E-5,1.5917298E-4,2.0916502E-4,1.3140737,5.0E-5,2.4056983E-4,6.819924E-4,7.819242E-4,1.1465292,1.0E-4,0.0029250039,0.008271826,0.0085197585,1.029973,2.5E-4,0.028868021,0.078816354,0.07930458,1.0061945,5.3E-4
7.2,4.991222E-5,1.4523676E-4,1.9522948E-4,1.3442155,5.0E-5,2.1389198E-4,6.2229513E-4,7.222329E-4,1.1605954,1.0E-4,0.002601025,0.0075502265,0.007798339,1.0328616,2.5E-4,0.025707912,0.072269924,0.07275234,1.0066752,5.2E-4
7.3,4.7410045E-5,1.3717797E-4,1.8717111E-4,1.36444,5.0E-5,2.0317009E-4,5.8777345E-4,6.8771467E-4,1.1700336,1.0E-4,0.0024707897,0.0071327467,0.007380964,1.0347996,2.5E-4,0.024434982,0.06855203,0.06903639,1.0070655,5.2E-4
7.4,4.5556746E-5,1.3125638E-4,1.8124982E-4,1.3808838,5.0E-5,1.952286E-4,5.6240644E-4,6.6235015E-4,1.1777073,1.0E-4,0.002374317,0.006825879,0.007074173,1.0363753,2.5E-4,0.023491086,0.065804236,0.06629001,1.0073823,5.2E-4
7.5,4.3084514E-5,1.2360894E-4,1.63604E-4,1.3235612,4.0E-5,1.8463485E-4,5.2964536E-4,6.195977E-4,1.169835,9.0E-5,0.0022456115,0.006429438,0.006667895,1.0370883,2.4E-4,0.022230545,0.062204733,0.06267363,1.007538,5.0E-4
7.6,3.408608E-5,9.838868E-5,1.3838474E-4,1.4065108,4.0E-5,1.4607502E-4,4.215977E-4,5.01564E-4,1.1896744,8.0E-5,0.0017770125,0.005120897,0.0053497194,1.044684,2.3E-4,0.017628696,0.050035115,0.050500598,1.0093031,4.9E-4
7.7,2.8315713E-5,8.251823E-5,1.2251493E-4,1.4847014,4.0E-5,1.2134742E-4,3.5360164E-4,4.3357335E-4,1.2261633,8.0E-5,0.0014764034,0.004296611,0.004525623,1.0533006,2.3E-4,0.01466633,0.04228543,0.042745136,1.0108714,4.8E-4
7.8,2.6222975E-5,7.4660275E-5,1.1465729E-4,1.5357201,4.0E-5,1.1237934E-4,3.1993337E-4,3.999078E-4,1.2499721,8.0E-5,0.0013673597,0.003888238,0.0041173436,1.0589228,2.3E-4,0.013589768,0.03844993,0.03891147,1.0120038,4.8E-4
7.9,2.1469694E-5,5.7903162E-5,9.790085E-5,1.6907686,4.0E-5,9.200973E-5,2.4813283E-4,3.2811298E-4,1.322328,8.0E-5,0.0011196428,0.003016835,0.0032262015,1.0693994,2.1E-4,0.011140184,0.030163256,0.03056089,1.0131826,4.1E-4
8.0,1.2420249E-5,3.1332525E-5,3.1332525E-5,1.0,0.0,5.322855E-5,1.3427534E-4,1.44274E-4,1.0744638,1.0E-5,6.478649E-4,0.0016335774,0.0016934794,1.0366693,6.0E-5,0.0064597935,0.016528832,0.016676353,1.0089251,1.5E-4
8.1,4.9197724E-6,7.827271E-6,7.827271E-6,1.0,0.0,2.1084568E-5,3.3545013E-5,3.3545013E-5,1.0,0.0,2.566744E-4,4.0833413E-4,4.1833005E-4,1.0244797,1.0E-5,0.002563781,0.0043868436,0.0043967995,1.0022695,1.0E-5
8.2,2.5634774E-6,2.9089954E-6,2.9089954E-6,1.0,0.0,1.0986286E-5,1.2467063E-5,1.2467063E-5,1.0,0.0,1.3374983E-4,1.5177597E-4,1.5177597E-4,1.0,0.0,0.0013366934,0.0017061684,0.0017061684,1.0,0.0
8.3,5.2850464E-7,3.211945E-7,3.211945E-7,1.0,0.0,2.2650179E-6,1.3765473E-6,1.3765473E-6,1.0,0.0,2.7576245E-5,1.6759346E-5,1.6759346E-5,1.0,0.0,2.7572823E-4,1.9887649E-4,1.9887649E-4,1.0,0.0
