Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1925945E-4,3.2736323E-4,3.2736323E-4,1.0,0.0,5.110118E-4,0.0014022356,0.0014321936,1.0213645,3.0E-5,0.0062038354,0.016939916,0.017028391,1.0052229,9.0E-5,0.060334753,0.15268017,0.15290049,1.0014429,2.6E-4
6.1,1.1925945E-4,3.2736323E-4,3.2736323E-4,1.0,0.0,5.110118E-4,0.0014022356,0.0014321936,1.0213645,3.0E-5,0.0062038354,0.016939916,0.017028391,1.0052229,9.0E-5,0.060334753,0.15268017,0.15290049,1.0014429,2.6E-4
6.2,1.07432395E-4,3.023703E-4,3.023703E-4,1.0,0.0,4.603433E-4,0.0012952331,0.0013251943,1.0231318,3.0E-5,0.005590286,0.01565654,0.015745131,1.0056584,9.0E-5,0.05451731,0.14185132,0.14206585,1.0015124,2.5E-4
6.3,1.0718766E-4,3.0182334E-4,3.0182334E-4,1.0,0.0,4.592948E-4,0.0012928913,0.0013228526,1.0231738,3.0E-5,0.005577586,0.015628438,0.015717031,1.0056688,9.0E-5,0.054396555,0.14161958,0.14183418,1.0015153,2.5E-4
6.4,1.0355944E-4,2.9390416E-4,2.9390416E-4,1.0,0.0,4.4375064E-4,0.0012589851,0.0012889473,1.0237987,3.0E-5,0.0053892885,0.015221469,0.015310099,1.0058227,9.0E-5,0.052604496,0.1381797,0.13839516,1.0015593,2.5E-4
6.5,1.0227914E-4,2.9109846E-4,2.9109846E-4,1.0,0.0,4.382655E-4,0.0012469722,0.0012769349,1.0240283,3.0E-5,0.0053228354,0.015077246,0.01516589,1.0058793,9.0E-5,0.051971316,0.1369589,0.13717465,1.0015754,2.5E-4
6.6,1.0116757E-4,2.8875592E-4,2.8875592E-4,1.0,0.0,4.3350324E-4,0.0012369425,0.0012669053,1.0242233,3.0E-5,0.0052651367,0.014956815,0.01504547,1.0059273,9.0E-5,0.051421247,0.1359371,0.1361531,1.0015891,2.5E-4
6.7,1.0050676E-4,2.8734154E-4,2.8734154E-4,1.0,0.0,4.3067214E-4,0.0012308866,0.0012608496,1.0243427,3.0E-5,0.005230834,0.014884095,0.014972755,1.0059568,9.0E-5,0.051094085,0.13532183,0.135538,1.0015974,2.5E-4
6.8,9.976819E-5,2.8537805E-4,2.8537805E-4,1.0,0.0,4.2750788E-4,0.0012224794,0.0012524427,1.0245103,3.0E-5,0.0051924936,0.014783132,0.014871801,1.005998,9.0E-5,0.050728295,0.1344735,0.1346899,1.0016091,2.5E-4
6.9,9.77719E-5,2.8034672E-4,2.8034672E-4,1.0,0.0,4.1895514E-4,0.0012009366,0.0012309005,1.0249505,3.0E-5,0.0050888555,0.014524374,0.014613067,1.0061065,9.0E-5,0.049738888,0.1323019,0.13251883,1.0016396,2.5E-4
7.0,8.500761E-5,2.4768902E-4,2.4768902E-4,1.0,0.0,3.6426744E-4,0.0010610959,0.001091064,1.0282427,3.0E-5,0.0044259406,0.012843092,0.012931936,1.0069177,9.0E-5,0.04338823,0.11815885,0.11837931,1.0018657,2.5E-4
7.1,8.319876E-5,2.4371575E-4,2.4371575E-4,1.0,0.0,3.5651738E-4,0.0010440812,0.0010740499,1.0287035,3.0E-5,0.004331963,0.012638362,0.012727224,1.0070312,9.0E-5,0.042484846,0.11637889,0.11659979,1.0018982,2.5E-4
7.2,7.563917E-5,2.2419832E-4,2.2419832E-4,1.0,0.0,3.2412758E-4,9.6049916E-4,9.904704E-4,1.0312037,3.0E-5,0.0039391145,0.011632065,0.011721018,1.0076473,9.0E-5,0.03870018,0.10778462,0.10799876,1.0019866,2.4E-4
7.3,7.082985E-5,2.073577E-4,2.073577E-4,1.0,0.0,3.0352117E-4,8.883761E-4,9.183495E-4,1.0337394,3.0E-5,0.0036891096,0.010762965,0.010842104,1.007353,8.0E-5,0.03628465,0.10030664,0.10051357,1.0020629,2.3E-4
7.4,5.146215E-5,1.4278607E-4,1.4278607E-4,1.0,0.0,2.2053342E-4,6.117977E-4,6.317854E-4,1.0326705,2.0E-5,0.0026816884,0.0074233864,0.007492867,1.0093597,7.0E-5,0.02649557,0.07087057,0.07106569,1.0027531,2.1E-4
7.5,4.0285166E-5,1.0945775E-4,1.0945775E-4,1.0,0.0,1.7263928E-4,4.6902063E-4,4.7901593E-4,1.021311,1.0E-5,0.002099857,0.0056954445,0.0057551027,1.0104747,6.0E-5,0.020801254,0.05502973,0.055209275,1.0032626,1.9E-4
7.6,3.1168736E-5,8.44262E-5,8.44262E-5,1.0,0.0,1.3357346E-4,3.6177653E-4,3.717729E-4,1.0276314,1.0E-5,0.0016250437,0.00439576,0.0044554966,1.0135895,6.0E-5,0.016132116,0.042826775,0.043008637,1.0042465,1.9E-4
7.7,2.2100989E-5,6.242018E-5,6.242018E-5,1.0,0.0,9.4715084E-5,2.6748766E-4,2.7748497E-4,1.0373749,1.0E-5,0.001152546,0.0032518052,0.00331161,1.0183913,6.0E-5,0.011465867,0.031915013,0.03209895,1.0057633,1.9E-4
