Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.550787,0.0,0.00528,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.101574,0.0,0.01064,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.6523608,0.0,0.0165,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.203148,0.0,0.02133,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.7539346,0.0,0.02621,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3.3047216,0.0,0.03064,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
3.8555086,0.0,0.03501,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
4.406296,0.0,0.03919,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
4.9570823,0.0,0.04313,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.5078692,0.0,0.04673,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.058656,0.0,0.05059,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.609443,0.0,0.0539,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.16023,0.0,0.05704,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.711017,0.0,0.06021,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
8.261805,0.0,0.06302,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
8.812592,0.0,0.06609,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
9.363378,0.0,0.06886,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
9.914165,0.0,0.07156,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
10.4649515,0.0,0.07408,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.0157385,0.0,0.07674,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.566525,0.0,0.07919,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
12.117312,0.0,0.08164,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
12.668099,0.0,0.08374,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
13.218886,0.0,0.08609,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
