Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23294735,178.0,94.31828,92.0,91.0,48.0,341.0,70.0,80.0,105.0,140.0
0.4658947,202.0,115.04845,111.0,108.0,61.0,459.0,86.0,97.0,128.0,180.0
0.69884205,211.0,127.90102,123.0,117.0,65.0,561.0,96.0,108.0,142.0,206.0
0.9317894,215.0,137.30492,131.0,127.0,73.0,608.0,103.0,116.0,152.0,225.0
1.1647367,220.0,144.77145,138.0,136.0,76.0,640.0,108.0,122.0,161.0,241.0
1.3976841,223.0,151.01302,144.0,139.0,80.0,662.0,113.0,127.0,167.0,255.0
1.6306314,224.0,156.3752,149.0,142.0,82.0,682.0,117.0,131.0,173.0,266.0
1.8635788,227.0,161.10144,153.0,146.0,86.0,702.0,120.0,135.0,179.0,276.0
2.0965261,228.0,165.31348,157.0,149.0,88.0,726.0,123.0,139.0,183.0,285.0
2.3294735,232.0,169.13481,160.0,153.0,90.0,744.0,126.0,142.0,188.0,294.0
2.5624208,234.0,172.59811,164.0,160.0,94.0,759.0,129.0,145.0,191.0,301.0
2.7953682,236.0,175.79698,166.0,163.0,95.0,774.0,131.0,147.0,195.0,307.0
3.0283155,236.0,178.78009,169.0,160.0,95.0,792.0,133.0,149.0,198.0,314.0
3.261263,238.0,181.56615,172.0,164.0,97.0,803.0,135.0,152.0,201.0,320.0
3.4942102,239.0,184.15968,174.0,169.0,97.0,817.0,137.0,154.0,204.0,326.0
3.7271576,240.0,186.59637,176.0,173.0,99.0,824.0,139.0,156.0,207.0,331.0
3.960105,242.0,188.8915,178.0,167.0,103.0,834.0,140.0,158.0,210.0,336.0
4.1930523,244.0,191.06918,180.0,178.0,106.0,843.0,142.0,159.0,212.0,341.0
4.4259996,246.0,193.1197,182.0,179.0,106.0,850.0,143.0,161.0,214.0,345.0
4.658947,250.0,195.09058,184.0,178.0,107.0,857.0,145.0,162.0,217.0,349.0
4.8918943,255.0,196.96474,186.0,179.0,109.0,861.0,146.0,164.0,219.0,353.0
5.1248417,259.0,198.76778,187.0,180.0,110.0,873.0,148.0,165.0,221.0,357.0
5.357789,263.0,200.50401,189.0,182.0,111.0,876.0,149.0,167.0,223.0,361.0
5.5907364,268.0,202.15697,190.0,185.0,113.0,880.0,150.0,168.0,225.0,364.0
5.8236837,268.0,203.74748,192.0,187.0,116.0,890.0,151.0,169.0,226.0,368.0
6.056631,272.0,205.29204,193.0,189.0,117.0,893.0,152.0,170.0,228.0,371.0
6.2895784,272.0,206.77148,194.0,188.0,117.0,897.0,153.0,172.0,230.0,374.0
6.522526,273.0,208.20924,196.0,187.0,117.0,903.0,154.0,173.0,231.0,377.0
6.755473,273.0,209.59589,197.0,189.0,119.0,907.0,155.0,174.0,233.0,380.0
6.9884205,273.0,210.93767,198.0,190.0,119.0,911.0,156.0,175.0,235.0,383.0
7.221368,273.0,212.23923,199.0,193.0,121.0,916.0,157.0,176.0,236.0,385.0
7.454315,274.0,213.506,200.0,195.0,123.0,921.0,158.0,177.0,238.0,388.0
7.6872625,274.0,214.73508,202.0,193.0,123.0,929.0,159.0,178.0,239.0,391.0
7.92021,274.0,215.91891,203.0,193.0,123.0,931.0,160.0,179.0,240.0,393.0
8.153157,274.0,217.07796,204.0,196.0,124.0,932.0,161.0,180.0,242.0,396.0
8.386105,274.0,218.20184,205.0,197.0,124.0,939.0,161.0,181.0,243.0,398.0
8.619052,274.0,219.30305,206.0,198.0,124.0,941.0,162.0,181.0,244.0,400.0
8.851999,274.0,220.38216,207.0,199.0,125.0,942.0,163.0,182.0,246.0,403.0
9.084947,275.0,221.43341,208.0,200.0,125.0,948.0,164.0,183.0,247.0,405.0
9.317894,276.0,222.45592,208.0,200.0,125.0,952.0,164.0,184.0,248.0,407.0
9.550841,277.0,223.45604,209.0,201.0,125.0,953.0,165.0,185.0,249.0,409.0
9.783789,278.0,224.4452,210.0,201.0,125.0,958.0,166.0,185.0,250.0,411.0
10.016736,279.0,225.40549,211.0,201.0,126.0,959.0,166.0,186.0,251.0,413.0
10.249683,280.0,226.33984,212.0,201.0,126.0,961.0,167.0,187.0,252.0,415.0
10.482631,280.0,227.24193,213.0,202.0,126.0,963.0,168.0,187.0,253.0,417.0
10.715578,282.0,228.1347,214.0,201.0,126.0,965.0,168.0,188.0,254.0,419.0
10.948525,282.0,229.01578,214.0,207.0,126.0,969.0,169.0,189.0,256.0,421.0
11.181473,283.0,229.86832,215.0,207.0,126.0,970.0,170.0,190.0,257.0,422.0
11.41442,283.0,230.69955,216.0,205.0,127.0,973.0,170.0,190.0,258.0,424.0
11.6473675,283.0,231.51416,217.0,207.0,128.0,975.0,171.0,191.0,258.0,425.0
11.880315,285.0,232.31303,217.0,210.0,128.0,978.0,171.0,191.0,259.0,427.0
12.113262,286.0,233.1032,218.0,206.0,128.0,980.0,172.0,192.0,260.0,429.0
12.34621,286.0,233.87416,219.0,206.0,128.0,987.0,172.0,193.0,261.0,430.0
12.579157,286.0,234.63959,219.0,210.0,128.0,990.0,173.0,193.0,262.0,432.0
12.812104,287.0,235.38503,220.0,207.0,128.0,990.0,173.0,194.0,263.0,433.0
13.045052,287.0,236.12202,221.0,210.0,128.0,993.0,174.0,194.0,264.0,435.0
13.277999,287.0,236.8533,221.0,211.0,128.0,998.0,174.0,195.0,265.0,437.0
13.510946,288.0,237.57657,222.0,212.0,128.0,1000.0,175.0,195.0,265.0,438.0
13.743894,289.0,238.27895,223.0,212.0,128.0,1002.0,176.0,196.0,266.0,440.0
13.976841,290.0,238.96645,223.0,212.0,128.0,1002.0,176.0,197.0,267.0,441.0
14.209788,290.0,239.6388,224.0,213.0,129.0,1008.0,176.0,197.0,268.0,443.0
14.442736,290.0,240.31357,224.0,213.0,129.0,1010.0,177.0,198.0,269.0,444.0
14.675683,291.0,240.98328,225.0,213.0,129.0,1016.0,177.0,198.0,269.0,445.0
14.90863,291.0,241.63329,226.0,214.0,129.0,1019.0,178.0,199.0,270.0,447.0
15.141578,291.0,242.26941,226.0,215.0,130.0,1033.0,178.0,199.0,271.0,448.0
15.374525,291.0,242.89885,227.0,219.0,131.0,1036.0,179.0,200.0,272.0,449.0
15.607472,291.0,243.52863,227.0,220.0,131.0,1038.0,179.0,200.0,272.0,451.0
15.84042,291.0,244.14493,228.0,217.0,131.0,1040.0,180.0,201.0,273.0,452.0
16.073366,291.0,244.75313,228.0,217.0,132.0,1043.0,180.0,201.0,274.0,454.0
16.306314,291.0,245.34634,229.0,217.0,133.0,1044.0,180.0,201.0,275.0,455.0
16.53926,291.0,245.94109,229.0,219.0,134.0,1044.0,181.0,202.0,275.0,456.0
16.77221,291.0,246.5232,230.0,223.0,135.0,1045.0,181.0,202.0,276.0,457.0
17.005156,292.0,247.09601,230.0,223.0,135.0,1047.0,182.0,203.0,277.0,458.0
17.238104,293.0,247.66212,231.0,217.0,135.0,1049.0,182.0,203.0,277.0,460.0
17.47105,293.0,248.22533,231.0,221.0,135.0,1053.0,182.0,204.0,278.0,461.0
17.703999,293.0,248.78027,232.0,220.0,136.0,1054.0,183.0,204.0,279.0,462.0
17.936945,294.0,249.32785,232.0,223.0,137.0,1057.0,183.0,205.0,279.0,463.0
18.169893,294.0,249.86482,233.0,221.0,137.0,1059.0,184.0,205.0,280.0,464.0
18.40284,294.0,250.39308,233.0,226.0,137.0,1060.0,184.0,205.0,280.0,466.0
18.635788,295.0,250.9161,234.0,226.0,137.0,1062.0,184.0,206.0,281.0,466.0
18.868734,295.0,251.43578,234.0,226.0,137.0,1063.0,185.0,206.0,282.0,468.0
19.101683,295.0,251.94849,235.0,226.0,137.0,1065.0,185.0,207.0,282.0,469.0
19.33463,295.0,252.46085,235.0,222.0,138.0,1065.0,185.0,207.0,283.0,470.0
19.567577,295.0,252.96324,236.0,222.0,138.0,1068.0,186.0,207.0,283.0,471.0
19.800524,295.0,253.46259,236.0,222.0,139.0,1070.0,186.0,208.0,284.0,472.0
20.033472,297.0,253.95055,237.0,223.0,139.0,1071.0,186.0,208.0,285.0,473.0
20.266418,297.0,254.43413,237.0,223.0,140.0,1073.0,187.0,208.0,285.0,474.0
20.499367,297.0,254.92075,237.0,224.0,140.0,1074.0,187.0,209.0,286.0,475.0
20.732313,297.0,255.38985,238.0,226.0,140.0,1080.0,187.0,209.0,286.0,476.0
20.965261,298.0,255.85649,238.0,226.0,140.0,1085.0,188.0,210.0,287.0,477.0
21.198208,298.0,256.32645,239.0,223.0,141.0,1092.0,188.0,210.0,287.0,478.0
21.431156,299.0,256.7906,239.0,222.0,141.0,1095.0,188.0,210.0,288.0,479.0
21.664103,299.0,257.2476,239.0,238.0,141.0,1099.0,189.0,211.0,288.0,480.0
21.89705,299.0,257.705,240.0,224.0,141.0,1101.0,189.0,211.0,289.0,481.0
22.129997,299.0,258.14844,240.0,224.0,142.0,1103.0,189.0,211.0,289.0,482.0
22.362946,299.0,258.5879,241.0,224.0,142.0,1105.0,189.0,212.0,290.0,483.0
22.595892,299.0,259.02588,241.0,231.0,142.0,1106.0,190.0,212.0,291.0,484.0
22.82884,299.0,259.46164,241.0,231.0,142.0,1108.0,190.0,212.0,291.0,485.0
23.061787,299.0,259.8891,242.0,227.0,142.0,1109.0,190.0,213.0,292.0,486.0
23.294735,299.0,260.31802,242.0,231.0,142.0,1112.0,191.0,213.0,292.0,487.0
23.527681,299.0,260.73822,242.0,232.0,142.0,1113.0,191.0,213.0,293.0,488.0
23.76063,299.0,261.15686,243.0,228.0,144.0,1114.0,191.0,214.0,293.0,489.0
23.993576,300.0,261.57312,243.0,229.0,145.0,1118.0,192.0,214.0,294.0,489.0
24.226524,300.0,261.97894,244.0,235.0,145.0,1118.0,192.0,214.0,294.0,491.0
24.45947,300.0,262.38132,244.0,235.0,145.0,1119.0,192.0,214.0,295.0,492.0
24.69242,301.0,262.7895,244.0,235.0,145.0,1122.0,192.0,215.0,295.0,493.0
24.925365,301.0,263.19318,245.0,236.0,145.0,1124.0,193.0,215.0,295.0,494.0
25.158314,301.0,263.59158,245.0,231.0,145.0,1126.0,193.0,215.0,296.0,495.0
25.39126,301.0,263.9885,245.0,241.0,145.0,1130.0,193.0,216.0,296.0,495.0
25.624208,301.0,264.37766,246.0,239.0,145.0,1133.0,193.0,216.0,297.0,496.0
25.857155,301.0,264.7649,246.0,227.0,145.0,1135.0,194.0,216.0,297.0,497.0
26.090103,301.0,265.1469,246.0,239.0,145.0,1135.0,194.0,217.0,298.0,498.0
26.32305,301.0,265.52554,247.0,234.0,146.0,1135.0,194.0,217.0,298.0,499.0
26.555998,301.0,265.90067,247.0,232.0,146.0,1138.0,194.0,217.0,299.0,500.0
26.788944,301.0,266.27454,247.0,232.0,146.0,1139.0,195.0,217.0,299.0,501.0
27.021893,301.0,266.64624,248.0,240.0,146.0,1141.0,195.0,218.0,299.0,502.0
27.254839,301.0,267.01425,248.0,240.0,146.0,1146.0,195.0,218.0,300.0,502.0
27.487787,302.0,267.38028,248.0,236.0,146.0,1153.0,195.0,218.0,300.0,503.0
27.720734,302.0,267.74457,249.0,232.0,146.0,1156.0,196.0,218.0,301.0,504.0
27.953682,302.0,268.10764,249.0,232.0,146.0,1158.0,196.0,219.0,301.0,505.0
28.186628,302.0,268.47232,249.0,236.0,147.0,1160.0,196.0,219.0,302.0,506.0
28.419577,302.0,268.82684,250.0,240.0,147.0,1161.0,196.0,219.0,302.0,506.0
28.652523,302.0,269.17596,250.0,237.0,147.0,1164.0,197.0,220.0,302.0,507.0
28.885471,302.0,269.52432,250.0,241.0,147.0,1165.0,197.0,220.0,303.0,508.0
29.118418,302.0,269.86316,251.0,233.0,147.0,1166.0,197.0,220.0,303.0,508.0
29.351366,302.0,270.1988,251.0,243.0,147.0,1166.0,197.0,220.0,304.0,509.0
29.584312,302.0,270.53693,251.0,240.0,147.0,1168.0,198.0,221.0,304.0,510.0
29.81726,302.0,270.8746,251.0,233.0,147.0,1169.0,198.0,221.0,304.0,510.0
30.050207,302.0,271.21204,252.0,238.0,149.0,1170.0,198.0,221.0,305.0,511.0
30.283155,302.0,271.54486,252.0,238.0,150.0,1174.0,198.0,221.0,305.0,512.0
30.516102,302.0,271.8764,252.0,238.0,150.0,1175.0,198.0,222.0,306.0,513.0
30.74905,302.0,272.20438,253.0,238.0,150.0,1175.0,199.0,222.0,306.0,513.0
30.981997,302.0,272.52945,253.0,238.0,150.0,1177.0,199.0,222.0,306.0,514.0
31.214945,302.0,272.84732,253.0,238.0,150.0,1179.0,199.0,222.0,307.0,515.0
31.447891,302.0,273.1632,253.0,233.0,150.0,1182.0,199.0,223.0,307.0,516.0
31.68084,302.0,273.4825,254.0,238.0,150.0,1183.0,200.0,223.0,307.0,516.0
31.913786,302.0,273.79504,254.0,238.0,151.0,1186.0,200.0,223.0,308.0,517.0
32.146732,302.0,274.1048,254.0,238.0,151.0,1187.0,200.0,223.0,308.0,518.0
32.37968,302.0,274.41772,255.0,246.0,151.0,1187.0,200.0,224.0,309.0,518.0
32.61263,302.0,274.7256,255.0,243.0,151.0,1188.0,200.0,224.0,309.0,519.0
32.845577,302.0,275.03616,255.0,240.0,151.0,1188.0,201.0,224.0,309.0,520.0
33.07852,302.0,275.3455,255.0,244.0,152.0,1189.0,201.0,224.0,310.0,520.0
