Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3783202E-5,1.47110895E-5,1.3470932E-4,9.156991,1.2E-4,5.906953E-5,6.30461E-5,2.3303539E-4,3.6962695,1.7E-4,7.189342E-4,7.6733343E-4,9.97157E-4,1.2995093,2.3E-4,0.0071661277,0.007648596,0.008025689,1.0493023,3.8E-4
6.1,1.3783202E-5,1.47110895E-5,1.3470932E-4,9.156991,1.2E-4,5.906953E-5,6.30461E-5,2.3303539E-4,3.6962695,1.7E-4,7.189342E-4,7.6733343E-4,9.97157E-4,1.2995093,2.3E-4,0.0071661277,0.007648596,0.008025689,1.0493023,3.8E-4
6.2,1.3783202E-5,1.47110895E-5,1.3470932E-4,9.156991,1.2E-4,5.906953E-5,6.30461E-5,2.3303539E-4,3.6962695,1.7E-4,7.189342E-4,7.6733343E-4,9.97157E-4,1.2995093,2.3E-4,0.0071661277,0.007648596,0.008025689,1.0493023,3.8E-4
6.3,1.10494875E-5,1.1793136E-5,9.179219E-5,7.7835274,8.0E-5,4.7354086E-5,5.054109E-5,1.6053554E-4,3.176337,1.1E-4,5.763835E-4,6.151744E-4,7.75076E-4,1.2599288,1.6E-4,0.005748908,0.0061357557,0.0064239763,1.046974,2.9E-4
6.4,1.10494875E-5,1.1793136E-5,9.179219E-5,7.7835274,8.0E-5,4.7354086E-5,5.054109E-5,1.6053554E-4,3.176337,1.1E-4,5.763835E-4,6.151744E-4,7.75076E-4,1.2599288,1.6E-4,0.005748908,0.0061357557,0.0064239763,1.046974,2.9E-4
6.5,9.788949E-6,1.045432E-5,8.045359E-5,7.695727,7.0E-5,4.1951964E-5,4.480351E-5,1.4479904E-4,3.231868,1.0E-4,5.1064545E-4,5.453555E-4,6.8527914E-4,1.2565733,1.4E-4,0.0050947363,0.0054410985,0.0056897383,1.0456966,2.5E-4
6.6,8.810006E-6,9.4136285E-6,7.941297E-5,8.435958,7.0E-5,3.775662E-5,4.0343548E-5,1.4033951E-4,3.4786112,1.0E-4,4.5958988E-4,4.9108086E-4,6.3101214E-4,1.2849455,1.4E-4,0.0045864056,0.004900839,0.005149614,1.0507617,2.5E-4
6.7,8.80128E-6,9.404108E-6,7.940345E-5,8.443485,7.0E-5,3.7719226E-5,4.0302748E-5,1.4029871E-4,3.4811203,1.0E-4,4.591348E-4,4.9058435E-4,6.305157E-4,1.285234,1.4E-4,0.004581874,0.0048958957,0.005144672,1.0508132,2.5E-4
6.8,6.8994877E-6,7.380076E-6,5.7379708E-5,7.774948,5.0E-5,2.9568899E-5,3.162856E-5,1.1162603E-4,3.5292795,8.0E-5,3.5994186E-4,3.8501783E-4,5.0497166E-4,1.3115538,1.2E-4,0.003593594,0.0038443129,0.0040734285,1.0595987,2.3E-4
6.9,4.9328037E-6,5.2709615E-6,4.527075E-5,8.588708,4.0E-5,2.1140417E-5,2.2589675E-5,6.258877E-5,2.7706807,4.0E-5,2.5735417E-4,2.7500073E-4,3.4498147E-4,1.2544748,7.0E-5,0.0025705635,0.0027472095,0.0028768524,1.0471908,1.3E-4
7.0,3.347973E-6,3.59003E-6,1.35899945E-5,3.7854822,1.0E-5,1.4348378E-5,1.5385775E-5,2.5385621E-5,1.649941,1.0E-5,1.746775E-4,1.8730981E-4,2.173042E-4,1.1601324,3.0E-5,0.0017454025,0.0018719219,0.0019417909,1.0373247,7.0E-5
7.1,1.2073567E-6,1.293482E-6,1.293482E-6,1.0,0.0,5.1743755E-6,5.543492E-6,5.543492E-6,1.0,0.0,6.29962E-5,6.749156E-5,6.749156E-5,1.0,0.0,6.297835E-4,6.7487074E-4,6.9485727E-4,1.0296153,2.0E-5
