Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42039686,14.0,6.14636,5.0,5.0,0.0,1944.0,1.0,3.0,8.0,13.0
0.8407937,19.0,12.58844,11.0,10.0,0.0,2376.0,4.0,7.0,15.0,25.0
1.2611907,22.0,18.93064,16.0,15.0,1.0,2730.0,8.0,12.0,22.0,37.0
1.6815875,24.0,25.28589,22.0,21.0,1.0,2926.0,12.0,17.0,29.0,50.0
2.1019843,28.0,31.66272,27.0,26.0,4.0,3052.0,16.0,21.0,36.0,63.0
2.5223813,31.0,37.86991,33.0,31.0,10.0,3189.0,20.0,26.0,42.0,76.0
2.942778,34.0,44.01333,38.0,36.0,13.0,3375.0,24.0,30.0,49.0,89.0
3.363175,37.0,50.03416,43.0,41.0,15.0,3524.0,28.0,35.0,55.0,102.0
3.7835717,43.0,56.06757,49.0,45.0,16.0,3635.0,32.0,40.0,62.0,114.0
4.2039685,50.0,61.98316,54.0,50.0,19.0,3705.0,36.0,44.0,68.0,126.0
4.6243653,56.0,67.81966,59.0,57.0,21.0,3795.0,40.0,49.0,74.0,139.0
5.0447626,59.0,73.59277,64.0,62.0,22.0,3869.0,44.0,53.0,81.0,151.0
5.4651594,59.0,79.31373,69.0,65.0,26.0,3922.0,48.0,57.0,87.0,163.0
5.885556,61.0,85.00209,73.0,71.0,34.0,3968.0,52.0,62.0,92.0,175.0
6.305953,65.0,90.53605,78.0,74.0,37.0,4012.0,56.0,66.0,98.0,186.0
6.72635,67.0,95.99119,83.0,80.0,42.0,4074.0,60.0,70.0,104.0,199.0
7.1467466,72.0,101.27174,87.0,84.0,46.0,4135.0,63.0,74.0,110.0,209.0
7.5671434,74.0,106.54053,92.0,89.0,47.0,4196.0,67.0,78.0,116.0,220.0
7.9875402,78.0,111.76721,97.0,92.0,52.0,4279.0,71.0,82.0,121.0,232.0
8.407937,81.0,116.93382,101.0,96.0,54.0,4356.0,74.0,86.0,127.0,242.0
8.828334,82.0,121.97508,105.0,100.0,56.0,4404.0,78.0,90.0,132.0,254.0
9.248731,84.0,126.95921,110.0,104.0,58.0,4570.0,81.0,94.0,138.0,263.0
9.669127,88.0,131.9495,114.0,108.0,61.0,4613.0,85.0,98.0,143.0,274.0
10.089525,89.0,136.8069,118.0,112.0,65.0,4689.0,88.0,102.0,148.0,284.0
10.509922,94.0,141.69753,123.0,115.0,67.0,4752.0,92.0,105.0,153.0,293.0
10.930319,94.0,146.56918,127.0,119.0,71.0,4792.0,95.0,109.0,159.0,303.0
11.350716,96.0,151.27158,131.0,123.0,73.0,4819.0,99.0,113.0,164.0,313.0
11.771112,97.0,155.8977,135.0,128.0,75.0,5258.0,102.0,116.0,169.0,323.0
12.191509,100.0,160.54327,139.0,134.0,78.0,5648.0,105.0,120.0,174.0,331.0
12.611906,102.0,165.12003,143.0,135.0,79.0,5884.0,108.0,123.0,179.0,340.0
13.032303,104.0,169.66096,147.0,142.0,82.0,6089.0,112.0,127.0,184.0,348.0
13.4527,106.0,174.16849,150.0,140.0,86.0,6273.0,115.0,130.0,189.0,357.0
13.873096,107.0,178.60529,154.0,149.0,87.0,6430.0,118.0,134.0,193.0,365.0
14.293493,109.0,182.95857,158.0,146.0,88.0,6543.0,121.0,137.0,198.0,373.0
14.71389,110.0,187.2621,162.0,152.0,91.0,6684.0,124.0,140.0,203.0,382.0
15.134287,112.0,191.5714,165.0,153.0,94.0,6796.0,127.0,144.0,208.0,391.0
15.554684,113.0,195.7905,169.0,160.0,95.0,6907.0,130.0,147.0,212.0,399.0
15.9750805,113.0,199.99971,173.0,165.0,96.0,7007.0,133.0,150.0,217.0,408.0
16.395477,115.0,204.11798,176.0,170.0,97.0,7099.0,136.0,153.0,221.0,418.0
16.815874,115.0,208.21855,180.0,170.0,97.0,7219.0,139.0,156.0,226.0,425.0
17.23627,117.0,212.24905,183.0,170.0,100.0,7328.0,142.0,159.0,230.0,432.0
17.656668,117.0,216.22955,187.0,178.0,103.0,7389.0,145.0,163.0,235.0,441.0
18.077065,119.0,220.16666,190.0,179.0,107.0,7470.0,148.0,166.0,239.0,448.0
18.497461,121.0,224.10126,193.0,182.0,108.0,7547.0,150.0,169.0,243.0,456.0
18.917858,121.0,227.99265,197.0,185.0,110.0,7597.0,153.0,172.0,248.0,463.0
19.338255,124.0,231.8179,200.0,191.0,112.0,7653.0,156.0,175.0,252.0,470.0
19.758654,128.0,235.62091,203.0,194.0,115.0,7732.0,159.0,178.0,256.0,477.0
20.17905,129.0,239.34718,207.0,201.0,119.0,7785.0,161.0,181.0,260.0,485.0
20.599447,134.0,243.04597,210.0,197.0,119.0,7829.0,164.0,183.0,264.0,491.0
21.019844,140.0,246.82317,213.0,200.0,123.0,7884.0,166.0,186.0,268.0,500.0
21.44024,145.0,250.49815,216.0,203.0,124.0,7935.0,169.0,189.0,272.0,508.0
21.860638,146.0,254.16866,219.0,206.0,126.0,7983.0,172.0,192.0,276.0,514.0
22.281034,149.0,257.81125,223.0,212.0,128.0,8030.0,174.0,195.0,280.0,522.0
22.701431,150.0,261.4027,226.0,218.0,130.0,8072.0,177.0,197.0,284.0,530.0
23.121828,153.0,264.99942,229.0,218.0,134.0,8106.0,179.0,200.0,288.0,538.0
23.542225,155.0,268.6139,232.0,223.0,136.0,8145.0,182.0,203.0,292.0,547.0
23.962622,159.0,272.1342,235.0,222.0,139.0,8180.0,184.0,205.0,296.0,553.0
24.383018,163.0,275.662,238.0,227.0,140.0,8212.0,187.0,208.0,300.0,561.0
24.803415,164.0,279.08725,241.0,230.0,143.0,8243.0,189.0,211.0,303.0,567.0
25.223812,165.0,282.47052,243.0,231.0,146.0,8268.0,192.0,213.0,307.0,575.0
25.644209,165.0,285.90375,246.0,233.0,149.0,8300.0,194.0,216.0,311.0,583.0
26.064606,167.0,289.2755,249.0,239.0,151.0,8330.0,196.0,218.0,314.0,591.0
26.485003,170.0,292.6384,252.0,242.0,152.0,8361.0,199.0,221.0,318.0,597.0
26.9054,174.0,295.97714,255.0,242.0,156.0,8385.0,201.0,223.0,322.0,605.0
27.325796,174.0,299.27036,258.0,244.0,158.0,8419.0,203.0,226.0,326.0,612.0
27.746193,176.0,302.4882,260.0,244.0,160.0,8449.0,205.0,228.0,329.0,618.0
28.16659,186.0,305.6868,263.0,245.0,161.0,8473.0,208.0,231.0,333.0,624.0
28.586987,190.0,308.85297,266.0,258.0,161.0,8494.0,210.0,233.0,336.0,631.0
29.007383,192.0,312.02002,268.0,260.0,164.0,8529.0,212.0,236.0,339.0,637.0
29.42778,196.0,315.15643,271.0,253.0,169.0,8561.0,214.0,238.0,343.0,645.0
29.848177,197.0,318.321,274.0,258.0,172.0,8590.0,217.0,240.0,347.0,652.0
30.268574,199.0,321.37692,277.0,259.0,173.0,8618.0,219.0,243.0,350.0,658.0
30.68897,201.0,324.4026,279.0,272.0,177.0,8638.0,221.0,245.0,353.0,664.0
31.109367,202.0,327.4451,282.0,267.0,179.0,8651.0,223.0,247.0,357.0,672.0
31.529764,203.0,330.4592,284.0,270.0,179.0,8668.0,225.0,250.0,360.0,677.0
31.950161,206.0,333.42206,287.0,275.0,180.0,8696.0,227.0,252.0,363.0,683.0
32.37056,208.0,336.37418,290.0,277.0,182.0,8713.0,229.0,254.0,367.0,689.0
32.790955,208.0,339.31158,292.0,275.0,182.0,8751.0,232.0,257.0,370.0,694.0
33.211353,209.0,342.23605,295.0,280.0,184.0,8773.0,234.0,259.0,373.0,699.0
33.63175,210.0,345.11087,297.0,285.0,187.0,8789.0,236.0,261.0,377.0,706.0
34.052147,210.0,347.96005,299.0,285.0,188.0,8816.0,238.0,263.0,380.0,712.0
34.47254,211.0,350.80188,302.0,290.0,190.0,8838.0,240.0,265.0,383.0,718.0
34.89294,211.0,353.63467,304.0,290.0,191.0,8855.0,242.0,267.0,386.0,724.0
35.313335,211.0,356.3919,307.0,290.0,191.0,8882.0,244.0,270.0,389.0,730.0
35.733734,212.0,359.15616,309.0,291.0,194.0,8900.0,246.0,272.0,392.0,735.0
36.15413,214.0,361.93848,311.0,293.0,195.0,8913.0,248.0,274.0,395.0,741.0
36.574528,216.0,364.68524,314.0,296.0,197.0,8935.0,250.0,276.0,398.0,746.0
36.994923,216.0,367.36615,316.0,303.0,198.0,8951.0,251.0,278.0,402.0,751.0
37.41532,216.0,370.07294,318.0,300.0,198.0,8976.0,253.0,280.0,405.0,758.0
37.835716,216.0,372.78503,321.0,300.0,200.0,9001.0,255.0,282.0,408.0,763.0
38.256115,217.0,375.46683,323.0,306.0,204.0,9014.0,257.0,284.0,411.0,768.0
38.67651,218.0,378.0964,325.0,308.0,205.0,9026.0,259.0,286.0,414.0,776.0
39.09691,218.0,380.7486,328.0,304.0,205.0,9056.0,261.0,288.0,416.0,782.0
39.517307,223.0,383.38855,330.0,315.0,207.0,9083.0,263.0,290.0,419.0,787.0
39.937702,225.0,385.99515,332.0,310.0,208.0,9098.0,265.0,292.0,422.0,795.0
40.3581,225.0,388.59207,334.0,319.0,209.0,9114.0,266.0,294.0,425.0,799.0
40.778496,225.0,391.20456,337.0,322.0,210.0,9132.0,268.0,296.0,428.0,805.0
41.198895,226.0,393.78973,339.0,314.0,212.0,9150.0,270.0,298.0,431.0,810.0
41.61929,226.0,396.35464,341.0,317.0,212.0,9173.0,272.0,300.0,434.0,816.0
42.03969,226.0,398.8625,343.0,320.0,215.0,9191.0,274.0,302.0,437.0,821.0
42.460083,226.0,401.36237,345.0,323.0,216.0,9207.0,275.0,304.0,440.0,826.0
42.88048,228.0,403.831,347.0,329.0,216.0,9230.0,277.0,306.0,442.0,831.0
43.300877,228.0,406.29147,349.0,323.0,217.0,9241.0,279.0,308.0,445.0,838.0
43.721275,228.0,408.7474,352.0,326.0,218.0,9256.0,281.0,309.0,448.0,844.0
44.14167,229.0,411.1512,354.0,333.0,220.0,9272.0,282.0,311.0,451.0,851.0
44.56207,231.0,413.558,356.0,334.0,222.0,9288.0,284.0,313.0,453.0,858.0
44.982464,235.0,415.9355,358.0,334.0,224.0,9301.0,286.0,315.0,456.0,862.0
45.402863,235.0,418.3216,360.0,334.0,224.0,9321.0,287.0,317.0,459.0,866.0
45.823257,236.0,420.71127,362.0,339.0,226.0,9330.0,289.0,319.0,461.0,874.0
46.243656,236.0,423.05026,364.0,341.0,226.0,9344.0,291.0,320.0,464.0,879.0
46.66405,236.0,425.42242,366.0,334.0,229.0,9364.0,292.0,322.0,466.0,884.0
47.08445,239.0,427.7823,368.0,351.0,231.0,9372.0,294.0,324.0,469.0,889.0
