Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,432.0,997.65314,854.0,800.0,583.0,11421.0,685.0,748.0,1113.0,2402.0
2.6,324.0,792.45575,679.0,615.0,452.0,9125.0,540.0,593.0,884.0,1912.0
2.7,254.0,629.44305,539.0,485.0,341.0,7230.0,426.0,470.0,704.0,1516.0
2.8,185.0,499.9668,429.0,399.0,262.0,5776.0,335.0,372.0,560.0,1205.0
2.9,149.0,397.11783,341.0,315.0,211.0,4559.0,263.0,294.0,446.0,959.0
3.0,118.0,315.44904,272.0,251.0,156.0,3648.0,206.0,233.0,355.0,761.0
3.1,96.0,250.52495,216.0,196.0,119.0,2888.0,162.0,183.0,283.0,606.0
3.2,80.0,198.9488,172.0,156.0,85.0,2325.0,126.0,145.0,226.0,481.0
3.3,64.0,158.01814,137.0,128.0,65.0,1857.0,98.0,114.0,180.0,382.0
3.4,52.0,125.47302,109.0,101.0,48.0,1507.0,76.0,90.0,144.0,304.0
3.5,35.0,99.65463,87.0,76.0,35.0,1218.0,58.0,70.0,115.0,242.0
3.6,18.0,79.11976,69.0,63.0,25.0,984.0,45.0,55.0,92.0,193.0
3.7,15.0,62.84694,55.0,50.0,17.0,794.0,34.0,43.0,74.0,153.0
3.8,11.0,49.894,43.0,41.0,13.0,635.0,26.0,33.0,60.0,123.0
3.9,9.0,39.63308,35.0,32.0,6.0,504.0,19.0,26.0,48.0,98.0
4.0,4.0,31.4512,27.0,25.0,5.0,416.0,14.0,20.0,39.0,78.0
4.1,3.0,24.96698,22.0,20.0,1.0,339.0,11.0,15.0,31.0,63.0
4.2,3.0,19.81436,17.0,16.0,1.0,270.0,8.0,12.0,25.0,51.0
4.3,3.0,15.71257,14.0,12.0,0.0,214.0,5.0,9.0,21.0,41.0
4.4,1.0,12.47234,11.0,9.0,0.0,170.0,4.0,7.0,17.0,33.0
4.5,1.0,9.88737,9.0,7.0,0.0,134.0,2.0,5.0,14.0,27.0
4.6,1.0,7.82968,7.0,5.0,0.0,106.0,2.0,4.0,11.0,22.0
4.7,1.0,6.19654,5.0,4.0,0.0,87.0,1.0,3.0,9.0,18.0
4.8,1.0,4.89855,4.0,3.0,0.0,70.0,0.0,2.0,7.0,15.0
4.9,0.0,3.86955,3.0,2.0,0.0,57.0,0.0,1.0,6.0,12.0
5.0,0.0,3.05591,2.0,2.0,0.0,42.0,0.0,1.0,5.0,10.0
5.1,0.0,2.40458,2.0,1.0,0.0,38.0,0.0,0.0,4.0,8.0
5.2,0.0,1.89358,1.0,1.0,0.0,30.0,0.0,0.0,3.0,7.0
5.3,0.0,1.4851,1.0,0.0,0.0,27.0,0.0,0.0,3.0,6.0
5.4,0.0,1.16374,1.0,0.0,0.0,24.0,0.0,0.0,2.0,5.0
5.5,0.0,0.90451,1.0,0.0,0.0,23.0,0.0,0.0,2.0,4.0
5.6,0.0,0.7005,0.0,0.0,0.0,20.0,0.0,0.0,1.0,3.0
5.7,0.0,0.53789,0.0,0.0,0.0,19.0,0.0,0.0,1.0,3.0
5.8,0.0,0.40782,0.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0
5.9,0.0,0.30743,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.0,0.0,0.23429,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
6.1,0.0,0.16693,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
6.2,0.0,0.11091,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
6.3,0.0,0.08323,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.4,0.0,0.06241,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.5,0.0,0.04782,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.6,0.0,0.03966,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.7,0.0,0.0316,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.02556,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.9,0.0,0.01981,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.0,0.0,0.01529,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.1,0.0,0.01253,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.2,0.0,0.00953,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3,0.0,0.00677,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.00602,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.00438,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,0.00237,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,5.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,4.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,2.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,5.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
