Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8424427E-5,3.1207037E-5,0.0015911583,50.987164,0.00156,1.2181328E-4,1.3373834E-4,0.0045131524,33.74614,0.00438,0.0014820677,0.0016271813,0.015863977,9.74936,0.01426,0.014722223,0.016166078,0.0414998,2.5670915,0.02575
6.1,2.8424427E-5,3.1207037E-5,0.0015911583,50.987164,0.00156,1.2181328E-4,1.3373834E-4,0.0045131524,33.74614,0.00438,0.0014820677,0.0016271813,0.015863977,9.74936,0.01426,0.014722223,0.016166078,0.0414998,2.5670915,0.02575
6.2,2.8424427E-5,3.1207037E-5,0.0015911583,50.987164,0.00156,1.2181328E-4,1.3373834E-4,0.0045131524,33.74614,0.00438,0.0014820677,0.0016271813,0.015863977,9.74936,0.01426,0.014722223,0.016166078,0.0414998,2.5670915,0.02575
6.3,1.48860645E-5,1.6082002E-5,0.001016066,63.180317,0.001,6.379586E-5,6.89212E-5,0.0029987192,43.509388,0.00293,7.7643775E-4,8.3882076E-4,0.010141011,12.089604,0.00931,0.007737305,0.008359365,0.02489993,2.978687,0.01668
6.4,1.48860645E-5,1.6082002E-5,0.001016066,63.180317,0.001,6.379586E-5,6.89212E-5,0.0029987192,43.509388,0.00293,7.7643775E-4,8.3882076E-4,0.010141011,12.089604,0.00931,0.007737305,0.008359365,0.02489993,2.978687,0.01668
6.5,1.2797581E-5,1.3766076E-5,9.337534E-4,67.83003,9.2E-4,5.4845623E-5,5.899628E-5,0.0027488377,46.593403,0.00269,6.675408E-4,7.180687E-4,0.009311893,12.96797,0.0086,0.006655392,0.0071600354,0.022221418,3.1035347,0.01517
6.6,9.661896E-6,1.0289399E-5,7.802815E-4,75.833534,7.7E-4,4.1407468E-5,4.409677E-5,0.0024039927,54.5163,0.00236,5.040193E-4,5.367622E-4,0.007922796,14.760346,0.00739,0.005028777,0.005356262,0.018256791,3.408495,0.01297
6.7,7.767871E-6,8.199962E-6,6.881944E-4,83.92654,6.8E-4,3.329045E-5,3.5142297E-5,0.0021050696,59.901306,0.00207,4.0523586E-4,4.2778722E-4,0.0068550366,16.024406,0.00643,0.004044977,0.004270989,0.015632257,3.6601024,0.01141
6.8,6.4235196E-6,6.735968E-6,5.7673216E-4,85.61979,5.7E-4,2.752908E-5,2.8868186E-5,0.001628822,56.422733,0.0016,3.35115E-4,3.514263E-4,0.0055695917,15.848534,0.00522,0.003346101,0.0035099662,0.012737464,3.628942,0.00926
6.9,3.1283696E-6,3.1122595E-6,2.9311137E-4,94.1796,2.9E-4,1.3407229E-5,1.33381955E-5,9.1332616E-4,68.474495,9.0E-4,1.6322079E-4,1.6238193E-4,0.0031818915,19.595108,0.00302,0.0016310095,0.0016227812,0.0070339856,4.334525,0.00542
7.0,2.290603E-6,2.2287413E-6,1.9222831E-4,86.24972,1.9E-4,9.816834E-6,9.55172E-6,5.0954695E-4,53.346096,5.0E-4,1.19513395E-4,1.1628702E-4,0.001836087,15.7892685,0.00172,0.0011944914,0.0011623639,0.0044185747,3.8013694,0.00326
7.1,1.293693E-6,1.1777198E-6,9.1177615E-5,77.41876,9.0E-5,5.5443866E-6,5.047365E-6,2.4504616E-4,48.549324,2.4E-4,6.750081E-5,6.1450635E-5,8.5140206E-4,13.855058,7.9E-4,6.7480316E-4,6.144049E-4,0.0021034894,3.423621,0.00149
7.2,4.715842E-7,3.0919614E-7,3.0919614E-7,1.0,0.0,2.0210737E-6,1.3251256E-6,1.1325113E-5,8.546444,1.0E-5,2.4606294E-5,1.613329E-5,6.613248E-5,4.0991316,5.0E-5,2.460357E-4,1.6132173E-4,2.4130884E-4,1.4958234,8.0E-5
7.3,3.9430947E-7,2.30991E-7,2.30991E-7,1.0,0.0,1.6898966E-6,9.899611E-7,1.0989951E-5,11.1013975,1.0E-5,2.0574296E-5,1.205271E-5,5.205223E-5,4.3187156,4.0E-5,2.0572392E-4,1.2052064E-4,1.905122E-4,1.5807434,7.0E-5
7.4,3.547123E-7,1.9680634E-7,1.9680634E-7,1.0,0.0,1.5201948E-6,8.4345544E-7,1.0843447E-5,12.855981,1.0E-5,1.8508214E-5,1.0269022E-5,4.0268715E-5,3.9213777,3.0E-5,1.8506673E-4,1.0268554E-4,1.6267938E-4,1.5842482,6.0E-5
7.5,2.6354266E-7,1.4424187E-7,1.4424187E-7,1.0,0.0,1.129468E-6,6.181793E-7,6.181793E-7,1.0,0.0,1.3751187E-5,7.526307E-6,2.7526157E-5,3.6573257,2.0E-5,1.3750336E-4,7.526057E-5,1.15257564E-4,1.5314468,4.0E-5
7.6,1.269913E-7,7.573001E-8,7.573001E-8,1.0,0.0,5.4424834E-7,3.2455713E-7,3.2455713E-7,1.0,0.0,6.6262032E-6,3.951476E-6,1.3951437E-5,3.5306897,1.0E-5,6.626006E-5,3.9514096E-5,6.951291E-5,1.7591927,3.0E-5
