Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.588152E-5,1.367114E-5,1.367114E-5,1.0,0.0,6.806188E-5,5.8589503E-5,5.8589503E-5,1.0,0.0,8.283384E-4,7.1313314E-4,7.23126E-4,1.0140126,1.0E-5,0.008252576,0.007112335,0.0071321926,1.002792,2.0E-5
6.1,1.588152E-5,1.367114E-5,1.367114E-5,1.0,0.0,6.806188E-5,5.8589503E-5,5.8589503E-5,1.0,0.0,8.283384E-4,7.1313314E-4,7.23126E-4,1.0140126,1.0E-5,0.008252576,0.007112335,0.0071321926,1.002792,2.0E-5
6.2,1.588152E-5,1.367114E-5,1.367114E-5,1.0,0.0,6.806188E-5,5.8589503E-5,5.8589503E-5,1.0,0.0,8.283384E-4,7.1313314E-4,7.23126E-4,1.0140126,1.0E-5,0.008252576,0.007112335,0.0071321926,1.002792,2.0E-5
6.3,1.588152E-5,1.367114E-5,1.367114E-5,1.0,0.0,6.806188E-5,5.8589503E-5,5.8589503E-5,1.0,0.0,8.283384E-4,7.1313314E-4,7.23126E-4,1.0140126,1.0E-5,0.008252576,0.007112335,0.0071321926,1.002792,2.0E-5
6.4,1.588152E-5,1.367114E-5,1.367114E-5,1.0,0.0,6.806188E-5,5.8589503E-5,5.8589503E-5,1.0,0.0,8.283384E-4,7.1313314E-4,7.23126E-4,1.0140126,1.0E-5,0.008252576,0.007112335,0.0071321926,1.002792,2.0E-5
6.5,1.0646776E-5,7.953251E-6,7.953251E-6,1.0,0.0,4.5628243E-5,3.4084966E-5,3.4084966E-5,1.0,0.0,5.553823E-4,4.149138E-4,4.149138E-4,1.0,0.0,0.005539963,0.00414222,0.00414222,1.0,0.0
6.6,8.632956E-6,5.768882E-6,5.768882E-6,1.0,0.0,3.6997862E-5,2.472357E-5,2.472357E-5,1.0,0.0,4.5035584E-4,3.009717E-4,3.009717E-4,1.0,0.0,0.0044944426,0.003006019,0.003006019,1.0,0.0
6.7,8.632956E-6,5.768882E-6,5.768882E-6,1.0,0.0,3.6997862E-5,2.472357E-5,2.472357E-5,1.0,0.0,4.5035584E-4,3.009717E-4,3.009717E-4,1.0,0.0,0.0044944426,0.003006019,0.003006019,1.0,0.0
6.8,7.143895E-6,4.201924E-6,4.201924E-6,1.0,0.0,3.0616335E-5,1.8008133E-5,1.8008133E-5,1.0,0.0,3.726901E-4,2.1922862E-4,2.1922862E-4,1.0,0.0,0.0037206567,0.0021902884,0.0021902884,1.0,0.0
6.9,6.5120694E-6,3.664538E-6,3.664538E-6,1.0,0.0,2.790857E-5,1.5705076E-5,1.5705076E-5,1.0,0.0,3.3973387E-4,1.9119405E-4,1.9119405E-4,1.0,0.0,0.0033921495,0.0019104446,0.0019104446,1.0,0.0
7.0,5.0614435E-6,2.6836833E-6,2.6836833E-6,1.0,0.0,2.169172E-5,1.1501455E-5,1.1501455E-5,1.0,0.0,2.6406467E-4,1.4002225E-4,1.4002225E-4,1.0,0.0,0.0026375111,0.0013994416,0.0013994416,1.0,0.0
7.1,4.41728E-6,2.3574921E-6,2.3574921E-6,1.0,0.0,1.8931061E-5,1.0103505E-5,1.0103505E-5,1.0,0.0,2.304613E-4,1.2300421E-4,1.2300421E-4,1.0,0.0,0.0023022245,0.0012294578,0.0012294578,1.0,0.0
7.2,2.535495E-6,1.120891E-6,1.120891E-6,1.0,0.0,1.0866362E-5,4.8038128E-6,4.8038128E-6,1.0,0.0,1.3228992E-4,5.8485373E-5,5.8485373E-5,1.0,0.0,0.0013221119,5.84751E-4,5.84751E-4,1.0,0.0
7.3,7.900015E-7,4.089337E-7,4.089337E-7,1.0,0.0,3.3857161E-6,1.752573E-6,1.752573E-6,1.0,0.0,4.1220315E-5,2.1337575E-5,2.1337575E-5,1.0,0.0,4.121267E-4,2.1337577E-4,2.1337577E-4,1.0,0.0
