Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.1,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.2,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.3,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.4,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.5,1.15488665E-5,1.1079958E-5,2.1079848E-5,1.9025204,1.0E-5,4.9494203E-5,4.7484744E-5,1.6747904E-4,3.5270073,1.2E-4,6.024253E-4,5.779862E-4,0.0015174429,2.6253965,9.4E-4,0.006007948,0.0057660984,0.008231798,1.4276202,0.00248
6.6,7.587044E-6,6.9358503E-6,1.693578E-5,2.4417744,1.0E-5,3.2515498E-5,2.972475E-5,9.972267E-5,3.3548698,7.0E-5,3.9580427E-4,3.6184167E-4,8.5166434E-4,2.3536935,4.9E-4,0.003951,0.0036128166,0.0048782285,1.3502563,0.00127
6.7,7.587044E-6,6.9358503E-6,1.693578E-5,2.4417744,1.0E-5,3.2515498E-5,2.972475E-5,9.972267E-5,3.3548698,7.0E-5,3.9580427E-4,3.6184167E-4,8.5166434E-4,2.3536935,4.9E-4,0.003951,0.0036128166,0.0048782285,1.3502563,0.00127
6.8,5.9026956E-6,5.179568E-6,1.5179517E-5,2.9306529,1.0E-5,2.5297022E-5,2.2197966E-5,8.219663E-5,3.7028904,6.0E-5,3.0794772E-4,2.7022787E-4,6.301306E-4,2.3318489,3.6E-4,0.0030752132,0.0026991093,0.003616626,1.3399332,9.2E-4
6.9,5.0118915E-6,4.2525808E-6,1.4252538E-5,3.3515034,1.0E-5,2.1479358E-5,1.8225222E-5,5.8224494E-5,3.1947207,4.0E-5,2.614798E-4,2.2187021E-4,4.918103E-4,2.2166576,2.7E-4,0.0026117235,0.0022165596,0.0030048084,1.3556182,7.9E-4
7.0,4.4924795E-6,3.7140621E-6,1.3714025E-5,3.6924596,1.0E-5,1.925334E-5,1.5917316E-5,5.591668E-5,3.5129464,4.0E-5,2.3438422E-4,1.9377672E-4,4.5372633E-4,2.3414905,2.6E-4,0.0023413717,0.0019361405,0.0026347851,1.360844,7.0E-4
7.1,3.9118436E-6,3.1121094E-6,3.1121094E-6,1.0,0.0,1.6764936E-5,1.3337547E-5,4.3337146E-5,3.2492592,3.0E-5,2.0409399E-4,1.6237311E-4,3.8233737E-4,2.354684,2.2E-4,0.0020390663,0.0016226007,0.0022116434,1.3630238,5.9E-4
7.2,3.4200818E-6,2.605576E-6,2.605576E-6,1.0,0.0,1.4657411E-5,1.116671E-5,3.1166484E-5,2.791018,2.0E-5,1.7843937E-4,1.3594671E-4,3.1592223E-4,2.3238683,1.8E-4,0.0017829615,0.0013586852,0.001838033,1.3528028,4.8E-4
7.3,2.6593618E-6,1.8285265E-6,1.8285265E-6,1.0,0.0,1.13972155E-5,7.83652E-6,2.7836364E-5,3.552133,2.0E-5,1.3875226E-4,9.5405754E-5,2.3539239E-4,2.4672768,1.4E-4,0.0013866565,9.536769E-4,0.0012733716,1.3352234,3.2E-4
7.4,2.2577992E-6,1.436535E-6,1.436535E-6,1.0,0.0,9.676246E-6,6.156565E-6,1.6156504E-5,2.6242723,1.0E-5,1.1780193E-4,7.495386E-5,1.7494636E-4,2.3340542,1.0E-4,0.001177395,7.493108E-4,9.6914597E-4,1.2933831,2.2E-4
7.5,1.489319E-6,7.354697E-7,7.354697E-7,1.0,0.0,6.3827797E-6,3.1520092E-6,3.1520092E-6,1.0,0.0,7.770758E-5,3.837504E-5,7.837351E-5,2.0423043,4.0E-5,7.7680405E-4,3.836846E-4,4.536577E-4,1.1823715,7.0E-5
7.6,1.0680322E-6,4.6602182E-7,4.6602182E-7,1.0,0.0,4.577273E-6,1.997235E-6,1.997235E-6,1.0,0.0,5.5726876E-5,2.4316065E-5,6.431509E-5,2.644963,4.0E-5,5.5712904E-4,2.431343E-4,3.031197E-4,1.2467172,6.0E-5
7.7,5.509146E-7,1.558334E-7,1.558334E-7,1.0,0.0,2.3610605E-6,6.678573E-7,6.678573E-7,1.0,0.0,2.8745531E-5,8.131134E-6,1.8131052E-5,2.2298307,1.0E-5,2.8741814E-4,8.130848E-5,9.130766E-5,1.1229784,1.0E-5
