Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21488683,0.0,0.01805,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.42977366,0.0,0.02228,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.6446605,0.0,0.02482,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.8595473,0.0,0.02658,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.0744342,0.0,0.02798,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.289321,0.0,0.02952,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.5042078,0.0,0.03053,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.7190946,0.0,0.0314,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1.9339815,0.0,0.03232,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.1488683,0.0,0.03311,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.3637552,0.0,0.03364,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.578642,0.0,0.03423,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
2.7935288,0.0,0.03482,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.0084157,0.0,0.03531,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.2233026,0.0,0.03586,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.4381893,0.0,0.03632,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.6530762,0.0,0.03679,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
3.867963,0.0,0.03737,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.08285,0.0,0.03775,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.2977366,0.0,0.03811,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.5126233,0.0,0.03858,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.7275105,0.0,0.03895,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
4.942397,0.0,0.03926,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.157284,0.0,0.03965,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.372171,0.0,0.03996,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.5870576,0.0,0.04032,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
5.8019447,0.0,0.04065,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.0168314,0.0,0.04089,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.231718,0.0,0.04118,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.446605,0.0,0.04154,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.661492,0.0,0.04174,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.8763785,0.0,0.0419,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0912657,0.0,0.04214,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.3061523,0.0,0.04238,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.521039,0.0,0.04263,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.735926,0.0,0.04282,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.950813,0.0,0.04304,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
8.1657,0.0,0.04329,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
8.380587,0.0,0.04345,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
8.595473,0.0,0.04362,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
8.81036,0.0,0.04389,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
9.025247,0.0,0.04407,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
9.240134,0.0,0.04427,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
9.455021,0.0,0.04446,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
9.669908,0.0,0.04471,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
9.884794,0.0,0.04487,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
