Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.057827E-4,5.057827E-4,1.0,0.0,0.0011778869,0.002165879,0.002165879,1.0,0.0,0.0142467655,0.026051812,0.026085816,1.0013052,3.4912544E-5,0.13367249,0.22812897,0.22818287,1.0002363,6.982509E-5
6.1,2.5356023E-4,4.8678988E-4,4.8678988E-4,1.0,0.0,0.001086234,0.0020846126,0.0020846126,1.0,0.0,0.013144928,0.025082607,0.025116643,1.001357,3.4912544E-5,0.123940155,0.21955532,0.21960983,1.0002482,6.982509E-5
6.2,2.4820742E-4,4.777401E-4,4.777401E-4,1.0,0.0,0.0010633124,0.002045889,0.002045889,1.0,0.0,0.01286919,0.024622431,0.024656484,1.001383,3.4912544E-5,0.12148927,0.21606027,0.21611501,1.0002533,6.982509E-5
6.3,2.3205351E-4,4.5909933E-4,4.5909933E-4,1.0,0.0,9.94136E-4,0.0019661218,0.0019661218,1.0,0.0,0.012036599,0.02367121,0.023705296,1.0014399,3.4912544E-5,0.11405133,0.20800267,0.20805797,1.0002658,6.982509E-5
6.4,2.0304754E-4,3.989547E-4,3.989547E-4,1.0,0.0,8.6991355E-4,0.0017087,0.0017087,1.0,0.0,0.010539869,0.020605337,0.02063953,1.0016594,3.4912544E-5,0.100537635,0.18513547,0.18519236,1.0003073,6.982509E-5
6.5,1.854992E-4,3.7006545E-4,3.7006545E-4,1.0,0.0,7.9475436E-4,0.001585043,0.001585043,1.0,0.0,0.009633281,0.019128485,0.01916273,1.0017903,3.4912544E-5,0.0922623,0.17336346,0.17342119,1.000333,6.982509E-5
6.6,1.6586106E-4,3.4051097E-4,3.4051097E-4,1.0,0.0,7.106394E-4,0.0014585268,0.0014585268,1.0,0.0,0.008617763,0.01761463,0.017648928,1.0019472,3.4912544E-5,0.08291132,0.16083635,0.16089495,1.0003643,6.982509E-5
6.7,1.4224656E-4,3.0780918E-4,3.0780918E-4,1.0,0.0,6.094856E-4,0.0013185235,0.0013185235,1.0,0.0,0.0073952693,0.015936768,0.015971124,1.0021558,3.4912544E-5,0.07153955,0.14653869,0.14659828,1.0004066,6.982509E-5
6.8,1.2317259E-4,2.7802997E-4,2.7802997E-4,1.0,0.0,5.2777573E-4,0.0011910191,0.0011910191,1.0,0.0,0.0064067547,0.01440563,0.014440039,1.0023886,3.4912544E-5,0.06225166,0.13298422,0.13304476,1.0004553,6.982509E-5
6.9,9.859898E-5,2.5023127E-4,2.5023127E-4,1.0,0.0,4.2249862E-4,0.0010719832,0.0010719832,1.0,0.0,0.0051317946,0.012974257,0.013008716,1.002656,3.4912544E-5,0.05014893,0.11944234,0.119503826,1.0005147,6.982509E-5
7.0,7.3191884E-5,2.127335E-4,2.127335E-4,1.0,0.0,3.136418E-4,9.1139966E-4,9.1139966E-4,1.0,0.0,0.003811904,0.011040522,0.011075049,1.0031273,3.4912544E-5,0.037471764,0.10209204,0.10215474,1.0006142,6.982509E-5
7.1,7.1760296E-5,2.0974626E-4,2.0974626E-4,1.0,0.0,3.0750787E-4,8.98606E-4,8.98606E-4,1.0,0.0,0.003737482,0.0108863255,0.010920858,1.003172,3.4912544E-5,0.03675245,0.10072824,0.10079104,1.0006233,6.982509E-5
7.2,6.46614E-5,1.9142927E-4,1.9142927E-4,1.0,0.0,2.7709085E-4,8.201562E-4,8.201562E-4,1.0,0.0,0.0033683628,0.009940307,0.009974872,1.0034773,3.4912544E-5,0.033177625,0.09253505,0.09259841,1.0006847,6.982509E-5
7.3,6.088115E-5,1.781436E-4,1.781436E-4,1.0,0.0,2.6089314E-4,7.63252E-4,7.63252E-4,1.0,0.0,0.0031717476,0.0092535755,0.009288165,1.0037379,3.4912544E-5,0.031268585,0.086585045,0.08664882,1.0007366,6.982509E-5
7.4,4.199346E-5,1.1514954E-4,1.1514954E-4,1.0,0.0,1.7995955E-4,4.9340556E-4,4.9340556E-4,1.0,0.0,0.0021888057,0.005990836,0.0060255392,1.0057927,3.4912544E-5,0.02167372,0.057460066,0.05752588,1.0011454,6.982509E-5
7.5,3.130448E-5,8.337072E-5,8.337072E-5,1.0,0.0,1.3415517E-4,3.572545E-4,3.572545E-4,1.0,0.0,0.0016321153,0.0043409583,0.0043757195,1.0080076,3.4912544E-5,0.016201803,0.04214912,0.042216,1.0015868,6.982509E-5
7.6,2.3074248E-5,6.0877E-5,6.0877E-5,1.0,0.0,9.888588E-5,2.6087547E-4,2.6087547E-4,1.0,0.0,0.0012032706,0.0031715562,0.003206358,1.0109731,3.4912544E-5,0.011967761,0.03104116,0.031108817,1.0021796,6.982509E-5
7.7,1.45864815E-5,4.0151528E-5,4.0151528E-5,1.0,0.0,6.2511994E-5,1.7206666E-4,1.7206666E-4,1.0,0.0,7.608177E-4,0.0020929042,0.0021277438,1.0166465,3.4912544E-5,0.007582182,0.02064007,0.020708453,1.0033132,6.982509E-5
7.8,1.0352979E-5,3.098372E-5,3.098372E-5,1.0,0.0,4.4369157E-5,1.3278062E-4,1.3278062E-4,1.0,0.0,5.400606E-4,0.0016154076,0.0016502638,1.0215774,3.4912544E-5,0.0053875,0.016027302,0.016096007,1.0042868,6.982509E-5
7.9,8.137906E-6,2.2167435E-5,2.2167435E-5,1.0,0.0,3.4876273E-5,9.499984E-5,9.499984E-5,1.0,0.0,4.2453592E-4,0.0011560103,0.0011908825,1.030166,3.4912544E-5,0.004237258,0.011626446,0.011695459,1.0059359,6.982509E-5
8.0,6.93792E-6,1.8024533E-5,1.8024533E-5,1.0,0.0,2.9733603E-5,7.724572E-5,7.724572E-5,1.0,0.0,3.6194647E-4,9.400616E-4,9.7494136E-4,1.0371037,3.4912544E-5,0.0036135751,0.009508948,0.00957811,1.0072733,6.982509E-5
8.1,3.4286315E-6,6.3871958E-6,6.3871958E-6,1.0,0.0,1.4694053E-5,2.737341E-5,2.737341E-5,1.0,0.0,1.7888541E-4,3.3322044E-4,3.3322044E-4,1.0,0.0,0.0017874148,0.0034896673,0.003524458,1.0099696,3.4912544E-5
8.2,1.4906886E-6,1.9395372E-6,1.9395372E-6,1.0,0.0,6.3886496E-6,8.312277E-6,8.312277E-6,1.0,0.0,7.7779034E-5,1.011973E-4,1.011973E-4,1.0,0.0,7.775182E-4,0.0011090065,0.0011090065,1.0,0.0
8.3,2.5758007E-8,1.4529296E-8,1.4529296E-8,1.0,0.0,1.10391454E-7,6.226841E-8,6.226841E-8,1.0,0.0,1.3440151E-6,7.581179E-7,7.581179E-7,1.0,0.0,1.344007E-5,7.903342E-6,7.903342E-6,1.0,0.0
