Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.31567E-5,2.3390418E-4,2.3390418E-4,1.0,0.0,3.5633717E-4,0.0010020639,0.0010898995,1.0876547,8.792368E-5,0.004329778,0.01213195,0.012262235,1.0107391,1.3188552E-4,0.042463828,0.11261114,0.11292323,1.0027714,3.5169473E-4
6.1,8.31567E-5,2.3390418E-4,2.3390418E-4,1.0,0.0,3.5633717E-4,0.0010020639,0.0010898995,1.0876547,8.792368E-5,0.004329778,0.01213195,0.012262235,1.0107391,1.3188552E-4,0.042463828,0.11261114,0.11292323,1.0027714,3.5169473E-4
6.2,8.31567E-5,2.3390418E-4,2.3390418E-4,1.0,0.0,3.5633717E-4,0.0010020639,0.0010898995,1.0876547,8.792368E-5,0.004329778,0.01213195,0.012262235,1.0107391,1.3188552E-4,0.042463828,0.11261114,0.11292323,1.0027714,3.5169473E-4
6.3,8.31567E-5,2.3390418E-4,2.3390418E-4,1.0,0.0,3.5633717E-4,0.0010020639,0.0010898995,1.0876547,8.792368E-5,0.004329778,0.01213195,0.012262235,1.0107391,1.3188552E-4,0.042463828,0.11261114,0.11292323,1.0027714,3.5169473E-4
6.4,8.059055E-5,2.2948666E-4,2.2948666E-4,1.0,0.0,3.4534236E-4,9.83146E-4,0.0010709832,1.0893431,8.792368E-5,0.0041964394,0.011904163,0.012034479,1.0109471,1.3188552E-4,0.041180745,0.11059223,0.11090503,1.0028284,3.5169473E-4
6.5,8.059055E-5,2.2948666E-4,2.2948666E-4,1.0,0.0,3.4534236E-4,9.83146E-4,0.0010709832,1.0893431,8.792368E-5,0.0041964394,0.011904163,0.012034479,1.0109471,1.3188552E-4,0.041180745,0.11059223,0.11090503,1.0028284,3.5169473E-4
6.6,7.619237E-5,2.2192899E-4,2.2192899E-4,1.0,0.0,3.2649786E-4,9.507798E-4,0.0010386199,1.0923874,8.792368E-5,0.0039678677,0.011514857,0.011645224,1.0113217,1.3188552E-4,0.03897764,0.10712875,0.10744276,1.0029312,3.5169473E-4
6.7,7.440636E-5,2.1868707E-4,2.1868707E-4,1.0,0.0,3.188454E-4,9.368959E-4,0.0010247373,1.0937577,8.792368E-5,0.0038750346,0.011347586,0.011477975,1.0114905,1.3188552E-4,0.038081564,0.10563716,0.10595171,1.0029776,3.5169473E-4
6.8,7.3735864E-5,2.1715868E-4,2.1715868E-4,1.0,0.0,3.1597257E-4,9.303504E-4,0.0010181923,1.094418,8.792368E-5,0.0038401815,0.011268722,0.011399121,1.0115718,1.3188552E-4,0.03774495,0.1049387,0.10525349,1.0029998,3.5169473E-4
6.9,7.27575E-5,2.1484829E-4,2.1484829E-4,1.0,0.0,3.117806E-4,9.204557E-4,0.0010082985,1.095434,8.792368E-5,0.003789323,0.011149493,0.011279908,1.0116969,1.3188552E-4,0.037253562,0.1038866,0.10420176,1.0030336,3.5169473E-4
