Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.872328E-5,4.727458E-5,4.727458E-5,1.0,0.0,1.6594635E-4,2.0259131E-4,2.1742377E-4,1.0732137,1.4835475E-5,0.0020185246,0.0024638833,0.0025526767,1.036038,8.901285E-5,0.02000288,0.024391687,0.024536423,1.0059339,1.4835475E-4
6.1,3.872328E-5,4.727458E-5,4.727458E-5,1.0,0.0,1.6594635E-4,2.0259131E-4,2.1742377E-4,1.0732137,1.4835475E-5,0.0020185246,0.0024638833,0.0025526767,1.036038,8.901285E-5,0.02000288,0.024391687,0.024536423,1.0059339,1.4835475E-4
6.2,3.872328E-5,4.727458E-5,4.727458E-5,1.0,0.0,1.6594635E-4,2.0259131E-4,2.1742377E-4,1.0732137,1.4835475E-5,0.0020185246,0.0024638833,0.0025526767,1.036038,8.901285E-5,0.02000288,0.024391687,0.024536423,1.0059339,1.4835475E-4
6.3,2.8356371E-5,3.3614066E-5,3.3614066E-5,1.0,0.0,1.2152165E-4,1.4405277E-4,1.588861E-4,1.1029716,1.4835475E-5,0.0014785219,0.0017525106,0.0018413675,1.0507026,8.901285E-5,0.014687235,0.01739392,0.017539695,1.0083808,1.4835475E-4
6.4,2.8356371E-5,3.3614066E-5,3.3614066E-5,1.0,0.0,1.2152165E-4,1.4405277E-4,1.588861E-4,1.1029716,1.4835475E-5,0.0014785219,0.0017525106,0.0018413675,1.0507026,8.901285E-5,0.014687235,0.01739392,0.017539695,1.0083808,1.4835475E-4
6.5,2.4448687E-5,2.8610832E-5,2.8610832E-5,1.0,0.0,1.0477588E-4,1.2261237E-4,1.3744603E-4,1.1209801,1.4835475E-5,0.0012748998,0.001491834,0.001580714,1.0595777,8.901285E-5,0.012676105,0.014823054,0.014969209,1.00986,1.4835475E-4
6.6,2.1298161E-5,2.4662699E-5,2.4662699E-5,1.0,0.0,9.127464E-5,1.0569319E-4,1.2052709E-4,1.1403488,1.4835475E-5,0.0011107022,0.0012860888,0.0013749872,1.069123,8.901285E-5,0.011051672,0.01278987,0.012936328,1.011451,1.4835475E-4
6.7,1.8959729E-5,2.1783197E-5,2.1783197E-5,1.0,0.0,8.125345E-5,9.335337E-5,1.0818745E-4,1.1589025,1.4835475E-5,9.888117E-4,0.0011360102,0.0012249219,1.0782666,8.901285E-5,0.009844234,0.0113046905,0.011451368,1.012975,1.4835475E-4
6.8,1.6691629E-5,1.9020124E-5,1.9020124E-5,1.0,0.0,7.153359E-5,8.1512364E-5,9.634663E-5,1.1819879,1.4835475E-5,8.7057345E-4,9.91978E-4,0.0010809026,1.0896437,8.901285E-5,0.008671708,0.009877259,0.01000946,1.0133843,1.3351926E-4
6.9,1.450505E-5,1.6390959E-5,1.6390959E-5,1.0,0.0,6.216302E-5,7.024512E-5,8.5079555E-5,1.2111809,1.4835475E-5,7.5657194E-4,8.549076E-4,9.438444E-4,1.1040308,8.901285E-5,0.007540013,0.00851712,0.008649502,1.0155431,1.3351926E-4
7.0,1.2940855E-5,1.4539165E-5,1.4539165E-5,1.0,0.0,5.545963E-5,6.230925E-5,7.71438E-5,1.2380794,1.4835475E-5,6.750118E-4,7.583569E-4,8.4730226E-4,1.1172869,8.901285E-5,0.006729651,0.007558308,0.007690818,1.0175318,1.3351926E-4
7.1,1.2544658E-5,1.4079352E-5,1.4079352E-5,1.0,0.0,5.3761712E-5,6.0338716E-5,7.5173295E-5,1.2458551,1.4835475E-5,6.5435225E-4,7.3438184E-4,8.233293E-4,1.1211188,8.901285E-5,0.006524288,0.0073201437,0.0074526854,1.0181065,1.3351926E-4
7.2,1.2489416E-5,1.4016813E-5,1.4016813E-5,1.0,0.0,5.3524967E-5,6.0070703E-5,7.4905285E-5,1.246952,1.4835475E-5,6.514716E-4,7.31121E-4,8.2006876E-4,1.1216594,8.901285E-5,0.006495651,0.0072877496,0.007420296,1.0181875,1.3351926E-4
