Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0684236E-5,2.5621006E-5,7.012629E-5,2.7370622,4.4506425E-5,8.864371E-5,1.0979979E-4,1.9880287E-4,1.8105942,8.901285E-5,0.0010787029,0.0013360096,0.0019730828,1.4768478,6.379254E-4,0.010734817,0.013283058,0.014659069,1.1035914,0.0013945346
6.1,2.0684236E-5,2.5621006E-5,7.012629E-5,2.7370622,4.4506425E-5,8.864371E-5,1.0979979E-4,1.9880287E-4,1.8105942,8.901285E-5,0.0010787029,0.0013360096,0.0019730828,1.4768478,6.379254E-4,0.010734817,0.013283058,0.014659069,1.1035914,0.0013945346
6.2,2.0684236E-5,2.5621006E-5,7.012629E-5,2.7370622,4.4506425E-5,8.864371E-5,1.0979979E-4,1.9880287E-4,1.8105942,8.901285E-5,0.0010787029,0.0013360096,0.0019730828,1.4768478,6.379254E-4,0.010734817,0.013283058,0.014659069,1.1035914,0.0013945346
6.3,2.0240292E-5,2.512105E-5,6.962635E-5,2.771634,4.4506425E-5,8.6741224E-5,1.07657295E-4,1.9666056E-4,1.8267277,8.901285E-5,0.0010555626,0.0013099562,0.0019025978,1.4524133,5.93419E-4,0.010505628,0.013025596,0.014343397,1.1011701,0.0013351927
6.4,2.0240292E-5,2.512105E-5,6.962635E-5,2.771634,4.4506425E-5,8.6741224E-5,1.07657295E-4,1.9666056E-4,1.8267277,8.901285E-5,0.0010555626,0.0013099562,0.0019025978,1.4524133,5.93419E-4,0.010505628,0.013025596,0.014343397,1.1011701,0.0013351927
6.5,1.9962767E-5,2.4810277E-5,6.9315596E-5,2.7938259,4.4506425E-5,8.55519E-5,1.06325526E-4,1.953289E-4,1.8370839,8.901285E-5,0.0010410968,0.0012937612,0.0018715962,1.4466318,5.785835E-4,0.010362327,0.01286553,0.014110322,1.0967541,0.0012610153
6.6,1.8937297E-5,2.3313984E-5,6.781937E-5,2.9089568,4.4506425E-5,8.115732E-5,9.9913326E-5,1.8891729E-4,1.8908116,8.901285E-5,9.876423E-4,0.0012157805,0.0017492083,1.4387534,5.3407706E-4,0.009832645,0.012094343,0.013252171,1.095733,0.0011720025
6.7,1.8621096E-5,2.2914594E-5,6.742E-5,2.9422297,4.4506425E-5,7.980225E-5,9.820178E-5,1.872059E-4,1.906339,8.901285E-5,9.711593E-4,0.0011949654,0.0017284043,1.4464053,5.3407706E-4,0.009669261,0.011888442,0.013031852,1.0961783,0.001157167
6.8,1.7830353E-5,2.1808488E-5,2.1808488E-5,1.0,0.0,7.641356E-5,9.346168E-5,1.3796394E-4,1.4761552,4.4506425E-5,9.29938E-4,0.0011373159,0.0016115112,1.4169425,4.747352E-4,0.009260561,0.011317797,0.012373862,1.0933101,0.0010681541
6.9,1.3135183E-5,1.5305506E-5,1.5305506E-5,1.0,0.0,5.6292425E-5,6.559341E-5,8.042792E-5,1.2261584,1.4835475E-5,6.8514474E-4,7.983137E-4,0.0010651391,1.3342363,2.6703853E-4,0.006830362,0.007955467,0.008661904,1.088799,7.121028E-4
7.0,1.1507512E-5,1.31554225E-5,1.31554225E-5,1.0,0.0,4.9316975E-5,5.6379195E-5,7.1213835E-5,1.2631226,1.4835475E-5,6.002687E-4,6.862063E-4,8.789351E-4,1.2808614,1.9286117E-4,0.0059864987,0.0068415753,0.0074014664,1.0818366,5.63748E-4
7.1,9.715903E-6,1.0866157E-5,1.0866157E-5,1.0,0.0,4.1638916E-5,4.656844E-5,6.140322E-5,1.3185588,1.4835475E-5,5.068359E-4,5.668275E-4,6.706169E-4,1.183106,1.03848324E-4,0.0050568148,0.0056542708,0.005905048,1.0443518,2.5220306E-4
7.2,9.233269E-6,1.0287124E-5,1.0287124E-5,1.0,0.0,3.9570554E-5,4.408695E-5,5.892177E-5,1.33649,1.4835475E-5,4.81665E-4,5.366307E-4,6.2559574E-4,1.1657846,8.901285E-5,0.0048062233,0.00535378,0.0055603646,1.0385867,2.0769665E-4
7.3,8.8041315E-6,9.808909E-6,9.808909E-6,1.0,0.0,3.7731446E-5,4.203753E-5,5.687238E-5,1.3528954,1.4835475E-5,4.592835E-4,5.116909E-4,5.8583036E-4,1.144891,7.417738E-5,0.0045833546,0.005105554,0.005267911,1.0318,1.6319023E-4
7.4,8.708749E-6,9.707916E-6,9.707916E-6,1.0,0.0,3.7322676E-5,4.1604715E-5,5.6439574E-5,1.3565667,1.4835475E-5,4.5430884E-4,5.064239E-4,5.805637E-4,1.1463987,7.417738E-5,0.004533812,0.0050531244,0.0052154902,1.0321317,1.6319023E-4
7.5,8.612678E-6,9.605554E-6,9.605554E-6,1.0,0.0,3.6910955E-5,4.1166033E-5,5.60009E-5,1.3603666,1.4835475E-5,4.492982E-4,5.010854E-4,5.752256E-4,1.1479592,7.417738E-5,0.004483909,0.0049999813,0.0051475945,1.0295227,1.4835475E-4
7.6,8.319024E-6,9.284633E-6,9.284633E-6,1.0,0.0,3.5652476E-5,3.9790702E-5,5.4625587E-5,1.3728229,1.4835475E-5,4.3398244E-4,4.843483E-4,5.5848976E-4,1.1530746,7.417738E-5,0.0043313587,0.0048333504,0.0049514608,1.0244365,1.186838E-4
7.7,7.4718328E-6,8.345819E-6,8.345819E-6,1.0,0.0,3.2021748E-5,3.5767327E-5,5.0602273E-5,1.4147624,1.4835475E-5,3.8979502E-4,4.3538425E-4,5.095293E-4,1.170298,7.417738E-5,0.00389112,0.004345718,0.004449115,1.0237929,1.03848324E-4
7.8,3.4586725E-7,3.6483948E-7,3.6483948E-7,1.0,0.0,1.4822873E-6,1.5635968E-6,1.5635968E-6,1.0,0.0,1.80467E-5,1.903663E-5,3.387182E-5,1.7792972,1.4835475E-5,1.8045233E-4,1.9035043E-4,2.0518308E-4,1.0779228,1.4835475E-5
7.9,2.5591178E-9,2.6697482E-9,2.6697482E-9,1.0,0.0,1.0967647E-8,1.1441778E-8,1.1441778E-8,1.0,0.0,1.335311E-7,1.3930365E-7,1.3930365E-7,1.0,0.0,1.3353102E-6,1.3930365E-6,1.3930365E-6,1.0,0.0
