Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2302514E-4,2.525446E-4,2.525446E-4,1.0,0.0,5.27144E-4,0.0010818866,0.0010818866,1.0,0.0,0.0063991086,0.013092926,0.013112664,1.0015075,2.0E-5,0.06217949,0.12457548,0.12464552,1.0005622,8.0E-5
6.1,1.2302514E-4,2.525446E-4,2.525446E-4,1.0,0.0,5.27144E-4,0.0010818866,0.0010818866,1.0,0.0,0.0063991086,0.013092926,0.013112664,1.0015075,2.0E-5,0.06217949,0.12457548,0.12464552,1.0005622,8.0E-5
6.2,1.2203569E-4,2.5071172E-4,2.5071172E-4,1.0,0.0,5.2290526E-4,0.001074038,0.001074038,1.0,0.0,0.006347804,0.012998513,0.013018253,1.0015186,2.0E-5,0.061695136,0.12376386,0.123833954,1.0005664,8.0E-5
6.3,1.2142645E-4,2.4957108E-4,2.4957108E-4,1.0,0.0,5.202953E-4,0.0010691535,0.0010691535,1.0,0.0,0.006316212,0.012939752,0.012959493,1.0015256,2.0E-5,0.06139677,0.123257056,0.123327196,1.0005691,8.0E-5
6.4,1.1865206E-4,2.4462308E-4,2.4462308E-4,1.0,0.0,5.0840975E-4,0.001047965,0.001047965,1.0,0.0,0.006172335,0.012684811,0.012704558,1.0015566,2.0E-5,0.060036868,0.12105244,0.121122755,1.0005809,8.0E-5
6.5,1.17443946E-4,2.425541E-4,2.425541E-4,1.0,0.0,5.032341E-4,0.001039105,0.001039105,1.0,0.0,0.006109677,0.012578189,0.012597937,1.0015701,2.0E-5,0.059444077,0.12012917,0.12019956,1.0005859,8.0E-5
6.6,1.13579066E-4,2.3563807E-4,2.3563807E-4,1.0,0.0,4.866766E-4,0.0010094881,0.0010094881,1.0,0.0,0.0059092017,0.012221701,0.012241457,1.0016165,2.0E-5,0.057545185,0.11704833,0.11711897,1.0006034,8.0E-5
6.7,1.1271412E-4,2.3408006E-4,2.3408006E-4,1.0,0.0,4.829711E-4,0.001002816,0.001002816,1.0,0.0,0.005864331,0.012141378,0.012161135,1.0016272,2.0E-5,0.057119697,0.116351984,0.116422676,1.0006076,8.0E-5
6.8,1.1217975E-4,2.3296323E-4,2.3296323E-4,1.0,0.0,4.8068175E-4,9.980333E-4,9.980333E-4,1.0,0.0,0.005836608,0.012083795,0.012103553,1.0016351,2.0E-5,0.056856725,0.11584953,0.11592027,1.0006106,8.0E-5
6.9,1.1146753E-4,2.3144946E-4,2.3144946E-4,1.0,0.0,4.7763053E-4,9.915507E-4,9.915507E-4,1.0,0.0,0.0057996577,0.012005742,0.012025502,1.0016459,2.0E-5,0.056506127,0.11516885,0.115239635,1.0006146,8.0E-5
7.0,1.0965793E-4,2.2767874E-4,2.2767874E-4,1.0,0.0,4.698779E-4,9.7540265E-4,9.7540265E-4,1.0,0.0,0.005705768,0.011811287,0.011831051,1.0016733,2.0E-5,0.055614736,0.11347137,0.11354229,1.000625,8.0E-5
7.1,9.927982E-5,2.0584992E-4,2.0584992E-4,1.0,0.0,4.2541555E-4,8.819167E-4,8.819167E-4,1.0,0.0,0.0051671406,0.010684769,0.010704555,1.0018518,2.0E-5,0.05048634,0.10357996,0.10364271,1.0006058,7.0E-5
7.2,9.696786E-5,2.0088936E-4,2.0088936E-4,1.0,0.0,4.1551032E-4,8.6067134E-4,8.6067134E-4,1.0,0.0,0.00504711,0.01042861,0.010448402,1.0018978,2.0E-5,0.04934009,0.10131455,0.10136848,1.0005323,6.0E-5
7.3,9.4727984E-5,1.9517449E-4,1.9517449E-4,1.0,0.0,4.0591392E-4,8.3619496E-4,8.3619496E-4,1.0,0.0,0.0049308087,0.01013342,0.010153217,1.0019537,2.0E-5,0.048228268,0.098685615,0.0987397,1.000548,6.0E-5
7.4,9.220358E-5,1.8887127E-4,1.8887127E-4,1.0,0.0,3.9509835E-4,8.091981E-4,8.091981E-4,1.0,0.0,0.004799717,0.009807732,0.009827536,1.0020192,2.0E-5,0.046973653,0.09576735,0.095821604,1.0005665,6.0E-5
7.5,7.71631E-5,1.5216727E-4,1.5216727E-4,1.0,0.0,3.306571E-4,6.519826E-4,6.519826E-4,1.0,0.0,0.0040183207,0.007909069,0.007928911,1.0025088,2.0E-5,0.03946433,0.07845872,0.07851402,1.0007048,6.0E-5
7.6,7.5634416E-5,1.4875608E-4,1.4875608E-4,1.0,0.0,3.241072E-4,6.3737045E-4,6.3737045E-4,1.0,0.0,0.0039388672,0.007732442,0.0077522877,1.0025665,2.0E-5,0.038697794,0.076822504,0.07687789,1.000721,6.0E-5
7.7,6.3783E-5,1.2392823E-4,1.2392823E-4,1.0,0.0,2.7332708E-4,5.310129E-4,5.310129E-4,1.0,0.0,0.0033226798,0.0064459443,0.0064558797,1.0015414,1.0E-5,0.032734364,0.06469847,0.06474524,1.0007228,5.0E-5
7.8,5.863422E-5,1.1447118E-4,1.1447118E-4,1.0,0.0,2.512653E-4,4.9049855E-4,4.9049855E-4,1.0,0.0,0.003054864,0.0059554894,0.00596543,1.0016692,1.0E-5,0.030132094,0.059802204,0.05983981,1.0006288,4.0E-5
7.9,4.595283E-5,8.4489315E-5,8.4489315E-5,1.0,0.0,1.9692584E-4,3.6204685E-4,3.6204685E-4,1.0,0.0,0.0023949358,0.004399018,0.004408974,1.0022632,1.0E-5,0.023692891,0.04446656,0.044495225,1.0006447,3.0E-5
8.0,3.2950178E-5,5.091287E-5,5.091287E-5,1.0,0.0,1.412074E-4,2.1817978E-4,2.1817978E-4,1.0,0.0,0.0017178444,0.0026531045,0.0026531045,1.0,0.0,0.017046256,0.027249493,0.027259221,1.000357,1.0E-5
8.1,1.9177472E-5,1.9253317E-5,1.9253317E-5,1.0,0.0,8.218658E-5,8.251161E-5,8.251161E-5,1.0,0.0,0.0010001622,0.0010041165,0.0010041165,1.0,0.0,0.009956728,0.010794429,0.010794429,1.0,0.0
8.2,8.643924E-6,5.5000196E-6,5.5000196E-6,1.0,0.0,3.704486E-5,2.35713E-5,2.35713E-5,1.0,0.0,4.5092785E-4,2.8694287E-4,2.8694287E-4,1.0,0.0,0.0045001395,0.0032626302,0.0032626302,1.0,0.0
8.3,1.983087E-6,7.698541E-7,7.698541E-7,1.0,0.0,8.498917E-6,3.2993707E-6,3.2993707E-6,1.0,0.0,1.034694E-4,4.0169114E-5,4.0169114E-5,1.0,0.0,0.0010342124,4.7419698E-4,4.7419698E-4,1.0,0.0
