Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,58.0,127.1901,108.0,99.0,53.0,3744.0,80.0,92.0,142.0,289.0
2.65,41.0,101.0902,86.0,80.0,44.0,2863.0,62.0,73.0,113.0,232.0
2.75,39.0,80.3537,69.0,63.0,29.0,2345.0,48.0,57.0,91.0,184.0
2.85,23.0,63.7644,55.0,51.0,18.0,1925.0,37.0,45.0,72.0,146.0
2.95,18.0,50.66203,44.0,41.0,14.0,1505.0,28.0,35.0,58.0,117.0
3.05,16.0,40.25048,35.0,33.0,9.0,1196.0,22.0,27.0,47.0,93.0
3.15,9.0,31.97794,28.0,26.0,6.0,954.0,16.0,21.0,37.0,74.0
3.25,10.0,25.39227,22.0,20.0,5.0,735.0,12.0,17.0,30.0,59.0
3.35,5.0,20.15619,18.0,16.0,1.0,584.0,9.0,13.0,24.0,48.0
3.45,12.0,16.03109,14.0,13.0,1.0,461.0,7.0,10.0,20.0,38.0
3.55,12.0,12.72909,11.0,10.0,0.0,384.0,5.0,7.0,16.0,31.0
3.65,2.0,10.10128,9.0,8.0,0.0,279.0,3.0,6.0,13.0,25.0
3.75,3.0,8.01873,7.0,6.0,0.0,239.0,2.0,4.0,11.0,20.0
3.85,1.0,6.37349,6.0,5.0,0.0,187.0,1.0,3.0,9.0,16.0
3.95,3.0,5.06876,4.0,4.0,0.0,141.0,1.0,2.0,7.0,13.0
4.05,0.0,4.02063,3.0,3.0,0.0,126.0,0.0,2.0,6.0,11.0
4.15,0.0,3.19189,3.0,2.0,0.0,81.0,0.0,1.0,5.0,9.0
4.25,0.0,2.5293,2.0,2.0,0.0,73.0,0.0,1.0,4.0,7.0
4.35,1.0,2.01376,2.0,1.0,0.0,56.0,0.0,0.0,3.0,6.0
4.45,0.0,1.60235,1.0,1.0,0.0,46.0,0.0,0.0,3.0,5.0
4.55,0.0,1.2734,1.0,1.0,0.0,42.0,0.0,0.0,2.0,4.0
4.65,0.0,1.00617,1.0,0.0,0.0,31.0,0.0,0.0,2.0,4.0
4.75,0.0,0.80605,1.0,0.0,0.0,18.0,0.0,0.0,2.0,3.0
4.85,0.0,0.63891,0.0,0.0,0.0,24.0,0.0,0.0,1.0,3.0
4.95,0.0,0.50382,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0
