Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0074807E-5,2.2502258E-5,2.2502258E-5,1.0,0.0,8.603206E-5,9.643472E-5,9.643472E-5,1.0,0.0,0.001046937,0.0011734677,0.0011734677,1.0,0.0,0.010420183,0.011673627,0.012329451,1.05618,6.6357E-4
6.1,2.0074807E-5,2.2502258E-5,2.2502258E-5,1.0,0.0,8.603206E-5,9.643472E-5,9.643472E-5,1.0,0.0,0.001046937,0.0011734677,0.0011734677,1.0,0.0,0.010420183,0.011673627,0.012329451,1.05618,6.6357E-4
6.2,2.0074807E-5,2.2502258E-5,2.2502258E-5,1.0,0.0,8.603206E-5,9.643472E-5,9.643472E-5,1.0,0.0,0.001046937,0.0011734677,0.0011734677,1.0,0.0,0.010420183,0.011673627,0.012329451,1.05618,6.6357E-4
6.3,1.9050609E-5,2.1338996E-5,2.1338996E-5,1.0,0.0,8.164292E-5,9.144967E-5,9.144967E-5,1.0,0.0,9.935491E-4,0.0011128378,0.0011128378,1.0,0.0,0.009891188,0.011073476,0.011729698,1.0592607,6.6357E-4
6.4,1.9050609E-5,2.1338996E-5,2.1338996E-5,1.0,0.0,8.164292E-5,9.144967E-5,9.144967E-5,1.0,0.0,9.935491E-4,0.0011128378,0.0011128378,1.0,0.0,0.009891188,0.011073476,0.011729698,1.0592607,6.6357E-4
6.5,1.8367004E-5,2.0562973E-5,2.0562973E-5,1.0,0.0,7.8713354E-5,8.8124085E-5,8.8124085E-5,1.0,0.0,9.5791375E-4,0.0010723892,0.0010723892,1.0,0.0,0.009537951,0.01067293,0.011329417,1.0615096,6.6357E-4
6.6,1.779439E-5,1.9912823E-5,1.9912823E-5,1.0,0.0,7.625944E-5,8.533791E-5,8.533791E-5,1.0,0.0,9.280632E-4,0.0010385002,0.0010385002,1.0,0.0,0.009241969,0.010337231,0.010993942,1.0635287,6.6357E-4
6.7,1.7025437E-5,1.904523E-5,1.904523E-5,1.0,0.0,7.296412E-5,8.16199E-5,8.16199E-5,1.0,0.0,8.87976E-4,9.932754E-4,9.932754E-4,1.0,0.0,0.008844362,0.009889078,0.010546086,1.0664377,6.6357E-4
6.8,1.6545107E-5,1.8514305E-5,1.8514305E-5,1.0,0.0,7.090568E-5,7.9344645E-5,7.9344645E-5,1.0,0.0,8.629347E-4,9.65599E-4,9.65599E-4,1.0,0.0,0.008595915,0.009614739,0.010271928,1.0683523,6.6357E-4
6.9,1.615478E-5,1.8089324E-5,1.8089324E-5,1.0,0.0,6.9232934E-5,7.75234E-5,7.75234E-5,1.0,0.0,8.4258494E-4,9.434448E-4,9.434448E-4,1.0,0.0,0.008393973,0.00939509,0.010052425,1.0699658,6.6357E-4
7.0,1.5894311E-5,1.780726E-5,1.780726E-5,1.0,0.0,6.81167E-5,7.631463E-5,7.631463E-5,1.0,0.0,8.2900526E-4,9.2874066E-4,9.2874066E-4,1.0,0.0,0.008259195,0.009249282,0.009906714,1.0710793,6.6357E-4
7.1,1.5602263E-5,1.7485187E-5,1.7485187E-5,1.0,0.0,6.6865134E-5,7.4934396E-5,7.4934396E-5,1.0,0.0,8.137789E-4,9.119505E-4,9.119505E-4,1.0,0.0,0.008108052,0.009082764,0.009740307,1.0723946,6.6357E-4
7.2,1.5323829E-5,1.7172282E-5,1.7172282E-5,1.0,0.0,6.56719E-5,7.359345E-5,7.359345E-5,1.0,0.0,7.99262E-4,8.956381E-4,8.956381E-4,1.0,0.0,0.007963934,0.008920961,0.008920961,1.0,0.0
7.3,1.4556212E-5,1.6304017E-5,1.6304017E-5,1.0,0.0,6.238227E-5,6.987252E-5,6.987252E-5,1.0,0.0,7.592395E-4,8.503718E-4,8.503718E-4,1.0,0.0,0.0075665074,0.008471822,0.008471822,1.0,0.0
7.4,1.411725E-5,1.5809472E-5,1.5809472E-5,1.0,0.0,6.0501097E-5,6.775315E-5,6.775315E-5,1.0,0.0,7.363519E-4,8.2458823E-4,8.2458823E-4,1.0,0.0,0.0073391674,0.008215921,0.008215921,1.0,0.0
7.5,1.3503312E-5,1.512774E-5,1.512774E-5,1.0,0.0,5.7870053E-5,6.483159E-5,6.483159E-5,1.0,0.0,7.043401E-4,7.890446E-4,7.890446E-4,1.0,0.0,0.007021119,0.007863056,0.007863056,1.0,0.0
7.6,1.1279839E-5,1.262753E-5,1.262753E-5,1.0,0.0,4.834127E-5,5.4116892E-5,5.4116892E-5,1.0,0.0,5.88396E-4,6.586793E-4,6.586793E-4,1.0,0.0,0.005868405,0.0065678223,0.0065678223,1.0,0.0
7.7,9.189108E-6,1.0284336E-5,1.0284336E-5,1.0,0.0,3.93813E-5,4.407501E-5,4.407501E-5,1.0,0.0,4.7936183E-4,5.3648616E-4,5.3648616E-4,1.0,0.0,0.004783291,0.005352421,0.005352421,1.0,0.0
7.8,3.4586725E-7,3.6484212E-7,3.6484212E-7,1.0,0.0,1.4822873E-6,1.5636082E-6,1.5636082E-6,1.0,0.0,1.80467E-5,1.9036768E-5,1.9036768E-5,1.0,0.0,1.8045233E-4,1.9035181E-4,1.9035181E-4,1.0,0.0
7.9,2.5591178E-9,2.6697635E-9,2.6697635E-9,1.0,0.0,1.0967647E-8,1.1441844E-8,1.1441844E-8,1.0,0.0,1.335311E-7,1.3930445E-7,1.3930445E-7,1.0,0.0,1.3353102E-6,1.3930445E-6,1.3930445E-6,1.0,0.0
