Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.877682E-5,1.9452986E-4,2.470931E-4,1.2702066,5.2573472E-5,4.2326056E-4,8.334332E-4,9.910221E-4,1.189084,1.5772041E-4,0.0051410277,0.010099967,0.010516306,1.0412219,4.2058778E-4,0.05023708,0.09854343,0.099349104,1.0081758,8.93749E-4
6.1,9.877682E-5,1.9452986E-4,2.470931E-4,1.2702066,5.2573472E-5,4.2326056E-4,8.334332E-4,9.910221E-4,1.189084,1.5772041E-4,0.0051410277,0.010099967,0.010516306,1.0412219,4.2058778E-4,0.05023708,0.09854343,0.099349104,1.0081758,8.93749E-4
6.2,9.877682E-5,1.9452986E-4,2.470931E-4,1.2702066,5.2573472E-5,4.2326056E-4,8.334332E-4,9.910221E-4,1.189084,1.5772041E-4,0.0051410277,0.010099967,0.010516306,1.0412219,4.2058778E-4,0.05023708,0.09854343,0.099349104,1.0081758,8.93749E-4
6.3,9.877682E-5,1.9452986E-4,2.470931E-4,1.2702066,5.2573472E-5,4.2326056E-4,8.334332E-4,9.910221E-4,1.189084,1.5772041E-4,0.0051410277,0.010099967,0.010516306,1.0412219,4.2058778E-4,0.05023708,0.09854343,0.099349104,1.0081758,8.93749E-4
6.4,9.877682E-5,1.9452986E-4,2.470931E-4,1.2702066,5.2573472E-5,4.2326056E-4,8.334332E-4,9.910221E-4,1.189084,1.5772041E-4,0.0051410277,0.010099967,0.010516306,1.0412219,4.2058778E-4,0.05023708,0.09854343,0.099349104,1.0081758,8.93749E-4
6.5,9.861474E-5,1.9426736E-4,2.468306E-4,1.2705717,5.2573472E-5,4.2256617E-4,8.323089E-4,9.898981E-4,1.1893398,1.5772041E-4,0.0051326132,0.010086406,0.010502751,1.0412779,4.2058778E-4,0.050156746,0.098421186,0.099226974,1.008187,8.93749E-4
6.6,9.861474E-5,1.9426736E-4,2.468306E-4,1.2705717,5.2573472E-5,4.2256617E-4,8.323089E-4,9.898981E-4,1.1893398,1.5772041E-4,0.0051326132,0.010086406,0.010502751,1.0412779,4.2058778E-4,0.050156746,0.098421186,0.099226974,1.008187,8.93749E-4
6.7,9.8552715E-5,1.9416683E-4,2.4673008E-4,1.2707119,5.2573472E-5,4.223004E-4,8.3187834E-4,9.894676E-4,1.1894379,1.5772041E-4,0.0051293927,0.010081212,0.01049756,1.0412993,4.2058778E-4,0.050125998,0.09837436,0.09918019,1.0081915,8.93749E-4
6.8,9.8464974E-5,1.940183E-4,2.4658156E-4,1.2709191,5.2573472E-5,4.219245E-4,8.3124224E-4,9.888315E-4,1.189583,1.5772041E-4,0.0051248376,0.010073539,0.01048989,1.0413312,4.2058778E-4,0.05008251,0.09830434,0.09911023,1.0081979,8.93749E-4
6.9,9.825824E-5,1.9369811E-4,2.462614E-4,1.2713671,5.2573472E-5,4.2103877E-4,8.2987087E-4,9.874604E-4,1.1898965,1.5772041E-4,0.0051141046,0.010056997,0.010473355,1.0413998,4.2058778E-4,0.049980022,0.09815335,0.09895938,1.0082119,8.93749E-4
7.0,9.781462E-5,1.9301118E-4,2.4557448E-4,1.272333,5.2573472E-5,4.1913814E-4,8.269287E-4,9.845187E-4,1.1905726,1.5772041E-4,0.005091073,0.010021506,0.010437879,1.0415479,4.2058778E-4,0.04976007,0.09782955,0.09863586,1.008242,8.93749E-4
7.1,9.7121134E-5,1.9202747E-4,2.4459086E-4,1.2737284,5.2573472E-5,4.1616702E-4,8.227155E-4,9.803062E-4,1.1915494,1.5772041E-4,0.005055068,0.009970682,0.010387075,1.0417619,4.2058778E-4,0.04941613,0.0973658,0.09817253,1.0082855,8.93749E-4
7.2,9.663819E-5,1.9133474E-4,2.4389815E-4,1.2747196,5.2573472E-5,4.1409794E-4,8.197485E-4,9.773397E-4,1.1922432,1.5772041E-4,0.0050299936,0.009934888,0.010351297,1.0419139,4.2058778E-4,0.049176537,0.09703887,0.0978459,1.0083165,8.93749E-4
7.3,9.6277574E-5,1.9085912E-4,2.4342256E-4,1.2754043,5.2573472E-5,4.125529E-4,8.1771147E-4,9.753029E-4,1.1927226,1.5772041E-4,0.0050112694,0.009910313,0.010326733,1.0420188,4.2058778E-4,0.04899759,0.096812055,0.09761928,1.0083381,8.93749E-4
7.4,9.593308E-5,1.9025613E-4,2.428196E-4,1.2762774,5.2573472E-5,4.1107697E-4,8.151288E-4,9.727206E-4,1.1933336,1.5772041E-4,0.0049933824,0.009879155,0.010295588,1.0421526,4.2058778E-4,0.04882661,0.09652995,0.09733743,1.008365,8.93749E-4
7.5,9.561707E-5,1.897162E-4,2.422797E-4,1.2770638,5.2573472E-5,4.0972308E-4,8.1281626E-4,9.704085E-4,1.1938841,1.5772041E-4,0.0049769743,0.0098512545,0.010267699,1.0422733,4.2058778E-4,0.048669744,0.09627587,0.097083576,1.0083895,8.93749E-4
7.6,9.418194E-5,1.8623457E-4,2.3879824E-4,1.2822444,5.2573472E-5,4.0357444E-4,7.9790415E-4,9.554987E-4,1.1975106,1.5772041E-4,0.004902454,0.009671325,0.010087845,1.0430676,4.2058778E-4,0.047957025,0.09465678,0.09546593,1.0085483,8.93749E-4
7.7,8.202141E-5,1.6068226E-4,2.1324729E-4,1.3271364,5.2573472E-5,3.51473E-4,6.884566E-4,8.4606843E-4,1.228935,1.5772041E-4,0.00427079,0.008349802,0.008766878,1.0499504,4.2058778E-4,0.04189639,0.08244225,0.08326232,1.0099472,8.93749E-4
7.8,7.2859846E-5,1.4558651E-4,1.9815232E-4,1.3610624,5.2573472E-5,3.1221908E-4,6.23793E-4,7.2887435E-4,1.1684555,1.05146944E-4,0.003794643,0.007568275,0.007829153,1.03447,2.6286737E-4,0.037304975,0.07491499,0.075352706,1.0058428,4.7316126E-4
7.9,5.3874453E-5,1.0075245E-4,1.5332062E-4,1.5217558,5.2573472E-5,2.3087008E-4,4.3172477E-4,4.8427554E-4,1.1217228,5.2573472E-5,0.0028072202,0.0052435924,0.005348188,1.0199473,1.05146944E-4,0.02772022,0.0525627,0.052662317,1.0018953,1.05146944E-4
8.0,3.468538E-5,5.4431417E-5,5.4431417E-5,1.0,0.0,1.4864317E-4,2.3325665E-4,2.3325665E-4,1.0,0.0,0.0018082283,0.0028362032,0.0028886276,1.018484,5.2573472E-5,0.017935853,0.029031547,0.029082594,1.0017583,5.2573472E-5
8.1,1.9152367E-5,1.9484323E-5,1.9484323E-5,1.0,0.0,8.207899E-5,8.350157E-5,8.350157E-5,1.0,0.0,9.988535E-4,0.0010161581,0.0010161581,1.0,0.0,0.009943757,0.010899102,0.010899102,1.0,0.0
8.2,8.643924E-6,5.506234E-6,5.506234E-6,1.0,0.0,3.704486E-5,2.3597933E-5,2.3597933E-5,1.0,0.0,4.5092785E-4,2.8726703E-4,2.8726703E-4,1.0,0.0,0.0045001395,0.0032658712,0.0032658712,1.0,0.0
8.3,1.983087E-6,7.7104113E-7,7.7104113E-7,1.0,0.0,8.498917E-6,3.3044578E-6,3.3044578E-6,1.0,0.0,1.034694E-4,4.0231047E-5,4.0231047E-5,1.0,0.0,0.0010342124,4.7486598E-4,4.7486598E-4,1.0,0.0
