Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.222555E-6,6.0669067E-6,6.0669067E-6,1.0,0.0,3.5239045E-5,2.6000807E-5,2.6000807E-5,1.0,0.0,4.289509E-4,3.1652048E-4,3.565078E-4,1.1263342,4.0E-5,0.0042812387,0.0031613486,0.003251064,1.0283788,9.0E-5
6.1,8.222555E-6,6.0669067E-6,6.0669067E-6,1.0,0.0,3.5239045E-5,2.6000807E-5,2.6000807E-5,1.0,0.0,4.289509E-4,3.1652048E-4,3.565078E-4,1.1263342,4.0E-5,0.0042812387,0.0031613486,0.003251064,1.0283788,9.0E-5
6.2,8.222555E-6,6.0669067E-6,6.0669067E-6,1.0,0.0,3.5239045E-5,2.6000807E-5,2.6000807E-5,1.0,0.0,4.289509E-4,3.1652048E-4,3.565078E-4,1.1263342,4.0E-5,0.0042812387,0.0031613486,0.003251064,1.0283788,9.0E-5
6.3,8.222555E-6,6.0669067E-6,6.0669067E-6,1.0,0.0,3.5239045E-5,2.6000807E-5,2.6000807E-5,1.0,0.0,4.289509E-4,3.1652048E-4,3.565078E-4,1.1263342,4.0E-5,0.0042812387,0.0031613486,0.003251064,1.0283788,9.0E-5
6.4,5.821773E-6,3.5573273E-6,3.5573273E-6,1.0,0.0,2.4950215E-5,1.5245605E-5,1.5245605E-5,1.0,0.0,3.0372653E-4,1.8560053E-4,2.1559496E-4,1.1616075,3.0E-5,0.0030331176,0.0018545636,0.0018944894,1.0215284,4.0E-5
6.5,5.766023E-6,3.4992595E-6,3.4992595E-6,1.0,0.0,2.4711293E-5,1.4996746E-5,1.4996746E-5,1.0,0.0,3.0081844E-4,1.8257118E-4,2.125657E-4,1.1642895,3.0E-5,0.0030041158,0.0018243201,0.0018642471,1.021886,4.0E-5
6.6,4.643576E-6,2.3327364E-6,2.3327364E-6,1.0,0.0,1.9900888E-5,9.997406E-6,9.997406E-6,1.0,0.0,2.4226638E-4,1.2171205E-4,1.3171084E-4,1.0821512,1.0E-5,0.0024200242,0.0012164963,0.0012264842,1.0082103,1.0E-5
6.7,3.9529173E-6,1.6484381E-6,1.6484381E-6,1.0,0.0,1.6940963E-5,7.0647166E-6,7.0647166E-6,1.0,0.0,2.0623671E-4,8.600971E-5,8.600971E-5,1.0,0.0,0.002060454,8.597828E-4,8.597828E-4,1.0,0.0
6.8,3.4377522E-6,1.2245985E-6,1.2245985E-6,1.0,0.0,1.473314E-5,5.248269E-6,5.248269E-6,1.0,0.0,1.7936122E-4,6.3895895E-5,6.3895895E-5,1.0,0.0,0.0017921652,6.387843E-4,6.387843E-4,1.0,0.0
6.9,3.1367306E-6,1.003444E-6,1.003444E-6,1.0,0.0,1.3443062E-5,4.300468E-6,4.300468E-6,1.0,0.0,1.63657E-4,5.2357016E-5,5.2357016E-5,1.0,0.0,0.0016353652,5.2345445E-4,5.2345445E-4,1.0,0.0
7.0,2.8298145E-6,7.4292353E-7,7.4292353E-7,1.0,0.0,1.2127721E-5,3.1839543E-6,3.1839543E-6,1.0,0.0,1.47645E-4,3.8764007E-5,3.8764007E-5,1.0,0.0,0.0014754693,3.8757743E-4,3.8757743E-4,1.0,0.0
7.1,2.4091064E-6,5.4232106E-7,5.4232106E-7,1.0,0.0,1.03247E-5,2.3242312E-6,2.3242312E-6,1.0,0.0,1.2569598E-4,2.8297189E-5,2.8297189E-5,1.0,0.0,0.001256249,2.829399E-4,2.829399E-4,1.0,0.0
7.2,1.3875518E-6,1.0745313E-7,1.0745313E-7,1.0,0.0,5.9466374E-6,4.6051335E-7,4.6051335E-7,1.0,0.0,7.23979E-5,5.606737E-6,5.606737E-6,1.0,0.0,7.2374323E-4,5.606607E-5,5.606607E-5,1.0,0.0
7.3,7.056077E-7,5.0033268E-8,5.0033268E-8,1.0,0.0,3.0240296E-6,2.1442827E-7,2.1442827E-7,1.0,0.0,3.681694E-5,2.6106616E-6,2.6106616E-6,1.0,0.0,3.681084E-4,2.6106356E-5,2.6106356E-5,1.0,0.0
7.4,5.9334678E-8,4.8696087E-9,4.8696087E-9,1.0,0.0,2.5429145E-7,2.086975E-8,2.086975E-8,1.0,0.0,3.095994E-6,2.540892E-7,2.540892E-7,1.0,0.0,3.095951E-5,2.5408901E-6,2.5408901E-6,1.0,0.0
