Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.0003127E-4,3.4886503E-4,1.1627622,4.88484E-5,5.2857865E-4,0.0012852408,0.0013462227,1.0474479,6.10605E-5,0.006416472,0.015540493,0.015612626,1.0046417,7.32726E-5,0.06234337,0.14283332,0.14289613,1.0004398,7.32726E-5
6.1,1.2336002E-4,3.0003127E-4,3.4886503E-4,1.1627622,4.88484E-5,5.2857865E-4,0.0012852408,0.0013462227,1.0474479,6.10605E-5,0.006416472,0.015540493,0.015612626,1.0046417,7.32726E-5,0.06234337,0.14283332,0.14289613,1.0004398,7.32726E-5
6.2,1.2336002E-4,3.0003127E-4,3.4886503E-4,1.1627622,4.88484E-5,5.2857865E-4,0.0012852408,0.0013462227,1.0474479,6.10605E-5,0.006416472,0.015540493,0.015612626,1.0046417,7.32726E-5,0.06234337,0.14283332,0.14289613,1.0004398,7.32726E-5
6.3,1.1712257E-4,2.879145E-4,3.2454025E-4,1.1272105,3.66363E-5,5.018573E-4,0.0012333614,0.0012821496,1.0395571,4.88484E-5,0.006093008,0.014917629,0.014977779,1.0040321,6.10605E-5,0.059286322,0.1375418,0.13759446,1.0003829,6.10605E-5
6.4,1.1712257E-4,2.879145E-4,3.2454025E-4,1.1272105,3.66363E-5,5.018573E-4,0.0012333614,0.0012821496,1.0395571,4.88484E-5,0.006093008,0.014917629,0.014977779,1.0040321,6.10605E-5,0.059286322,0.1375418,0.13759446,1.0003829,6.10605E-5
6.5,1.0689076E-4,2.6804334E-4,3.046698E-4,1.1366439,3.66363E-5,4.5802278E-4,0.0011482761,0.0011970685,1.0424918,4.88484E-5,0.0055621783,0.013895263,0.013955475,1.0043333,6.10605E-5,0.05425003,0.12878914,0.12884234,1.0004131,6.10605E-5
6.6,9.7648895E-5,2.5049172E-4,2.8711883E-4,1.1462209,3.66363E-5,4.1842813E-4,0.0010731178,0.0011219138,1.0454712,4.88484E-5,0.005082469,0.012991305,0.013051573,1.004639,6.10605E-5,0.049677886,0.12094915,0.12100283,1.0004438,6.10605E-5
6.7,8.757013E-5,2.3119988E-4,2.678277E-4,1.158425,3.66363E-5,3.7524657E-4,9.905027E-4,0.0010393027,1.0492679,4.88484E-5,0.00455906,0.011996774,0.012057101,1.0050287,6.10605E-5,0.04466656,0.11225749,0.11231169,1.0004829,6.10605E-5
6.8,8.562978E-5,2.2679876E-4,2.6342674E-4,1.1615,3.66363E-5,3.6693315E-4,9.7165484E-4,0.0010204557,1.0502245,4.88484E-5,0.004458263,0.011769796,0.011830137,1.0051268,6.10605E-5,0.043698758,0.11026781,0.11032213,1.0004927,6.10605E-5
6.9,6.124075E-5,1.7064936E-4,1.9506938E-4,1.1431006,2.44242E-5,2.6243398E-4,7.311502E-4,7.6775975E-4,1.0500711,3.66363E-5,0.0031904527,0.008865628,0.00890194,1.0040958,3.66363E-5,0.031450346,0.08417915,0.0842127,1.0003986,3.66363E-5
