Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,152.0,107.39291,95.0,89.0,46.0,885.0,70.0,81.0,124.0,233.0
2.65,125.0,85.29475,76.0,72.0,38.0,709.0,54.0,64.0,99.0,185.0
2.75,107.0,67.74826,61.0,56.0,22.0,577.0,42.0,50.0,79.0,147.0
2.85,76.0,53.81624,48.0,44.0,16.0,487.0,32.0,39.0,63.0,117.0
2.95,55.0,42.71813,38.0,35.0,11.0,356.0,24.0,31.0,51.0,94.0
3.05,55.0,33.96658,31.0,28.0,8.0,279.0,19.0,24.0,41.0,75.0
3.15,52.0,26.98976,24.0,22.0,4.0,220.0,14.0,19.0,33.0,59.0
3.25,49.0,21.40284,19.0,18.0,3.0,183.0,10.0,14.0,27.0,47.0
3.35,43.0,17.01342,15.0,14.0,1.0,143.0,8.0,11.0,22.0,38.0
3.45,45.0,13.50602,12.0,11.0,1.0,118.0,5.0,8.0,18.0,31.0
3.55,36.0,10.75284,10.0,9.0,0.0,87.0,4.0,6.0,14.0,25.0
3.65,35.0,8.53738,8.0,7.0,0.0,86.0,3.0,5.0,12.0,20.0
3.75,11.0,6.7741,6.0,5.0,0.0,60.0,2.0,4.0,10.0,16.0
3.85,16.0,5.37903,5.0,4.0,0.0,52.0,1.0,3.0,8.0,13.0
3.95,6.0,4.27861,4.0,3.0,0.0,48.0,1.0,2.0,6.0,11.0
4.05,14.0,3.39949,3.0,3.0,0.0,30.0,0.0,1.0,5.0,9.0
4.15,5.0,2.69837,2.0,2.0,0.0,29.0,0.0,1.0,4.0,7.0
4.25,6.0,2.13421,2.0,1.0,0.0,23.0,0.0,1.0,4.0,6.0
4.35,1.0,1.70054,1.0,1.0,0.0,19.0,0.0,0.0,3.0,5.0
4.45,3.0,1.35032,1.0,1.0,0.0,16.0,0.0,0.0,2.0,4.0
4.55,7.0,1.07155,1.0,0.0,0.0,13.0,0.0,0.0,2.0,4.0
4.65,1.0,0.85278,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
4.75,1.0,0.6775,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
4.85,1.0,0.54107,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.95,2.0,0.42921,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.05,0.0,0.34069,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.15,0.0,0.26807,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
5.25,0.0,0.21099,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
5.35,1.0,0.17066,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.45,0.0,0.13524,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
5.55,0.0,0.10723,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.65,0.0,0.08551,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.75,0.0,0.06845,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.85,0.0,0.05247,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
