Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.913453E-6,1.0192248E-5,1.8683769E-4,18.331352,1.7664724E-4,4.2485535E-5,4.368039E-5,2.7919974E-4,6.3918786,2.3552965E-4,5.1713863E-4,5.316893E-4,9.4364706E-4,1.7748091,4.121769E-4,0.0051593683,0.0053052,0.0060666106,1.1435215,7.6547137E-4
6.1,9.913453E-6,1.0192248E-5,1.8683769E-4,18.331352,1.7664724E-4,4.2485535E-5,4.368039E-5,2.7919974E-4,6.3918786,2.3552965E-4,5.1713863E-4,5.316893E-4,9.4364706E-4,1.7748091,4.121769E-4,0.0051593683,0.0053052,0.0060666106,1.1435215,7.6547137E-4
6.2,4.5596407E-6,4.696309E-6,4.696309E-6,1.0,0.0,1.954117E-5,2.0126892E-5,7.900812E-5,3.9255002,5.888241E-5,2.3788778E-4,2.4501863E-4,3.627546E-4,1.4805185,1.1776482E-4,0.0023763329,0.002447611,0.002858779,1.1679875,4.121769E-4
6.3,4.5596407E-6,4.696309E-6,4.696309E-6,1.0,0.0,1.954117E-5,2.0126892E-5,7.900812E-5,3.9255002,5.888241E-5,2.3788778E-4,2.4501863E-4,3.627546E-4,1.4805185,1.1776482E-4,0.0023763329,0.002447611,0.002858779,1.1679875,4.121769E-4
6.4,3.4025713E-6,3.5098942E-6,3.5098942E-6,1.0,0.0,1.4582367E-5,1.5042322E-5,7.3923846E-5,4.9143906,5.888241E-5,1.7752586E-4,1.8312573E-4,3.0086897E-4,1.6429641,1.1776482E-4,0.001773841,0.0018298312,0.0021237044,1.1606014,2.9441205E-4
6.5,2.8352947E-6,2.9278535E-6,2.9278535E-6,1.0,0.0,1.2151207E-5,1.2547887E-5,7.142956E-5,5.6925564,5.888241E-5,1.479309E-4,1.5276058E-4,2.7050741E-4,1.7707933,1.1776482E-4,0.0014783246,0.0015266296,0.0018205921,1.1925566,2.9441205E-4
6.6,2.251518E-6,2.3290654E-6,2.3290654E-6,1.0,0.0,9.649328E-6,9.981674E-6,6.88635E-5,6.8989925,5.888241E-5,1.1747423E-4,1.2152074E-4,2.3927125E-4,1.9689747,1.1776482E-4,0.0011741214,0.0012146046,0.0015086591,1.2420989,2.9441205E-4
6.7,1.8911853E-6,1.9591378E-6,1.9591378E-6,1.0,0.0,8.105055E-6,8.396281E-6,6.72782E-5,8.0128565,5.888241E-5,9.867457E-5,1.0222051E-4,2.199733E-4,2.1519487,1.1776482E-4,9.863076E-4,0.0010217924,0.0013159036,1.2878386,2.9441205E-4
6.8,1.4874814E-6,1.543829E-6,1.543829E-6,1.0,0.0,6.374905E-6,6.6163957E-6,6.549842E-5,9.89941,5.888241E-5,7.76117E-5,8.055216E-5,1.983075E-4,2.461852,1.1776482E-4,7.75846E-4,8.0528075E-4,9.817857E-4,1.2191844,1.7664724E-4
6.9,6.835972E-7,7.13992E-7,7.13992E-7,1.0,0.0,2.9296991E-6,3.0599638E-6,3.0599638E-6,1.0,0.0,3.56685E-5,3.725474E-5,3.725474E-5,1.0,0.0,3.5662777E-4,3.7251622E-4,3.7251622E-4,1.0,0.0
