Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030625146,0.0,0.00871,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.06125029,0.0,0.01741,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0.09187544,0.0,0.02633,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0.12250058,0.0,0.03591,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
0.15312573,0.0,0.0455,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
0.18375088,0.0,0.05487,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
0.21437603,0.0,0.06445,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0
0.24500117,0.0,0.07395,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0
0.27562633,0.0,0.08386,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0
0.30625147,0.0,0.09385,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0
0.3368766,0.0,0.1039,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0
0.36750177,0.0,0.11407,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0
0.3981269,0.0,0.12379,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0
0.42875206,0.0,0.1333,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.4593772,0.0,0.14295,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.49000233,0.0,0.15316,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.5206275,0.0,0.16325,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.55125266,0.0,0.17275,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.58187777,0.0,0.18245,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0
0.61250293,0.0,0.19237,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0
0.6431281,0.0,0.20201,0.0,0.0,0.0,54.0,0.0,0.0,1.0,2.0
0.6737532,0.0,0.21194,0.0,0.0,0.0,55.0,0.0,0.0,1.0,2.0
0.70437837,0.0,0.22212,0.0,0.0,0.0,56.0,0.0,0.0,1.0,2.0
0.73500353,0.0,0.23207,0.0,0.0,0.0,59.0,0.0,0.0,1.0,2.0
0.76562864,0.0,0.24216,0.0,0.0,0.0,60.0,0.0,0.0,1.0,2.0
0.7962538,0.0,0.25291,0.0,0.0,0.0,63.0,0.0,0.0,1.0,2.0
0.82687896,0.0,0.26293,0.0,0.0,0.0,63.0,0.0,0.0,1.0,2.0
0.8575041,0.0,0.27398,0.0,0.0,0.0,63.0,0.0,0.0,1.0,2.0
0.88812923,0.0,0.28402,0.0,0.0,0.0,64.0,0.0,0.0,1.0,2.0
0.9187544,0.0,0.2942,0.0,0.0,0.0,64.0,0.0,0.0,1.0,2.0
0.94937956,0.0,0.30507,0.0,0.0,0.0,66.0,0.0,0.0,1.0,2.0
0.98000467,0.0,0.31433,0.0,0.0,0.0,68.0,0.0,0.0,1.0,2.0
1.0106298,0.0,0.32434,0.0,0.0,0.0,68.0,0.0,0.0,1.0,2.0
1.041255,0.0,0.33467,0.0,0.0,0.0,68.0,0.0,0.0,1.0,2.0
1.0718801,0.0,0.34515,0.0,0.0,0.0,68.0,0.0,0.0,1.0,2.0
