Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,316.0,756.0429,666.0,628.0,448.0,12442.0,536.0,586.0,856.0,1549.0
2.6,242.0,600.5081,530.0,494.0,340.0,9899.0,422.0,464.0,681.0,1232.0
2.7,190.0,476.95425,421.0,398.0,267.0,7869.0,332.0,368.0,542.0,981.0
2.8,141.0,378.84866,335.0,317.0,206.0,6259.0,261.0,291.0,431.0,781.0
2.9,110.0,300.8876,266.0,247.0,157.0,5018.0,204.0,230.0,344.0,622.0
3.0,87.0,238.9406,212.0,194.0,117.0,4008.0,160.0,181.0,274.0,495.0
3.1,68.0,189.76582,169.0,153.0,89.0,3224.0,124.0,143.0,218.0,395.0
3.2,56.0,150.74661,134.0,124.0,59.0,2545.0,97.0,113.0,174.0,314.0
3.3,44.0,119.71924,107.0,101.0,48.0,2016.0,75.0,88.0,139.0,251.0
3.4,36.0,95.07943,85.0,81.0,33.0,1586.0,58.0,69.0,112.0,200.0
3.5,25.0,75.50414,68.0,61.0,22.0,1269.0,44.0,54.0,89.0,160.0
3.6,12.0,59.93333,54.0,49.0,14.0,1024.0,34.0,42.0,72.0,128.0
3.7,11.0,47.58071,43.0,39.0,13.0,820.0,26.0,33.0,58.0,102.0
3.8,7.0,37.77882,34.0,30.0,8.0,644.0,19.0,26.0,47.0,82.0
3.9,6.0,29.98315,27.0,24.0,5.0,510.0,14.0,20.0,37.0,66.0
4.0,2.0,23.80333,21.0,20.0,2.0,408.0,10.0,15.0,30.0,53.0
4.1,2.0,18.89607,17.0,15.0,1.0,329.0,8.0,12.0,25.0,43.0
4.2,2.0,14.99374,13.0,12.0,0.0,247.0,5.0,9.0,20.0,35.0
4.3,2.0,11.89107,11.0,9.0,0.0,199.0,4.0,7.0,16.0,28.0
4.4,1.0,9.42876,8.0,7.0,0.0,150.0,2.0,5.0,13.0,23.0
4.5,1.0,7.46738,7.0,5.0,0.0,124.0,2.0,4.0,11.0,19.0
4.6,1.0,5.91442,5.0,4.0,0.0,99.0,1.0,3.0,9.0,16.0
4.7,1.0,4.6851,4.0,3.0,0.0,75.0,0.0,2.0,7.0,13.0
4.8,1.0,3.70518,3.0,2.0,0.0,62.0,0.0,1.0,6.0,11.0
4.9,1.0,2.92628,2.0,2.0,0.0,49.0,0.0,1.0,5.0,9.0
5.0,1.0,2.30948,2.0,1.0,0.0,41.0,0.0,0.0,4.0,8.0
5.1,0.0,1.81716,1.0,1.0,0.0,34.0,0.0,0.0,3.0,6.0
5.2,0.0,1.42904,1.0,0.0,0.0,30.0,0.0,0.0,3.0,5.0
5.3,0.0,1.1193,1.0,0.0,0.0,25.0,0.0,0.0,2.0,5.0
5.4,0.0,0.87607,1.0,0.0,0.0,22.0,0.0,0.0,2.0,4.0
5.5,0.0,0.67873,0.0,0.0,0.0,18.0,0.0,0.0,1.0,3.0
5.6,0.0,0.52352,0.0,0.0,0.0,15.0,0.0,0.0,1.0,3.0
5.7,0.0,0.39862,0.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0
5.8,0.0,0.30234,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0
5.9,0.0,0.2239,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.0,0.0,0.16671,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
6.1,0.0,0.11537,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.2,0.0,0.07975,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.3,0.0,0.05669,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.4,0.0,0.0406,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.5,0.0,0.02954,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.6,0.0,0.0226,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.7,0.0,0.01722,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.8,0.0,0.01316,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.9,0.0,0.00976,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.0,0.0,0.00707,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.1,0.0,0.00552,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.2,0.0,0.00401,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0027,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.00224,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.00165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6,0.0,8.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.7,0.0,2.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,1.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,8.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,5.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
