Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.126063E-5,7.623614E-5,7.623614E-5,1.0,0.0,2.6251914E-4,3.2668875E-4,3.2668875E-4,1.0,0.0,0.0031914865,0.0039706747,0.0045271157,1.1401377,5.586592E-4,0.031460393,0.0390538,0.039590646,1.0137461,5.586592E-4
6.1,6.126063E-5,7.623614E-5,7.623614E-5,1.0,0.0,2.6251914E-4,3.2668875E-4,3.2668875E-4,1.0,0.0,0.0031914865,0.0039706747,0.0045271157,1.1401377,5.586592E-4,0.031460393,0.0390538,0.039590646,1.0137461,5.586592E-4
6.2,6.126063E-5,7.623614E-5,7.623614E-5,1.0,0.0,2.6251914E-4,3.2668875E-4,3.2668875E-4,1.0,0.0,0.0031914865,0.0039706747,0.0045271157,1.1401377,5.586592E-4,0.031460393,0.0390538,0.039590646,1.0137461,5.586592E-4
6.3,4.0838047E-5,4.9755265E-5,4.9755265E-5,1.0,0.0,1.7500846E-4,2.1322069E-4,2.1322069E-4,1.0,0.0,0.0021286458,0.002593076,0.002593076,1.0,0.0,0.021083709,0.025649615,0.025649615,1.0,0.0
6.4,4.0838047E-5,4.9755265E-5,4.9755265E-5,1.0,0.0,1.7500846E-4,2.1322069E-4,2.1322069E-4,1.0,0.0,0.0021286458,0.002593076,0.002593076,1.0,0.0,0.021083709,0.025649615,0.025649615,1.0,0.0
6.5,3.0512005E-5,3.6565507E-5,3.6565507E-5,1.0,0.0,1.3075917E-4,1.5670057E-4,1.5670057E-4,1.0,0.0,0.0015908304,0.0019062778,0.0019062778,1.0,0.0,0.015794903,0.018911136,0.018911136,1.0,0.0
6.6,2.9255087E-5,3.5158213E-5,3.5158213E-5,1.0,0.0,1.2537291E-4,1.5067002E-4,1.5067002E-4,1.0,0.0,0.0015253464,0.0018329794,0.0018329794,1.0,0.0,0.015149189,0.018190164,0.018190164,1.0,0.0
6.7,2.287198E-5,2.7251068E-5,2.7251068E-5,1.0,0.0,9.801909E-5,1.1678558E-4,1.1678558E-4,1.0,0.0,0.001192729,0.0014210287,0.0014210287,1.0,0.0,0.011863477,0.014128654,0.014128654,1.0,0.0
6.8,2.1325764E-5,2.5434496E-5,2.5434496E-5,1.0,0.0,9.139293E-5,1.0900094E-4,1.0900094E-4,1.0,0.0,0.001112141,0.0013263688,0.0013263688,1.0,0.0,0.011065915,0.013193562,0.013193562,1.0,0.0
6.9,1.9009392E-5,2.2615843E-5,2.2615843E-5,1.0,0.0,8.1466285E-5,9.692193E-5,9.692193E-5,1.0,0.0,9.914007E-4,0.001179473,0.001179473,1.0,0.0,0.009869894,0.011740818,0.011740818,1.0,0.0
7.0,1.7098473E-5,2.0321406E-5,2.0321406E-5,1.0,0.0,7.3277115E-5,8.708931E-5,8.708931E-5,1.0,0.0,8.917837E-4,0.0010598819,0.0010598819,1.0,0.0,0.008882134,0.010556707,0.010556707,1.0,0.0
7.1,1.5982785E-5,1.8996678E-5,1.8996678E-5,1.0,0.0,6.849585E-5,8.141227E-5,8.141227E-5,1.0,0.0,8.336179E-4,9.908284E-4,9.908284E-4,1.0,0.0,0.008304977,0.009872472,0.009872472,1.0,0.0
7.2,1.4468002E-5,1.7198974E-5,1.7198974E-5,1.0,0.0,6.200425E-5,7.370828E-5,7.370828E-5,1.0,0.0,7.546402E-4,8.971129E-4,8.971129E-4,1.0,0.0,0.007520827,0.008943185,0.008943185,1.0,0.0
7.3,5.288233E-6,6.204259E-6,6.204259E-6,1.0,0.0,2.2663658E-5,2.6589607E-5,2.6589607E-5,1.0,0.0,2.7589512E-4,3.237153E-4,3.237153E-4,1.0,0.0,0.0027555283,0.003235861,0.003235861,1.0,0.0
7.4,8.279556E-7,8.408416E-7,8.408416E-7,1.0,0.0,3.5483763E-6,3.6036022E-6,3.6036022E-6,1.0,0.0,4.3200624E-5,4.387305E-5,4.387305E-5,1.0,0.0,4.3192226E-4,4.386511E-4,4.386511E-4,1.0,0.0
7.5,6.559831E-7,6.667287E-7,6.667287E-7,1.0,0.0,2.8113532E-6,2.857406E-6,2.857406E-6,1.0,0.0,3.4227687E-5,3.4788427E-5,3.4788427E-5,1.0,0.0,3.4222414E-4,3.4783647E-4,3.4783647E-4,1.0,0.0
7.6,3.5018968E-7,3.5620351E-7,3.5620351E-7,1.0,0.0,1.500812E-6,1.526586E-6,1.526586E-6,1.0,0.0,1.8272232E-5,1.8586072E-5,1.8586072E-5,1.0,0.0,1.8270731E-4,1.8584977E-4,1.8584977E-4,1.0,0.0
7.7,1.1986104E-7,1.2198491E-7,1.2198491E-7,1.0,0.0,5.1369005E-7,5.227924E-7,5.227924E-7,1.0,0.0,6.2541585E-6,6.364979E-6,6.364979E-6,1.0,0.0,6.2539824E-5,6.364801E-5,6.364801E-5,1.0,0.0
7.8,3.0445005E-8,3.10279E-8,3.10279E-8,1.0,0.0,1.3047858E-7,1.3297671E-7,1.3297671E-7,1.0,0.0,1.5885756E-6,1.6189904E-6,1.6189904E-6,1.0,0.0,1.5885644E-5,1.6189806E-5,1.6189806E-5,1.0,0.0
