Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4851273E-5,1.6695341E-5,3.1921118E-5,1.9119775,1.522603E-5,6.364676E-5,7.154963E-5,1.1722445E-4,1.6383656,4.567809E-5,7.7462377E-4,8.707922E-4,0.0011141966,1.2795206,2.4361648E-4,0.0077192914,0.008676181,0.00917428,1.05741,5.02459E-4
6.1,1.4851273E-5,1.6695341E-5,3.1921118E-5,1.9119775,1.522603E-5,6.364676E-5,7.154963E-5,1.1722445E-4,1.6383656,4.567809E-5,7.7462377E-4,8.707922E-4,0.0011141966,1.2795206,2.4361648E-4,0.0077192914,0.008676181,0.00917428,1.05741,5.02459E-4
6.2,1.4851273E-5,1.6695341E-5,3.1921118E-5,1.9119775,1.522603E-5,6.364676E-5,7.154963E-5,1.1722445E-4,1.6383656,4.567809E-5,7.7462377E-4,8.707922E-4,0.0011141966,1.2795206,2.4361648E-4,0.0077192914,0.008676181,0.00917428,1.05741,5.02459E-4
6.3,1.0426831E-5,1.1889049E-5,2.7114898E-5,2.2806616,1.522603E-5,4.4685654E-5,5.095211E-5,8.140261E-5,1.59763,3.045206E-5,5.43912E-4,6.2017125E-4,7.7233714E-4,1.2453611,1.522603E-4,0.0054258266,0.0061850143,0.006442256,1.041591,2.588425E-4
6.4,1.0426831E-5,1.1889049E-5,2.7114898E-5,2.2806616,1.522603E-5,4.4685654E-5,5.095211E-5,8.140261E-5,1.59763,3.045206E-5,5.43912E-4,6.2017125E-4,7.7233714E-4,1.2453611,1.522603E-4,0.0054258266,0.0061850143,0.006442256,1.041591,2.588425E-4
6.5,9.25027E-6,1.0620336E-5,2.5846204E-5,2.4336522,1.522603E-5,3.964341E-5,4.551496E-5,6.0740298E-5,1.3345128,1.522603E-5,4.8255164E-4,5.5400864E-4,6.90967E-4,1.2472134,1.3703428E-4,0.0048150513,0.0055267746,0.0057539027,1.041096,2.2839046E-4
6.6,7.904275E-6,9.159836E-6,2.4385727E-5,2.662245,1.522603E-5,3.3875025E-5,3.925587E-5,5.44813E-5,1.3878511,1.522603E-5,4.1235037E-4,4.7783932E-4,5.995894E-4,1.2547928,1.2180824E-4,0.0041158604,0.0047685155,0.0049503567,1.0381337,1.8271236E-4
6.7,7.2061953E-6,8.407527E-6,2.363343E-5,2.8109846,1.522603E-5,3.088333E-5,3.6031786E-5,5.1257266E-5,1.422557,1.522603E-5,3.7593965E-4,4.3860235E-4,5.2991847E-4,1.208198,9.135618E-5,0.003753043,0.0043777362,0.0045141703,1.0311655,1.3703428E-4
6.8,6.6948724E-6,7.842423E-6,2.3068334E-5,2.9414804,1.522603E-5,2.8691995E-5,3.3609973E-5,4.883549E-5,1.453006,1.522603E-5,3.4926904E-4,4.0912814E-4,5.0044694E-4,1.2232034,9.135618E-5,0.003487206,0.004084107,0.0042205816,1.033416,1.3703428E-4
6.9,6.0421025E-6,7.1308505E-6,7.1308505E-6,1.0,0.0,2.5894467E-5,3.0560448E-5,3.0560448E-5,1.0,0.0,3.1521954E-4,3.7201334E-4,4.328948E-4,1.163654,6.090412E-5,0.0031477278,0.003714244,0.0038204305,1.0285889,1.06582214E-4
7.0,4.134091E-6,5.080469E-6,5.080469E-6,1.0,0.0,1.7717413E-5,2.1773263E-5,2.1773263E-5,1.0,0.0,2.1568815E-4,2.6505877E-4,2.9550277E-4,1.1148576,3.045206E-5,0.0021547892,0.0026475794,0.0026931367,1.0172071,4.567809E-5
7.1,3.7674888E-6,4.6320133E-6,4.6320133E-6,1.0,0.0,1.6146281E-5,1.9851343E-5,1.9851343E-5,1.0,0.0,1.9656324E-4,2.4166482E-4,2.7210952E-4,1.1259791,3.045206E-5,0.0019638946,0.002414171,0.0024597386,1.0188751,4.567809E-5
7.2,3.4065345E-6,4.1568514E-6,4.1568514E-6,1.0,0.0,1.4599351E-5,1.7814966E-5,1.7814966E-5,1.0,0.0,1.777326E-4,2.1687712E-4,2.4732258E-4,1.1403811,3.045206E-5,0.0017759053,0.0021668028,0.002212382,1.0210352,4.567809E-5
7.3,2.9934936E-6,3.629423E-6,3.629423E-6,1.0,0.0,1.2829195E-5,1.5554586E-5,1.5554586E-5,1.0,0.0,1.5618425E-4,1.893621E-4,2.1980838E-4,1.1607834,3.045206E-5,0.0015607453,0.0018921527,0.0019225471,1.0160635,3.045206E-5
7.4,2.4049796E-6,2.889062E-6,2.889062E-6,1.0,0.0,1.0307015E-5,1.23816435E-5,1.23816435E-5,1.0,0.0,1.2548068E-4,1.5073753E-4,1.6596126E-4,1.100995,1.522603E-5,0.0012540985,0.0015064942,0.0015216974,1.0100917,1.522603E-5
7.5,1.2710091E-6,1.5135054E-6,1.5135054E-6,1.0,0.0,5.44717E-6,6.4864425E-6,6.4864425E-6,1.0,0.0,6.631728E-5,7.897083E-5,7.897083E-5,1.0,0.0,6.6297496E-4,7.8955025E-4,7.8955025E-4,1.0,0.0
