Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26684374,0.0,0.28409,0.0,0.0,0.0,195.0,0.0,0.0,1.0,2.0
0.5336875,0.0,0.58851,0.0,0.0,0.0,780.0,0.0,0.0,1.0,3.0
0.8005312,0.0,0.89027,1.0,0.0,0.0,910.0,0.0,0.0,2.0,3.0
1.067375,0.0,1.21357,1.0,0.0,0.0,1022.0,0.0,0.0,2.0,4.0
1.3342187,0.0,1.54038,1.0,1.0,0.0,1120.0,0.0,0.0,3.0,5.0
1.6010624,0.0,1.86921,1.0,1.0,0.0,1176.0,0.0,0.0,3.0,6.0
1.8679062,0.0,2.19853,2.0,1.0,0.0,1236.0,0.0,0.0,3.0,6.0
2.13475,0.0,2.53244,2.0,1.0,0.0,1288.0,0.0,0.0,4.0,7.0
2.4015937,0.0,2.85098,2.0,1.0,0.0,1381.0,0.0,1.0,4.0,8.0
2.6684375,0.0,3.16431,2.0,2.0,0.0,1475.0,0.0,1.0,4.0,8.0
2.935281,0.0,3.50032,3.0,2.0,0.0,1541.0,0.0,1.0,5.0,9.0
3.2021248,0.0,3.83024,3.0,2.0,0.0,1593.0,0.0,1.0,5.0,10.0
3.4689686,0.0,4.16324,3.0,2.0,0.0,1643.0,0.0,1.0,6.0,11.0
3.7358124,0.0,4.49964,3.0,3.0,0.0,1683.0,0.0,1.0,6.0,11.0
4.002656,0.0,4.81246,4.0,3.0,0.0,1718.0,0.0,2.0,6.0,12.0
4.2695,0.0,5.13109,4.0,3.0,0.0,1750.0,0.0,2.0,7.0,13.0
4.5363436,0.0,5.45504,4.0,3.0,0.0,1771.0,1.0,2.0,7.0,13.0
4.8031874,0.0,5.77635,4.0,4.0,0.0,1800.0,1.0,2.0,7.0,14.0
5.070031,0.0,6.08234,5.0,4.0,0.0,1853.0,1.0,2.0,8.0,15.0
5.336875,0.0,6.4013,5.0,4.0,0.0,1878.0,1.0,2.0,8.0,15.0
5.6037183,0.0,6.71046,5.0,4.0,0.0,1899.0,1.0,3.0,8.0,16.0
5.870562,0.0,7.0178,5.0,4.0,0.0,1917.0,1.0,3.0,9.0,17.0
