Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028088175,0.0,3.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05617635,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.084264524,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1123527,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.14044088,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.16852905,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.19661723,0.0,7.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2247054,0.0,8.0E-5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.25279358,0.0,9.0E-5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.28088176,0.0,1.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.30896991,0.0,1.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.3370581,0.0,1.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.36514628,0.0,1.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.39323446,0.0,1.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.4213226,0.0,1.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.4494108,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.47749898,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.50558716,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.5336753,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.5617635,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.5898517,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.61793983,0.0,1.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.64602804,0.0,1.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.6741162,0.0,2.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.70220435,0.0,2.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.73029256,0.0,2.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.7583807,0.0,2.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.7864689,0.0,2.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.8145571,0.0,2.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.8426452,0.0,2.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.87073344,0.0,2.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.8988216,0.0,3.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.92690974,0.0,3.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.95499796,0.0,3.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.9830861,0.0,3.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0111743,0.0,3.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0392624,0.0,3.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0673506,0.0,4.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0954388,0.0,4.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.123527,0.0,4.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.1516151,0.0,4.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.1797034,0.0,4.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.2077916,0.0,4.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.2358797,0.0,4.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.2639679,0.0,5.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.2920561,0.0,5.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
