Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,78.0,206.65872,142.0,132.0,78.0,14260.0,106.0,121.0,200.0,666.0
2.65,54.0,164.09308,113.0,101.0,58.0,11267.0,83.0,96.0,160.0,528.0
2.75,50.0,130.4395,90.0,85.0,43.0,8923.0,64.0,75.0,127.0,421.0
2.85,31.0,103.58123,72.0,68.0,31.0,7181.0,50.0,59.0,101.0,335.0
2.95,24.0,82.29485,58.0,53.0,23.0,5558.0,38.0,47.0,81.0,266.0
3.05,19.0,65.34359,46.0,41.0,16.0,4407.0,29.0,36.0,65.0,211.0
3.15,12.0,51.90448,36.0,33.0,8.0,3477.0,22.0,29.0,52.0,169.0
3.25,13.0,41.22533,29.0,27.0,7.0,2909.0,17.0,22.0,42.0,133.0
3.35,9.0,32.77579,23.0,21.0,5.0,2254.0,13.0,17.0,34.0,107.0
3.45,12.0,26.02777,18.0,16.0,3.0,1767.0,9.0,13.0,27.0,84.0
3.55,14.0,20.67654,15.0,14.0,0.0,1409.0,7.0,10.0,22.0,67.0
3.65,2.0,16.41493,12.0,11.0,1.0,1113.0,5.0,8.0,18.0,53.0
3.75,4.0,13.03745,9.0,8.0,0.0,872.0,3.0,6.0,14.0,43.0
3.85,1.0,10.36069,7.0,6.0,0.0,680.0,2.0,5.0,12.0,34.0
3.95,4.0,8.24114,6.0,5.0,0.0,554.0,1.0,3.0,10.0,27.0
4.05,0.0,6.53492,5.0,4.0,0.0,418.0,1.0,2.0,8.0,22.0
4.15,0.0,5.17783,4.0,3.0,0.0,365.0,0.0,2.0,7.0,18.0
4.25,0.0,4.11723,3.0,2.0,0.0,290.0,0.0,1.0,5.0,14.0
4.35,1.0,3.27683,2.0,2.0,0.0,253.0,0.0,1.0,4.0,11.0
4.45,0.0,2.60322,2.0,1.0,0.0,176.0,0.0,1.0,4.0,9.0
4.55,0.0,2.06356,1.0,1.0,0.0,142.0,0.0,0.0,3.0,7.0
4.65,0.0,1.64398,1.0,1.0,0.0,113.0,0.0,0.0,3.0,6.0
4.75,0.0,1.30527,1.0,0.0,0.0,108.0,0.0,0.0,2.0,5.0
4.85,0.0,1.03517,1.0,0.0,0.0,70.0,0.0,0.0,2.0,4.0
4.95,0.0,0.82072,0.0,0.0,0.0,69.0,0.0,0.0,2.0,4.0
5.05,1.0,0.6543,0.0,0.0,0.0,48.0,0.0,0.0,1.0,3.0
5.15,0.0,0.51838,0.0,0.0,0.0,39.0,0.0,0.0,1.0,3.0
5.25,0.0,0.41274,0.0,0.0,0.0,30.0,0.0,0.0,1.0,2.0
5.35,0.0,0.32888,0.0,0.0,0.0,27.0,0.0,0.0,1.0,2.0
5.45,0.0,0.25864,0.0,0.0,0.0,24.0,0.0,0.0,1.0,2.0
5.55,0.0,0.20703,0.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0
5.65,0.0,0.16412,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0
5.75,0.0,0.12999,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
5.85,0.0,0.10341,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
5.95,0.0,0.08317,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
6.05,0.0,0.0634,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.15,0.0,0.05188,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
6.25,0.0,0.04196,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.35,0.0,0.0325,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.45,0.0,0.02568,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.55,0.0,0.02019,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.65,0.0,0.01624,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.75,0.0,0.01373,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.85,0.0,0.01094,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.95,0.0,0.00839,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.05,0.0,0.00644,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.15,0.0,0.00518,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.25,0.0,0.00421,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.35,0.0,0.00323,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.45,0.0,0.00266,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.55,0.0,0.00193,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.65,0.0,0.00171,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0013,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.85,0.0,0.00103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.95,0.0,7.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.05,0.0,7.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.15,0.0,6.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.25,0.0,3.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
