Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,172.0,463.19473,328.0,299.0,214.0,45391.0,259.0,287.0,434.0,1248.0
2.6,124.0,367.9281,261.0,243.0,163.0,36069.0,203.0,227.0,346.0,989.0
2.7,91.0,292.2669,208.0,189.0,123.0,28662.0,159.0,179.0,276.0,789.0
2.8,68.0,232.14072,165.0,154.0,86.0,22829.0,124.0,141.0,220.0,627.0
2.9,57.0,184.4049,132.0,122.0,64.0,18093.0,96.0,111.0,176.0,497.0
3.0,42.0,146.46404,105.0,95.0,46.0,14403.0,74.0,87.0,140.0,396.0
3.1,37.0,116.34503,83.0,76.0,35.0,11478.0,57.0,69.0,112.0,315.0
3.2,31.0,92.40892,66.0,59.0,20.0,9117.0,44.0,54.0,90.0,250.0
3.3,22.0,73.40083,53.0,46.0,16.0,7188.0,34.0,42.0,72.0,199.0
3.4,17.0,58.30268,42.0,38.0,12.0,5676.0,25.0,33.0,58.0,160.0
3.5,10.0,46.29842,33.0,30.0,8.0,4561.0,19.0,25.0,47.0,127.0
3.6,5.0,36.77208,27.0,24.0,5.0,3648.0,14.0,20.0,38.0,101.0
3.7,4.0,29.21021,21.0,18.0,2.0,2876.0,10.0,15.0,31.0,81.0
3.8,3.0,23.19371,17.0,15.0,1.0,2306.0,8.0,12.0,25.0,65.0
3.9,3.0,18.422,13.0,12.0,0.0,1819.0,5.0,9.0,20.0,53.0
4.0,2.0,14.6266,10.0,9.0,0.0,1420.0,4.0,7.0,17.0,42.0
4.1,2.0,11.61124,8.0,7.0,0.0,1124.0,2.0,5.0,14.0,34.0
4.2,2.0,9.22982,7.0,5.0,0.0,898.0,2.0,4.0,11.0,27.0
4.3,2.0,7.33405,5.0,4.0,0.0,711.0,1.0,3.0,9.0,22.0
4.4,1.0,5.82394,4.0,3.0,0.0,561.0,0.0,2.0,7.0,18.0
4.5,1.0,4.6249,3.0,2.0,0.0,454.0,0.0,1.0,6.0,15.0
4.6,1.0,3.67208,2.0,2.0,0.0,375.0,0.0,1.0,5.0,12.0
4.7,1.0,2.91925,2.0,1.0,0.0,309.0,0.0,0.0,4.0,10.0
4.8,1.0,2.31876,1.0,1.0,0.0,238.0,0.0,0.0,3.0,9.0
4.9,1.0,1.84285,1.0,0.0,0.0,192.0,0.0,0.0,3.0,7.0
5.0,1.0,1.463,1.0,0.0,0.0,161.0,0.0,0.0,2.0,6.0
5.1,0.0,1.16046,1.0,0.0,0.0,125.0,0.0,0.0,2.0,5.0
5.2,0.0,0.92154,0.0,0.0,0.0,103.0,0.0,0.0,2.0,4.0
5.3,0.0,0.73046,0.0,0.0,0.0,87.0,0.0,0.0,1.0,4.0
5.4,0.0,0.5783,0.0,0.0,0.0,66.0,0.0,0.0,1.0,3.0
5.5,0.0,0.45925,0.0,0.0,0.0,53.0,0.0,0.0,1.0,3.0
5.6,0.0,0.36441,0.0,0.0,0.0,42.0,0.0,0.0,1.0,2.0
5.7,0.0,0.28851,0.0,0.0,0.0,32.0,0.0,0.0,1.0,2.0
5.8,0.0,0.22808,0.0,0.0,0.0,29.0,0.0,0.0,0.0,2.0
5.9,0.0,0.18118,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0
6.0,0.0,0.14354,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
6.1,0.0,0.11518,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
6.2,0.0,0.09103,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
