Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23185593,0.0,0.21483,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
0.46371186,0.0,0.26214,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
0.6955678,0.0,0.29123,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
0.9274237,0.0,0.31278,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
1.1592796,0.0,0.33022,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
1.3911356,0.0,0.34401,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
1.6229914,0.0,0.35627,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
1.8548474,0.0,0.3674,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
2.0867033,0.0,0.37725,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
2.3185592,0.0,0.3857,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
2.550415,0.0,0.39431,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
2.7822711,0.0,0.40173,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
3.014127,0.0,0.40853,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
3.245983,0.0,0.41482,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
3.4778388,0.0,0.42118,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
3.7096949,0.0,0.42688,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
3.9415507,0.0,0.43224,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.1734066,0.0,0.43697,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.4052625,0.0,0.44185,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.6371183,0.0,0.44579,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.868974,0.0,0.45016,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.10083,0.0,0.45447,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.3326864,0.0,0.45816,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.5645423,0.0,0.46159,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.796398,0.0,0.465,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.028254,0.0,0.46813,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.26011,0.0,0.47157,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.491966,0.0,0.47506,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.7238216,0.0,0.47822,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.9556775,0.0,0.48154,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.187534,0.0,0.48477,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.4193897,0.0,0.48751,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.6512456,0.0,0.49047,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.8831015,0.0,0.49278,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.114957,0.0,0.49533,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.346813,0.0,0.498,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.57867,0.0,0.50039,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.810525,0.0,0.50279,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.042381,0.0,0.50504,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.274237,0.0,0.50727,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.506093,0.0,0.50962,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
