Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2319.0,3627.952,3335.0,3037.0,2481.0,22217.0,2775.0,2982.0,4105.0,6646.0
2.6,1931.0,2881.6646,2650.0,2482.0,1954.0,17666.0,2200.0,2367.0,3262.0,5278.0
2.7,1626.0,2289.0305,2105.0,1952.0,1530.0,14030.0,1743.0,1879.0,2592.0,4194.0
2.8,1323.0,1818.2867,1672.0,1538.0,1192.0,11094.0,1379.0,1491.0,2061.0,3329.0
2.9,1110.0,1444.3422,1329.0,1232.0,920.0,8799.0,1091.0,1183.0,1638.0,2646.0
3.0,968.0,1147.198,1056.0,996.0,725.0,6947.0,863.0,938.0,1303.0,2103.0
3.1,819.0,911.1887,839.0,769.0,563.0,5486.0,682.0,744.0,1037.0,1670.0
3.2,695.0,723.68976,667.0,605.0,446.0,4314.0,537.0,589.0,825.0,1328.0
3.3,580.0,574.7596,530.0,484.0,344.0,3455.0,423.0,466.0,657.0,1056.0
3.4,474.0,456.48785,422.0,386.0,271.0,2742.0,333.0,369.0,523.0,840.0
3.5,356.0,362.53433,335.0,314.0,208.0,2188.0,261.0,292.0,417.0,667.0
3.6,246.0,287.89767,267.0,249.0,159.0,1732.0,204.0,230.0,332.0,530.0
3.7,181.0,228.53625,212.0,202.0,121.0,1371.0,160.0,182.0,265.0,422.0
3.8,147.0,181.47948,168.0,159.0,81.0,1087.0,125.0,143.0,211.0,336.0
3.9,116.0,144.07262,134.0,125.0,68.0,862.0,97.0,113.0,169.0,267.0
4.0,87.0,114.371,106.0,103.0,49.0,699.0,75.0,88.0,135.0,213.0
4.1,65.0,90.7541,84.0,78.0,37.0,563.0,58.0,69.0,108.0,170.0
4.2,51.0,72.03065,67.0,61.0,25.0,442.0,44.0,54.0,87.0,136.0
4.3,44.0,57.12334,53.0,50.0,18.0,361.0,34.0,42.0,70.0,109.0
4.4,35.0,45.31311,42.0,40.0,11.0,278.0,26.0,33.0,56.0,87.0
4.5,29.0,35.93142,34.0,32.0,9.0,234.0,19.0,25.0,45.0,69.0
4.6,19.0,28.45914,27.0,24.0,4.0,197.0,14.0,20.0,36.0,56.0
4.7,13.0,22.53474,21.0,19.0,2.0,154.0,10.0,15.0,29.0,45.0
4.8,10.0,17.83658,17.0,16.0,1.0,130.0,7.0,11.0,24.0,36.0
4.9,5.0,14.08937,13.0,12.0,0.0,110.0,5.0,9.0,19.0,30.0
5.0,3.0,11.11681,10.0,10.0,0.0,83.0,4.0,6.0,16.0,24.0
5.1,2.0,8.75936,8.0,7.0,0.0,70.0,2.0,5.0,13.0,20.0
5.2,2.0,6.89173,6.0,5.0,0.0,52.0,1.0,3.0,10.0,16.0
5.3,2.0,5.3996,5.0,4.0,0.0,40.0,1.0,2.0,8.0,13.0
5.4,2.0,4.2187,4.0,3.0,0.0,32.0,0.0,2.0,7.0,11.0
5.5,1.0,3.28096,3.0,2.0,0.0,25.0,0.0,1.0,5.0,9.0
5.6,0.0,2.53552,2.0,2.0,0.0,22.0,0.0,1.0,4.0,7.0
5.7,0.0,1.94556,2.0,1.0,0.0,19.0,0.0,0.0,3.0,6.0
5.8,0.0,1.47526,1.0,1.0,0.0,16.0,0.0,0.0,3.0,5.0
5.9,0.0,1.10494,1.0,0.0,0.0,14.0,0.0,0.0,2.0,4.0
6.0,0.0,0.83299,1.0,0.0,0.0,13.0,0.0,0.0,2.0,3.0
6.1,0.0,0.60876,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
6.2,0.0,0.42706,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.3,0.0,0.30207,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.4,0.0,0.22719,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0
6.5,0.0,0.16911,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.6,0.0,0.13109,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.7,0.0,0.09975,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.07702,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.9,0.0,0.0546,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0,0.0,0.03955,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.1,0.0,0.03084,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
7.2,0.0,0.02216,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3,0.0,0.01507,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.01272,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.00925,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,0.00503,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.7,0.0,0.00153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,5.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,2.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,3.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
