Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2387061E-5,1.3103157E-5,0.018947767,1446.0459,0.018934911,5.3086325E-5,5.615534E-5,0.020173369,359.24222,0.020118343,6.461343E-4,6.8350515E-4,0.031431705,45.986053,0.03076923,0.0064425888,0.0068168393,0.03972705,5.8277817,0.033136096
6.1,1.2387061E-5,1.3103157E-5,0.018947767,1446.0459,0.018934911,5.3086325E-5,5.615534E-5,0.020173369,359.24222,0.020118343,6.461343E-4,6.8350515E-4,0.031431705,45.986053,0.03076923,0.0064425888,0.0068168393,0.03972705,5.8277817,0.033136096
6.2,1.2387061E-5,1.3103157E-5,0.018947767,1446.0459,0.018934911,5.3086325E-5,5.615534E-5,0.020173369,359.24222,0.020118343,6.461343E-4,6.8350515E-4,0.031431705,45.986053,0.03076923,0.0064425888,0.0068168393,0.03972705,5.8277817,0.033136096
6.3,1.2387061E-5,1.3103157E-5,0.018947767,1446.0459,0.018934911,5.3086325E-5,5.615534E-5,0.020173369,359.24222,0.020118343,6.461343E-4,6.8350515E-4,0.031431705,45.986053,0.03076923,0.0064425888,0.0068168393,0.03972705,5.8277817,0.033136096
6.4,1.2387061E-5,1.3103157E-5,0.018947767,1446.0459,0.018934911,5.3086325E-5,5.615534E-5,0.020173369,359.24222,0.020118343,6.461343E-4,6.8350515E-4,0.031431705,45.986053,0.03076923,0.0064425888,0.0068168393,0.03972705,5.8277817,0.033136096
6.5,6.9922594E-6,7.384925E-6,0.01302504,1763.7335,0.013017751,2.996648E-5,3.1649324E-5,0.014232383,449.68994,0.014201184,3.6478083E-4,3.8526783E-4,0.021678837,56.26952,0.021301774,0.003641826,0.0038465366,0.026245253,6.8230867,0.022485208
6.6,6.9922594E-6,7.384925E-6,0.01302504,1763.7335,0.013017751,2.996648E-5,3.1649324E-5,0.014232383,449.68994,0.014201184,3.6478083E-4,3.8526783E-4,0.021678837,56.26952,0.021301774,0.003641826,0.0038465366,0.026245253,6.8230867,0.022485208
6.7,5.477277E-6,5.7860684E-6,0.011840037,2046.3009,0.01183432,2.3473833E-5,2.4797222E-5,0.0130422255,525.95514,0.013017751,2.8575645E-4,3.0186825E-4,0.020414138,67.625984,0.020118343,0.0028538927,0.003014966,0.024252517,8.044044,0.021301774
6.8,3.9950432E-6,4.2190873E-6,0.009471634,2244.949,0.009467456,1.7121502E-5,1.8081691E-5,0.010668777,590.032,0.010650887,2.0843433E-4,2.2012512E-4,0.015601354,70.87494,0.015384615,0.0020823893,0.0021993418,0.01873095,8.516617,0.016568048
6.9,2.95695E-6,3.1230243E-6,0.008287121,2653.5564,0.008284024,1.2672582E-5,1.3384334E-5,0.009480713,708.34406,0.009467456,1.5427776E-4,1.6294434E-4,0.014361814,88.13938,0.014201184,0.001541707,0.0016284712,0.016988033,10.4318905,0.015384615
7.0,1.456072E-6,1.540812E-6,0.002368401,1537.1123,0.002366864,6.2402937E-6,6.603469E-6,0.003556876,538.63745,0.003550296,7.597293E-5,8.039528E-5,0.0036304058,45.15695,0.003550296,7.594696E-4,8.0376083E-4,0.004351203,5.4135547,0.003550296
7.1,6.995192E-7,7.4089746E-7,7.4089746E-7,1.0,0.0,2.997936E-6,3.1752747E-6,3.1752747E-6,1.0,0.0,3.649926E-5,3.865897E-5,3.865897E-5,1.0,0.0,3.6493264E-4,3.865897E-4,3.865897E-4,1.0,0.0
