Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.872328E-5,4.7267473E-5,1.1481245E-4,2.428995,6.754817E-5,1.6594635E-4,2.0256084E-4,2.8697896E-4,1.4167544,8.443521E-5,0.0020185246,0.002463534,0.0025646067,1.0410275,1.0132226E-4,0.02000288,0.024388181,0.02460236,1.008782,2.1953155E-4
6.1,3.872328E-5,4.7267473E-5,1.1481245E-4,2.428995,6.754817E-5,1.6594635E-4,2.0256084E-4,2.8697896E-4,1.4167544,8.443521E-5,0.0020185246,0.002463534,0.0025646067,1.0410275,1.0132226E-4,0.02000288,0.024388181,0.02460236,1.008782,2.1953155E-4
6.2,3.872328E-5,4.7267473E-5,1.1481245E-4,2.428995,6.754817E-5,1.6594635E-4,2.0256084E-4,2.8697896E-4,1.4167544,8.443521E-5,0.0020185246,0.002463534,0.0025646067,1.0410275,1.0132226E-4,0.02000288,0.024388181,0.02460236,1.008782,2.1953155E-4
6.3,2.8356371E-5,3.3609853E-5,1.01155754E-4,3.0097053,6.754817E-5,1.2152165E-4,1.4403471E-4,2.2845776E-4,1.5861299,8.443521E-5,0.0014785219,0.0017522911,0.0018534358,1.0577214,1.0132226E-4,0.014687235,0.017391782,0.017607495,1.0124031,2.1953155E-4
6.4,2.8356371E-5,3.3609853E-5,1.01155754E-4,3.0097053,6.754817E-5,1.2152165E-4,1.4403471E-4,2.2845776E-4,1.5861299,8.443521E-5,0.0014785219,0.0017522911,0.0018534358,1.0577214,1.0132226E-4,0.014687235,0.017391782,0.017607495,1.0124031,2.1953155E-4
6.5,2.4448687E-5,2.8607552E-5,6.238067E-5,2.1805665,3.3774086E-5,1.0477588E-4,1.2259831E-4,1.7325324E-4,1.4131778,5.066113E-5,0.0012748998,0.0014916632,0.0015591105,1.0452162,6.754817E-5,0.012676105,0.014821377,0.015004381,1.0123473,1.8575747E-4
6.6,2.1298161E-5,2.4660083E-5,5.8433336E-5,2.3695514,3.3774086E-5,9.127464E-5,1.0568198E-4,1.5633776E-4,1.4793227,5.066113E-5,0.0011107022,0.0012859525,0.0013534138,1.0524602,6.754817E-5,0.011051672,0.012788526,0.012971907,1.0143396,1.8575747E-4
6.7,1.8959729E-5,2.1781025E-5,5.5554374E-5,2.5505857,3.3774086E-5,8.125345E-5,9.334405E-5,1.4400046E-4,1.5426848,5.066113E-5,9.888117E-4,0.001135897,0.0012033684,1.0593992,6.754817E-5,0.009844234,0.01130357,0.011487228,1.0162477,1.8575747E-4
6.8,1.6691629E-5,1.9018353E-5,5.2791795E-5,2.7758343,3.3774086E-5,7.153359E-5,8.150477E-5,1.3216177E-4,1.6215218,5.066113E-5,8.7057345E-4,9.918857E-4,0.0010593669,1.0680332,6.754817E-5,0.008671708,0.009876343,0.010060267,1.0186225,1.8575747E-4
6.9,1.450505E-5,1.638954E-5,5.016307E-5,3.060676,3.3774086E-5,6.216302E-5,7.0239046E-5,1.2089661E-4,1.7212167,5.066113E-5,7.5657194E-4,8.5483363E-4,9.223241E-4,1.0789515,6.754817E-5,0.007540013,0.008516385,0.008700561,1.021626,1.8575747E-4
