Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6572556E-5,1.7598066E-5,3.3638848E-5,1.9115083,1.6041065E-5,7.102331E-5,7.541821E-5,9.145807E-5,1.2126788,1.6041065E-5,8.6436566E-4,9.178488E-4,9.3387516E-4,1.0174608,1.6041065E-5,0.0086101135,0.009142512,0.009158407,1.0017385,1.6041065E-5
6.1,1.6572556E-5,1.7598066E-5,3.3638848E-5,1.9115083,1.6041065E-5,7.102331E-5,7.541821E-5,9.145807E-5,1.2126788,1.6041065E-5,8.6436566E-4,9.178488E-4,9.3387516E-4,1.0174608,1.6041065E-5,0.0086101135,0.009142512,0.009158407,1.0017385,1.6041065E-5
6.2,1.1085717E-5,1.1557147E-5,2.7598027E-5,2.3879619,1.6041065E-5,4.750935E-5,4.952971E-5,6.5569984E-5,1.3238515,1.6041065E-5,5.782728E-4,6.028609E-4,6.188923E-4,1.0265921,1.6041065E-5,0.0057677035,0.0060126255,0.0060285702,1.0026518,1.6041065E-5
6.3,1.0208568E-5,1.0592237E-5,2.6633134E-5,2.514401,1.6041065E-5,4.375027E-5,4.539453E-5,6.143487E-5,1.353354,1.6041065E-5,5.325294E-4,5.5254117E-4,5.685734E-4,1.0290154,1.6041065E-5,0.0053125503,0.0055119814,0.005527934,1.0028942,1.6041065E-5
6.4,9.0682315E-6,9.342637E-6,2.5383553E-5,2.716958,1.6041065E-5,3.8863272E-5,4.003927E-5,5.6079694E-5,1.4006172,1.6041065E-5,4.730576E-4,4.8737114E-4,5.0340436E-4,1.0328974,1.6041065E-5,0.0047205184,0.004863236,0.0048791994,1.0032824,1.6041065E-5
6.5,7.605796E-6,7.748587E-6,2.3789527E-5,3.0701761,1.6041065E-5,3.259586E-5,3.3207816E-5,4.924835E-5,1.4830348,1.6041065E-5,3.9678233E-4,4.0423148E-4,4.2026606E-4,1.0396668,1.6041065E-5,0.0039607463,0.0040351,0.0040510762,1.0039593,1.6041065E-5
6.6,5.889873E-6,5.8795385E-6,2.192051E-5,3.7282703,1.6041065E-5,2.5242069E-5,2.519778E-5,4.123844E-5,1.6365902,1.6041065E-5,3.0727885E-4,3.0673988E-4,3.2277603E-4,1.0522794,1.6041065E-5,0.003068543,0.0030631777,0.0030791697,1.0052207,1.6041065E-5
6.7,5.66586E-6,5.641641E-6,2.1682616E-5,3.843317,1.6041065E-5,2.428203E-5,2.417824E-5,4.0218918E-5,1.6634345,1.6041065E-5,2.955936E-4,2.9433038E-4,3.1036674E-4,1.0544841,1.6041065E-5,0.0029520073,0.0029394177,0.0029554116,1.0054412,1.6041065E-5
6.8,5.521556E-6,5.489427E-6,2.1530404E-5,3.9221587,1.6041065E-5,2.3663597E-5,2.3525903E-5,3.9566592E-5,1.6818309,1.6041065E-5,2.880662E-4,2.8639034E-4,3.024268E-4,1.0559951,1.6041065E-5,0.0028769306,0.002860224,0.0028762193,1.0055922,1.6041065E-5
6.9,5.29752E-6,5.2499317E-6,2.1290913E-5,4.0554647,1.6041065E-5,2.270346E-5,2.2499513E-5,3.8540216E-5,1.7129356,1.6041065E-5,2.7637955E-4,2.7389723E-4,2.899339E-4,1.05855,1.6041065E-5,0.0027603607,0.0027356069,0.002751604,1.0058478,1.6041065E-5
